N,seed,scenario,method,status,error,obj,runtime_total,runtime_pricing,gap,gap_pct,lp_lower_bound,lp_obj_final_pool,irmp_obj,best_reduced_cost_last,num_negative_columns_last,num_columns_total,iterations,runtime_sec,cg_status,gap_type,full_pricing_converged,min_reduced_cost,lp_status,ip_status,success,num_iters,num_pricing_calls,num_columns_added,n_columns_generated,min_reduced_cost_last,pricing_time_share,infeasible_jobs,cost_energy,cost_delay,type_A_count,type_A_cost_energy,type_A_cost_delay,type_A_cost_total,type_A_shore_ratio,type_A_battery_ratio,type_A_brown_ratio,type_A_avg_tardy_hours,type_B_count,type_B_cost_energy,type_B_cost_delay,type_B_cost_total,type_B_shore_ratio,type_B_battery_ratio,type_B_brown_ratio,type_B_avg_tardy_hours,type_C_count,type_C_cost_energy,type_C_cost_delay,type_C_cost_total,type_C_shore_ratio,type_C_battery_ratio,type_C_brown_ratio,type_C_avg_tardy_hours,type_D_count,type_D_cost_energy,type_D_cost_delay,type_D_cost_total,type_D_shore_ratio,type_D_battery_ratio,type_D_brown_ratio,type_D_avg_tardy_hours,num_fully_masked,num_partially_masked,avg_masking_rate,time_saved_total,avg_stay_time,num_fully_masked_type_A,num_partially_masked_type_A,avg_masking_rate_type_A,num_fully_masked_type_B,num_partially_masked_type_B,avg_masking_rate_type_B,num_fully_masked_type_C,num_partially_masked_type_C,avg_masking_rate_type_C,num_fully_masked_type_D,num_partially_masked_type_D,avg_masking_rate_type_D,mode_shore_count,mode_battery_count,mode_brown_count,SP_share,BS_share,AE_share,K_SP,K_BS,co2_proxy_kg
100,1,U,CG+IR,ok,,258443.06389380828,5.996263400000316,0.0,0.0,0.0,258443.0638938083,258443.0638938083,258443.06389380828,0.0,0,30042,1,5.996263400000316,full_pricing_converged,Full-CG LP-IP gap,True,0.0,Optimal,Optimal,True,1,0,0,30042,0.0,0.0,0,258193.06389380828,250.0,19,59150.23695702706,0.0,59150.23695702706,0.0,1.0,0.0,0.0,48,116242.97817268904,0.0,116242.97817268904,0.1041666666666666,0.375,0.5208333333333334,0.0,19,55799.84876409219,250.0,56049.84876409219,0.0,0.1052631578947368,0.8947368421052632,0.0263157894736842,14,27000.0,0.0,27000.0,0.2142857142857142,0.5714285714285714,0.2142857142857142,0.0,21,6,0.2381485414153154,32.004993127241285,15.052642593275175,9,1,0.4800194383326469,8,2,0.1950960418308592,0,0,0.0,4,3,0.380705343237858,8,47,45,0.08,0.47,0.45,1,1,40.5
100,2,U,CG+IR,ok,,277148.2477576677,6.668665799999872,0.0,2.7919305212425427e-05,0.0027919305212425,277140.50997114944,277140.50997114944,277148.2477576677,0.0,0,30918,1,6.668665799999872,full_pricing_converged,Full-CG LP-IP gap,True,0.0,Optimal,Optimal,True,1,0,0,30918,0.0,0.0,0,275698.2477576677,1450.0,23,73933.56713556702,0.0,73933.56713556702,0.0,1.0,0.0,0.0,53,130937.2664113264,200.0,131137.26641132642,0.1132075471698113,0.3773584905660377,0.5094339622641509,0.0047169811320754,12,33627.41421077433,1250.0,34877.41421077433,0.0,0.25,0.75,0.2083333333333333,12,37200.0,0.0,37200.0,0.1666666666666666,0.0,0.8333333333333334,0.0,24,5,0.2515749554392578,32.31663875917392,14.909324056270766,10,0,0.4347826086956521,12,4,0.2471132567014557,1,0,0.0833333333333333,1,1,0.0883744115623851,8,46,46,0.08,0.46,0.46,1,1,41.4
100,1,U,CG+IR,ok,,189489.64980362653,6.561014599999908,0.0,0.0002365989727097,0.0236598972709711,189444.81674714384,189444.81674714384,189489.64980362653,0.0,0,30042,1,6.561014599999908,full_pricing_converged,Full-CG LP-IP gap,True,0.0,Optimal,Optimal,True,1,0,0,30042,0.0,0.0,0,188889.64980362653,600.0,19,59150.23695702706,0.0,59150.23695702706,0.0,1.0,0.0,0.0,48,73743.84842454066,600.0,74343.84842454066,0.1875,0.8125,0.0,0.015625,19,30795.564422058764,0.0,30795.564422058764,0.0,0.9473684210526316,0.0526315789473684,0.0,14,25200.0,0.0,25200.0,0.0,1.0,0.0,0.0,39,8,0.4459173672067658,50.632986140411376,15.943416901413228,5,2,0.3281688788949541,18,5,0.4478573492474036,7,0,0.3684210526315789,9,1,0.7042410898426484,9,90,1,0.09,0.9,0.01,1,2,0.9
100,2,U,CG+IR,ok,,207675.61148049225,6.676061399999526,0.0,0.0,0.0,207675.61148049225,207675.61148049225,207675.61148049225,0.0,0,30918,1,6.676061399999526,full_pricing_converged,Full-CG LP-IP gap,True,0.0,Optimal,Optimal,True,1,0,0,30918,0.0,0.0,0,206625.61148049225,1050.0,23,71908.2069146626,0.0,71908.2069146626,0.0434782608695652,0.9565217391304348,0.0,0.0,53,90984.80018110458,800.0,91784.80018110458,0.1320754716981132,0.8113207547169812,0.0566037735849056,0.0188679245283018,12,22132.60438472505,250.0,22382.60438472505,0.0,0.8333333333333334,0.1666666666666666,0.0416666666666666,12,21600.0,0.0,21600.0,0.0,1.0,0.0,0.0,42,7,0.4603698422675003,48.903045264343504,15.538432923513067,9,1,0.405983622820929,21,4,0.454332770821546,3,1,0.2713972013195827,9,1,0.7802464693743106,8,87,5,0.08,0.87,0.05,1,2,4.5
100,1,U,CG+IR,ok,,236898.51250397367,15.46409870000025,0.0,1.83807065807136e-06,0.0001838070658071,236898.0770677689,236898.0770677689,236898.51250397367,0.0,0,42648,1,15.46409870000025,full_pricing_converged,Full-CG LP-IP gap,True,0.0,Optimal,Optimal,True,1,0,0,42648,0.0,0.0,0,236248.51250397367,650.0,19,59150.23695702706,0.0,59150.23695702706,0.0,1.0,0.0,0.0,48,102446.17147993109,400.0,102846.17147993109,0.25,0.3125,0.4375,0.0104166666666666,19,54252.10406701548,250.0,54502.10406701548,0.0,0.1578947368421052,0.8421052631578947,0.0263157894736842,14,20400.0,0.0,20400.0,0.2857142857142857,0.7142857142857143,0.0,0.0,26,10,0.3053832717609235,52.03448222399644,15.245732586008788,7,1,0.3894052326458588,10,5,0.2467572203923644,1,0,0.0526315789473684,8,4,0.7353772269276811,16,47,37,0.16,0.47,0.37,2,1,33.300000000000004
100,2,U,CG+IR,ok,,256477.8347528642,15.433238699999492,0.0,2.2961650544049056e-05,0.0022961650544049,256471.94559845031,256471.94559845031,256477.8347528642,0.0,0,44467,1,15.433238699999492,full_pricing_converged,Full-CG LP-IP gap,True,0.0,Optimal,Optimal,True,1,0,0,44467,0.0,0.0,0,255027.8347528642,1450.0,23,73933.56713556702,0.0,73933.56713556702,0.0,1.0,0.0,0.0,53,116266.85340652287,200.0,116466.85340652287,0.2264150943396226,0.3773584905660377,0.3962264150943396,0.0047169811320754,12,33627.41421077433,1250.0,34877.41421077433,0.0,0.25,0.75,0.2083333333333333,12,31200.0,0.0,31200.0,0.3333333333333333,0.0,0.6666666666666666,0.0,27,5,0.2897011272988996,50.82925687331357,15.004325259544098,10,0,0.4347826086956521,13,5,0.2824549571677349,1,0,0.0833333333333333,3,0,0.25,16,46,38,0.16,0.46,0.38,2,1,34.2
100,1,U,CG+IR,ok,,178339.47421345147,16.255270600000586,0.0,1.5858094429793794e-05,0.0015858094429793,178336.64608922883,178336.64608922883,178339.47421345147,0.0,0,42648,1,16.255270600000586,full_pricing_converged,Full-CG LP-IP gap,True,0.0,Optimal,Optimal,True,1,0,0,42648,0.0,0.0,0,178339.47421345147,0.0,19,51171.21168002153,0.0,51171.21168002153,0.2105263157894736,0.7894736842105263,0.0,0.0,48,73752.12764578388,0.0,73752.12764578388,0.1666666666666666,0.8333333333333334,0.0,0.0,19,29416.13488764601,0.0,29416.13488764601,0.0,1.0,0.0,0.0,14,24000.0,0.0,24000.0,0.0714285714285714,0.9285714285714286,0.0,0.0,40,11,0.4684529638046903,71.64454553062693,15.93382478876277,4,3,0.3104073572826067,20,5,0.4883080625751885,9,0,0.4736842105263157,7,3,0.6077692563207469,13,87,0,0.13,0.87,0.0,2,2,0.0
100,2,U,CG+IR,ok,,190845.92207749336,20.256663300000582,0.0,8.302900139235905e-05,0.0083029001392359,190830.07633116347,190830.07633116347,190845.92207749336,0.0,0,44467,1,20.256663300000582,full_pricing_converged,Full-CG LP-IP gap,True,0.0,Optimal,Optimal,True,1,0,0,44467,0.0,0.0,0,190845.92207749336,0.0,23,71908.2069146626,0.0,71908.2069146626,0.0434782608695652,0.9565217391304348,0.0,0.0,53,78039.87275771453,0.0,78039.87275771453,0.2830188679245283,0.7169811320754716,0.0,0.0,12,19297.84240511622,0.0,19297.84240511622,0.0,1.0,0.0,0.0,12,21600.0,0.0,21600.0,0.0,1.0,0.0,0.0,46,12,0.4991296007408035,70.16649653766046,15.634125734324538,9,2,0.4126605039273325,24,10,0.5173918581839944,4,0,0.3333333333333333,9,0,0.75,16,84,0,0.16,0.84,0.0,2,2,0.0
100,1,U,CG+IR,ok,,196571.8666253296,54.607500600001,0.0,0.0004197049542824,0.0419704954282441,196489.3644390344,196489.3644390344,196571.8666253296,0.0,0,67860,1,54.607500600001,full_pricing_converged,Full-CG LP-IP gap,True,0.0,Optimal,Optimal,True,1,0,0,67860,0.0,0.0,0,194821.8666253296,1750.0,19,59150.23695702706,500.0,59650.23695702706,0.0,1.0,0.0,0.0131578947368421,48,70791.66585088489,0.0,70791.66585088489,0.4791666666666667,0.3333333333333333,0.1875,0.0,19,49279.96381741753,1250.0,50529.96381741753,0.0,0.3157894736842105,0.6842105263157895,0.131578947368421,14,15600.0,0.0,15600.0,0.5714285714285714,0.4285714285714285,0.0,0.0,29,15,0.353372713526899,79.44296805340844,15.706489410181009,6,1,0.3660271212347776,15,9,0.3808675422825307,1,0,0.0526315789473684,7,5,0.6500795728334033,31,47,22,0.31,0.47,0.22,4,1,19.8
100,2,U,CG+IR,ok,,217580.9248959091,52.92616830000043,0.0,0.0001671599727693,0.0167159972769333,217544.5540744284,217544.5540744284,217580.9248959091,0.0,0,71565,1,52.92616830000043,full_pricing_converged,Full-CG LP-IP gap,True,0.0,Optimal,Optimal,True,1,0,0,71565,0.0,0.0,0,216305.9248959091,1275.0,23,71908.2069146626,0.0,71908.2069146626,0.0434782608695652,0.9565217391304348,0.0,0.0,53,100570.30377047218,400.0,100970.30377047218,0.3396226415094339,0.3584905660377358,0.3018867924528302,0.0094339622641509,12,33627.41421077433,875.0,34502.41421077433,0.0,0.25,0.75,0.1458333333333333,12,10200.0,0.0,10200.0,0.9166666666666666,0.0,0.0833333333333333,0.0,26,14,0.3252500059002449,82.95152479622377,15.499906307235214,8,1,0.3625053619513638,13,6,0.293548862192344,1,0,0.0833333333333333,4,7,0.6357739640790739,30,44,26,0.3,0.44,0.26,4,1,23.4
