N,seed,scenario,method,slack,perturbation_type,Delta,status,error,obj,runtime_total,runtime_pricing,gap,gap_pct,lp_lower_bound,lp_obj_final_pool,irmp_obj,best_reduced_cost_last,num_negative_columns_last,num_columns_total,iterations,runtime_sec,cg_status,gap_type,full_pricing_converged,min_reduced_cost,lp_status,ip_status,success,num_iters,num_pricing_calls,num_columns_added,n_columns_generated,min_reduced_cost_last,pricing_time_share,infeasible_jobs,cost_energy,cost_delay,type_A_count,type_A_cost_energy,type_A_cost_delay,type_A_cost_total,type_A_shore_ratio,type_A_battery_ratio,type_A_brown_ratio,type_A_avg_tardy_hours,type_B_count,type_B_cost_energy,type_B_cost_delay,type_B_cost_total,type_B_shore_ratio,type_B_battery_ratio,type_B_brown_ratio,type_B_avg_tardy_hours,type_C_count,type_C_cost_energy,type_C_cost_delay,type_C_cost_total,type_C_shore_ratio,type_C_battery_ratio,type_C_brown_ratio,type_C_avg_tardy_hours,type_D_count,type_D_cost_energy,type_D_cost_delay,type_D_cost_total,type_D_shore_ratio,type_D_battery_ratio,type_D_brown_ratio,type_D_avg_tardy_hours,num_fully_masked,num_partially_masked,avg_masking_rate,time_saved_total,avg_stay_time,num_fully_masked_type_A,num_partially_masked_type_A,avg_masking_rate_type_A,num_fully_masked_type_B,num_partially_masked_type_B,avg_masking_rate_type_B,num_fully_masked_type_C,num_partially_masked_type_C,avg_masking_rate_type_C,num_fully_masked_type_D,num_partially_masked_type_D,avg_masking_rate_type_D,mode_shore_count,mode_battery_count,mode_brown_count,SP_share,BS_share,AE_share,avg_arrival_shift_h
100,1,U,CG+IR,loose,one_sided_delay,0.0,ok,,177677.89810300464,18.484799899999416,0.0,2.508163859758688e-05,0.0025081638597586,177673.44165017764,177673.44165017764,177677.89810300464,0.0,0,42648,1,18.484799899999416,full_pricing_converged,Full-CG LP-IP gap,True,0.0,Optimal,Optimal,True,1,0,0,42648,0.0,0.0,0,177677.89810300464,0.0,19,53047.35127374529,0.0,53047.35127374529,0.1578947368421052,0.8421052631578947,0.0,0.0,48,71214.41194161326,0.0,71214.41194161326,0.2291666666666666,0.7708333333333334,0.0,0.0,19,29416.13488764601,0.0,29416.13488764601,0.0,1.0,0.0,0.0,14,24000.0,0.0,24000.0,0.0714285714285714,0.9285714285714286,0.0,0.0,46,7,0.4918571228340451,71.2104203413564,15.98812424111454,7,3,0.4640674096829054,19,3,0.4192290682481334,9,1,0.4866019065009951,11,0,0.7857142857142857,15,85,0,0.15,0.85,0.0,0.0
100,2,U,CG+IR,loose,one_sided_delay,0.0,ok,,191125.0361372804,20.85189150000042,0.0,0.0009918259878349,0.0991825987834912,190935.4733595135,190935.4733595135,191125.0361372804,0.0,0,44467,1,20.85189150000042,full_pricing_converged,Full-CG LP-IP gap,True,0.0,Optimal,Optimal,True,1,0,0,44467,0.0,0.0,0,190475.0361372804,650.0,23,71908.2069146626,0.0,71908.2069146626,0.0434782608695652,0.9565217391304348,0.0,0.0,53,77668.98681750156,400.0,78068.98681750156,0.3018867924528302,0.6981132075471698,0.0,0.0094339622641509,12,19297.84240511622,250.0,19547.84240511622,0.0,1.0,0.0,0.0416666666666666,12,21600.0,0.0,21600.0,0.0,1.0,0.0,0.0,46,9,0.4919207917591282,65.54771756102846,15.687382641266671,12,1,0.5364184054296246,22,7,0.4600103853496191,5,0,0.4166666666666667,7,1,0.6228254522918033,17,83,0,0.17,0.83,0.0,0.0
100,1,U,CG+IR,loose,one_sided_delay,1.0,ok,,178210.95508020002,14.746168199999374,0.0,0.0,0.0,178210.95508020002,178210.95508020002,178210.95508020002,0.0,0,42182,1,14.746168199999374,full_pricing_converged,Full-CG LP-IP gap,True,0.0,Optimal,Optimal,True,1,0,0,42182,0.0,0.0,0,178210.95508020002,0.0,19,59150.23695702706,0.0,59150.23695702706,0.0,1.0,0.0,0.0,48,64444.58323552685,0.0,64444.58323552685,0.3541666666666667,0.6458333333333334,0.0,0.0,19,29416.13488764601,0.0,29416.13488764601,0.0,1.0,0.0,0.0,14,25200.0,0.0,25200.0,0.0,1.0,0.0,0.0,45,17,0.5370301790443948,77.75672195258667,15.353935259411251,8,3,0.4630397206556824,19,9,0.5057748799253957,8,3,0.4894495367982887,10,2,0.8091805554567886,17,83,0,0.17,0.83,0.0,0.4577205808284117
100,2,U,CG+IR,loose,one_sided_delay,1.0,ok,,191536.0936113857,17.304085199999463,0.0,1.2975631003013858e-05,0.0012975631003013,191533.60830971124,191533.60830971124,191536.0936113857,0.0,0,43962,1,17.304085199999463,full_pricing_converged,Full-CG LP-IP gap,True,0.0,Optimal,Optimal,True,1,0,0,43962,0.0,0.0,0,191336.0936113857,200.0,23,73933.56713556702,0.0,73933.56713556702,0.0,1.0,0.0,0.0,53,77704.68407070248,200.0,77904.68407070248,0.2830188679245283,0.7169811320754716,0.0,0.0047169811320754,12,19297.84240511622,0.0,19297.84240511622,0.0,1.0,0.0,0.0,12,20400.0,0.0,20400.0,0.0833333333333333,0.9166666666666666,0.0,0.0,41,14,0.4668386774102741,62.57816664623715,15.625637967440229,11,0,0.4782608695652174,19,11,0.4407997326654319,5,1,0.4459355179873034,6,2,0.5808546411593236,16,84,0,0.16,0.84,0.0,0.4571999520025378
100,1,U,CG+IR,loose,one_sided_delay,2.0,ok,,178404.9573977821,17.989792899999884,0.0,4.48829825758383e-05,0.0044882982575838,178396.95005118777,178396.95005118777,178404.9573977821,0.0,0,41579,1,17.989792899999884,full_pricing_converged,Full-CG LP-IP gap,True,0.0,Optimal,Optimal,True,1,0,0,41579,0.0,0.0,0,178404.9573977821,0.0,19,59150.23695702706,0.0,59150.23695702706,0.0,1.0,0.0,0.0,48,64638.58555310895,0.0,64638.58555310895,0.3541666666666667,0.6458333333333334,0.0,0.0,19,29416.13488764601,0.0,29416.13488764601,0.0,1.0,0.0,0.0,14,25200.0,0.0,25200.0,0.0,1.0,0.0,0.0,50,13,0.5566345952589343,78.94426369279932,15.263768818661738,9,1,0.4740291213934282,24,11,0.6155707147711468,6,1,0.3215532584422761,11,0,0.7857142857142857,17,83,0,0.17,0.83,0.0,1.060487899692977
100,2,U,CG+IR,loose,one_sided_delay,2.0,ok,,192359.70454443395,19.974791700000424,0.0,0.0011991223239334,0.1199122323933412,192129.04172848948,192129.04172848948,192359.70454443395,0.0,0,43397,1,19.974791700000424,full_pricing_converged,Full-CG LP-IP gap,True,0.0,Optimal,Optimal,True,1,0,0,43397,0.0,0.0,0,191134.70454443395,1225.0,23,71908.2069146626,500.0,72408.2069146626,0.0434782608695652,0.9565217391304348,0.0,0.0108695652173913,53,78328.65522465514,600.0,78928.65522465514,0.2830188679245283,0.7169811320754716,0.0,0.0141509433962264,12,19297.84240511622,125.0,19422.84240511622,0.0,1.0,0.0,0.0208333333333333,12,21600.0,0.0,21600.0,0.0,1.0,0.0,0.0,50,9,0.5430693865624734,77.74207060311764,15.426675689895628,12,1,0.546526990403645,26,6,0.5357537186936049,4,2,0.4451558988502036,8,0,0.6666666666666666,16,84,0,0.16,0.84,0.0,0.976403598192241
100,1,U,CG+IR,loose,symmetric,0.0,ok,,177844.10450057063,15.611827700000504,0.0,1.5617414975984476e-05,0.0015617414975984,177841.32703538964,177841.32703538964,177844.10450057063,0.0,0,42648,1,15.611827700000504,full_pricing_converged,Full-CG LP-IP gap,True,0.0,Optimal,Optimal,True,1,0,0,42648,0.0,0.0,0,177844.10450057063,0.0,19,53041.23759409014,0.0,53041.23759409014,0.1578947368421052,0.8421052631578947,0.0,0.0,48,73786.73201883445,0.0,73786.73201883445,0.1666666666666666,0.8333333333333334,0.0,0.0,19,29416.13488764601,0.0,29416.13488764601,0.0,1.0,0.0,0.0,14,21600.0,0.0,21600.0,0.2142857142857142,0.7857142857142857,0.0,0.0,39,17,0.4682343970138978,67.81647305187585,15.678318063889854,5,7,0.4685507273769265,16,6,0.3698260555051686,10,1,0.5781386344259575,8,3,0.6560493687776352,14,86,0,0.14,0.86,0.0,0.0
100,2,U,CG+IR,loose,symmetric,0.0,ok,,191105.2809389008,16.85903150000013,0.0,1.5229213088066695e-16,1.5229213088066694e-14,191105.2809389008,191105.2809389008,191105.2809389008,0.0,0,44467,1,16.85903150000013,full_pricing_converged,Full-CG LP-IP gap,True,0.0,Optimal,Optimal,True,1,0,0,44467,0.0,0.0,0,190980.2809389008,125.0,23,71908.2069146626,0.0,71908.2069146626,0.0434782608695652,0.9565217391304348,0.0,0.0,53,78174.23161912199,0.0,78174.23161912199,0.2830188679245283,0.7169811320754716,0.0,0.0,12,19297.84240511622,125.0,19422.84240511622,0.0,1.0,0.0,0.0208333333333333,12,21600.0,0.0,21600.0,0.0,1.0,0.0,0.0,46,11,0.504092589845703,66.49048092415227,15.60984998952676,10,1,0.4550719818672123,23,9,0.5021820795885342,5,1,0.4439127652860088,8,0,0.6666666666666666,16,84,0,0.16,0.84,0.0,0.0
100,1,U,CG+IR,loose,symmetric,1.0,ok,,178961.65917341245,16.58510159999969,0.0,5.041718192517631e-06,0.0005041718192517,178960.75689915963,178960.75689915963,178961.65917341245,0.0,0,42673,1,16.58510159999969,full_pricing_converged,Full-CG LP-IP gap,True,0.0,Optimal,Optimal,True,1,0,0,42673,0.0,0.0,0,178761.65917341245,200.0,19,59150.23695702706,0.0,59150.23695702706,0.0,1.0,0.0,0.0,48,66195.2873287393,200.0,66395.2873287393,0.3333333333333333,0.6666666666666666,0.0,0.0052083333333333,19,29416.13488764601,0.0,29416.13488764601,0.0,1.0,0.0,0.0,14,24000.0,0.0,24000.0,0.0714285714285714,0.9285714285714286,0.0,0.0,49,8,0.5246107736688063,70.79057008853525,15.669922561097888,11,0,0.5789473684210527,20,8,0.4887724451433466,9,0,0.4736842105263157,9,0,0.6428571428571429,17,83,0,0.17,0.83,0.0,-0.0159624733756569
100,2,U,CG+IR,loose,symmetric,1.0,ok,,191126.70773885105,16.367883099999744,0.0,0.0,0.0,191126.70773885105,191126.70773885105,191126.70773885105,0.0,0,44439,1,16.367883099999744,full_pricing_converged,Full-CG LP-IP gap,True,0.0,Optimal,Optimal,True,1,0,0,44439,0.0,0.0,0,191126.70773885105,0.0,23,73933.56713556702,0.0,73933.56713556702,0.0,1.0,0.0,0.0,53,77495.29819816785,0.0,77495.29819816785,0.3018867924528302,0.6981132075471698,0.0,0.0,12,19297.84240511622,0.0,19297.84240511622,0.0,1.0,0.0,0.0,12,20400.0,0.0,20400.0,0.0833333333333333,0.9166666666666666,0.0,0.0,47,10,0.5119964819262101,68.98034181668666,15.37727948389766,12,1,0.5307123997291833,22,8,0.4827226777213338,4,1,0.3674134233015912,9,0,0.75,17,83,0,0.17,0.83,0.0,0.0414550047187411
