N,seed,scenario,method,status,error,obj,runtime_total,runtime_pricing,gap,gap_pct,lp_lower_bound,lp_obj_final_pool,irmp_obj,best_reduced_cost_last,num_negative_columns_last,num_columns_total,iterations,runtime_sec,cg_status,gap_type,full_pricing_converged,min_reduced_cost,lp_status,ip_status,success,num_iters,num_pricing_calls,num_columns_added,n_columns_generated,min_reduced_cost_last,pricing_time_share,infeasible_jobs,cost_energy,cost_delay,type_A_count,type_A_cost_energy,type_A_cost_delay,type_A_cost_total,type_A_shore_ratio,type_A_battery_ratio,type_A_brown_ratio,type_A_avg_tardy_hours,type_B_count,type_B_cost_energy,type_B_cost_delay,type_B_cost_total,type_B_shore_ratio,type_B_battery_ratio,type_B_brown_ratio,type_B_avg_tardy_hours,type_C_count,type_C_cost_energy,type_C_cost_delay,type_C_cost_total,type_C_shore_ratio,type_C_battery_ratio,type_C_brown_ratio,type_C_avg_tardy_hours,type_D_count,type_D_cost_energy,type_D_cost_delay,type_D_cost_total,type_D_shore_ratio,type_D_battery_ratio,type_D_brown_ratio,type_D_avg_tardy_hours,num_fully_masked,num_partially_masked,avg_masking_rate,time_saved_total,avg_stay_time,num_fully_masked_type_A,num_partially_masked_type_A,avg_masking_rate_type_A,num_fully_masked_type_B,num_partially_masked_type_B,avg_masking_rate_type_B,num_fully_masked_type_C,num_partially_masked_type_C,avg_masking_rate_type_C,num_fully_masked_type_D,num_partially_masked_type_D,avg_masking_rate_type_D,mode_shore_count,mode_battery_count,mode_brown_count,SP_share,BS_share,AE_share,variant,objective_improvement_vs_baseline_pct
200,1,U,CG+IR,ok,,658378.0868126715,5.8668574999992416,1.2173345999999583,0.0,0.0,658378.0868126715,658378.0868126715,658378.0868126715,-3340.2321862829363,18085,4991,8,5.8668574999992416,budgeted_topK,Pool LP-IP gap,False,-3340.2321862829363,Optimal,Optimal,True,8,1600,4791,4991,-3340.2321862829363,0.2074934664767493,0,658378.0868126715,0.0,32,143924.75899704697,0.0,143924.75899704697,0.0625,0.4375,0.5,0.0,107,350934.5534598504,0.0,350934.5534598504,0.1121495327102803,0.0093457943925233,0.8785046728971962,0.0,36,86118.77435577405,0.0,86118.77435577405,0.0,0.4444444444444444,0.5555555555555556,0.0,25,77400.0,0.0,77400.0,0.0,0.28,0.72,0.0,40,8,0.226367980104073,75.34951292479673,14.852482541563935,12,4,0.4547992027823296,7,3,0.0876297119064685,16,0,0.4444444444444444,5,1,0.2137456943115169,14,38,148,0.07,0.19,0.74,baseline,0.0
200,1,U,CG+IR,ok,,629332.2989246588,8.268107799998688,1.2344343999993723,0.0,0.0,629332.2989246588,629332.2989246588,629332.2989246588,-3057.1380186290007,16020,8146,8,8.268107799998688,budgeted_topK,Pool LP-IP gap,False,-3057.1380186290007,Optimal,Optimal,True,8,1600,7946,8146,-3057.1380186290007,0.1493007142455941,0,629332.2989246588,0.0,32,100864.6322828884,0.0,100864.6322828884,0.09375,0.84375,0.0625,0.0,107,356849.91503425874,0.0,356849.91503425874,0.102803738317757,0.0093457943925233,0.8878504672897196,0.0,36,100817.7516075116,0.0,100817.7516075116,0.0,0.1944444444444444,0.8055555555555556,0.0,25,70800.0,0.0,70800.0,0.04,0.36,0.6,0.0,51,5,0.2636104468718742,79.59994827523022,14.854876698384006,29,1,0.92567598180952,6,3,0.0653488887540787,7,0,0.1944444444444444,9,1,0.3643250743913506,15,44,141,0.075,0.22,0.705,topK5,4.41171850488352
200,2,U,CG+IR,ok,,676653.5223256913,5.900674099999378,1.2830813999971724,0.0,0.0,676653.5223256913,676653.5223256913,676653.5223256913,-3398.9598490883127,18761,4944,8,5.900674099999378,budgeted_topK,Pool LP-IP gap,False,-3398.9598490883127,Optimal,Optimal,True,8,1600,4744,4944,-3398.9598490883127,0.2174465795352615,0,676253.5223256913,400.0,42,184753.1712764049,0.0,184753.1712764049,0.0714285714285714,0.4761904761904761,0.4523809523809524,0.0,100,324224.5288036671,400.0,324624.5288036671,0.09,0.01,0.9,0.005,27,61675.82224561932,0.0,61675.82224561932,0.0,0.5555555555555556,0.4444444444444444,0.0,31,105600.0,0.0,105600.0,0.064516129032258,0.0,0.935483870967742,0.0,39,8,0.2184104792142301,71.92470523856312,14.131184382791592,18,3,0.4683147748820209,5,4,0.0794244678249543,15,0,0.5555555555555556,1,1,0.0345299521066362,14,36,150,0.07,0.18,0.75,baseline,0.0
200,2,U,CG+IR,ok,,631963.0341816399,8.711960599999657,1.2920452000016667,0.0,0.0,631963.0341816399,631963.0341816399,631963.0341816399,-3076.4742324720987,13119,8108,8,8.711960599999657,budgeted_topK,Pool LP-IP gap,False,-3076.4742324720987,Optimal,Optimal,True,8,1600,7908,8108,-3076.4742324720987,0.14830705272033917,0,631963.0341816399,0.0,42,148807.3438390329,0.0,148807.3438390329,0.023809523809523808,0.8333333333333334,0.14285714285714285,0.0,100,303170.11389785603,0.0,303170.11389785603,0.12,0.06,0.82,0.0,27,79785.57644475077,0.0,79785.57644475077,0.0,0.14814814814814814,0.8518518518518519,0.0,31,100200.0,0.0,100200.0,0.06451612903225806,0.0967741935483871,0.8387096774193549,0.0,50,8,0.27207572749504216,77.5408971861647,14.161804780512934,32,1,0.7678330946541885,9,7,0.1316615552353251,4,0,0.14814814814814814,5,0,0.16129032258064516,15,48,137,0.075,0.24,0.685,topK5,6.604633932954047
