N,scenario,method,obj_mean,obj_std,runtime_mean,gap_pct_mean,success_rate,cg_status,gap_type
20,L,CG+IR,22895.29288107916,1624.9055755770357,3.42423534999989,0.30119204961605534,1.0,full_pricing_converged,Full-CG LP-IP gap
20,L,FIFO,25393.129756410577,1774.7473373871924,0.0036636500001349503,,1.0,,
20,L,Greedy,25393.129756410577,1774.7473373871924,0.01736919999984815,,1.0,,
20,L,Restricted-CG,25393.129756410577,1774.7473373871924,0.4491042499998912,0.0,1.0,budgeted_topK,Pool LP-IP gap
20,L,fix_and_optimize,23994.52187920941,2328.7047190350586,5.062054349999698,,1.0,,
20,L,rolling_horizon,24661.51023403403,888.3220802394881,4.433686749999879,,1.0,,
20,P,CG+IR,24097.83644228795,1717.656795249817,2.9000515999998697,0.0373833034055283,1.0,full_pricing_converged,Full-CG LP-IP gap
20,P,FIFO,25659.29297252513,1525.0617877427685,0.00348039999994395,,1.0,,
20,P,Greedy,25312.22739617116,2046.7316506902253,0.01759649999985405,,1.0,,
20,P,Restricted-CG,25312.22739617116,2046.7316506902303,0.4469075500001054,0.0,1.0,budgeted_topK,Pool LP-IP gap
20,P,fix_and_optimize,24692.02760069498,1546.2263327385947,4.98321060000012,,1.0,,
20,P,rolling_horizon,25599.850240194577,1784.7992813362475,5.617310099999941,,1.0,,
20,U,CG+IR,25010.01156775018,1692.1721114835698,3.010103049999998,0.21600610441218654,1.0,full_pricing_converged,Full-CG LP-IP gap
20,U,FIFO,26591.936594152547,1490.2172386651625,0.0033128999998551997,,1.0,,
20,U,Greedy,26591.936594152547,1490.2172386651625,0.017456649999985502,,1.0,,
20,U,Restricted-CG,26591.93659415255,1490.2172386651641,0.4443774500002746,0.0,1.0,budgeted_topK,Pool LP-IP gap
20,U,fix_and_optimize,25788.486166077742,1768.1803089603968,4.933584499999824,,1.0,,
20,U,rolling_horizon,26838.20938425664,2550.52876753805,5.558240850000175,,1.0,,
50,L,CG+IR,80985.88373806477,3696.2895192647616,8.793822249999948,0.015305143872612701,1.0,full_pricing_converged,Full-CG LP-IP gap
50,L,FIFO,84298.83205645139,5355.315724883775,0.013708850000057199,,1.0,,
50,L,Greedy,83482.09135529207,5079.497444559582,0.04369340000016555,,1.0,,
50,L,Restricted-CG,83482.09135529205,5079.497444559617,0.7837191999999504,0.0,1.0,budgeted_topK,Pool LP-IP gap
50,L,fix_and_optimize,82540.78068037413,4597.514480934741,7.297508049999806,,1.0,,
50,L,rolling_horizon,84493.18015022324,6775.474771960101,12.02887120000014,,1.0,,
50,P,CG+IR,81408.93080825529,1024.886722987034,7.322301100000004,0.010391289815444099,1.0,full_pricing_converged,Full-CG LP-IP gap
50,P,FIFO,83894.62140604027,532.6103219206201,0.01275695000003905,,1.0,,
50,P,Greedy,84050.2244304682,322.39880759625214,0.043271050000157546,,1.0,,
50,P,Restricted-CG,84050.22443046818,322.39880759625214,0.7606946500000049,0.0,1.0,budgeted_topK,Pool LP-IP gap
50,P,fix_and_optimize,82805.95825822919,840.2392689916053,9.427479449999964,,1.0,,
