N,seed,scenario,method,status,error,obj,runtime_total,runtime_pricing,gap,gap_pct,lp_lower_bound,lp_obj_final_pool,irmp_obj,best_reduced_cost_last,num_negative_columns_last,num_columns_total,iterations,runtime_sec,cg_status,gap_type,full_pricing_converged,min_reduced_cost,lp_status,ip_status,success,num_iters,num_pricing_calls,num_columns_added,n_columns_generated,min_reduced_cost_last,pricing_time_share,infeasible_jobs,cost_energy,cost_delay,type_A_count,type_A_cost_energy,type_A_cost_delay,type_A_cost_total,type_A_shore_ratio,type_A_battery_ratio,type_A_brown_ratio,type_A_avg_tardy_hours,type_B_count,type_B_cost_energy,type_B_cost_delay,type_B_cost_total,type_B_shore_ratio,type_B_battery_ratio,type_B_brown_ratio,type_B_avg_tardy_hours,type_C_count,type_C_cost_energy,type_C_cost_delay,type_C_cost_total,type_C_shore_ratio,type_C_battery_ratio,type_C_brown_ratio,type_C_avg_tardy_hours,type_D_count,type_D_cost_energy,type_D_cost_delay,type_D_cost_total,type_D_shore_ratio,type_D_battery_ratio,type_D_brown_ratio,type_D_avg_tardy_hours,num_fully_masked,num_partially_masked,avg_masking_rate,time_saved_total,avg_stay_time,num_fully_masked_type_A,num_partially_masked_type_A,avg_masking_rate_type_A,num_fully_masked_type_B,num_partially_masked_type_B,avg_masking_rate_type_B,num_fully_masked_type_C,num_partially_masked_type_C,avg_masking_rate_type_C,num_fully_masked_type_D,num_partially_masked_type_D,avg_masking_rate_type_D,mode_shore_count,mode_battery_count,mode_brown_count,SP_share,BS_share,AE_share,carbon_price,grid_factor,capacity_config,emissions_proxy_kg
100,1,U,CG+IR,ok,,258443.06389380828,6.28991219999989,0.0,0.0,0.0,258443.0638938083,258443.0638938083,258443.06389380828,0.0,0,30042,1,6.28991219999989,full_pricing_converged,Full-CG LP-IP gap,True,0.0,Optimal,Optimal,True,1,0,0,30042,0.0,0.0,0,258193.06389380828,250.0,19,59150.23695702706,0.0,59150.23695702706,0.0,1.0,0.0,0.0,48,116242.97817268904,0.0,116242.97817268904,0.1041666666666666,0.375,0.5208333333333334,0.0,19,55799.84876409219,250.0,56049.84876409219,0.0,0.1052631578947368,0.8947368421052632,0.0263157894736842,14,27000.0,0.0,27000.0,0.2142857142857142,0.5714285714285714,0.2142857142857142,0.0,21,6,0.2381485414153154,32.004993127241285,15.052642593275175,9,1,0.4800194383326469,8,2,0.1950960418308592,0,0,0.0,4,3,0.380705343237858,8,47,45,0.08,0.47,0.45,100,0.2,constrained,51638.61277876166
100,2,U,CG+IR,ok,,277148.2477576677,10.594787499998349,0.0,2.7919305212425427e-05,0.0027919305212425,277140.50997114944,277140.50997114944,277148.2477576677,0.0,0,30918,1,10.594787499998349,full_pricing_converged,Full-CG LP-IP gap,True,0.0,Optimal,Optimal,True,1,0,0,30918,0.0,0.0,0,275698.2477576677,1450.0,23,73933.56713556702,0.0,73933.56713556702,0.0,1.0,0.0,0.0,53,130937.2664113264,200.0,131137.26641132642,0.1132075471698113,0.3773584905660377,0.5094339622641509,0.0047169811320754,12,33627.41421077433,1250.0,34877.41421077433,0.0,0.25,0.75,0.2083333333333333,12,37200.0,0.0,37200.0,0.1666666666666666,0.0,0.8333333333333334,0.0,24,5,0.2515749554392578,32.31663875917392,14.909324056270766,10,0,0.4347826086956521,12,4,0.2471132567014557,1,0,0.0833333333333333,1,1,0.0883744115623851,8,46,46,0.08,0.46,0.46,100,0.2,constrained,55139.64955153354
100,1,U,CG+IR,ok,,178339.47421345147,24.725988000000143,0.0,1.5858094429793794e-05,0.0015858094429793,178336.64608922883,178336.64608922883,178339.47421345147,0.0,0,42648,1,24.725988000000143,full_pricing_converged,Full-CG LP-IP gap,True,0.0,Optimal,Optimal,True,1,0,0,42648,0.0,0.0,0,178339.47421345147,0.0,19,51171.21168002153,0.0,51171.21168002153,0.2105263157894736,0.7894736842105263,0.0,0.0,48,73752.12764578388,0.0,73752.12764578388,0.1666666666666666,0.8333333333333334,0.0,0.0,19,29416.13488764601,0.0,29416.13488764601,0.0,1.0,0.0,0.0,14,24000.0,0.0,24000.0,0.0714285714285714,0.9285714285714286,0.0,0.0,40,11,0.4684529638046903,71.64454553062693,15.93382478876277,4,3,0.3104073572826067,20,5,0.4883080625751885,9,0,0.4736842105263157,7,3,0.6077692563207469,13,87,0,0.13,0.87,0.0,100,0.2,baseline,35667.89484269029
100,2,U,CG+IR,ok,,190845.92207749336,29.990843899999163,0.0,8.302900139235905e-05,0.0083029001392359,190830.07633116347,190830.07633116347,190845.92207749336,0.0,0,44467,1,29.990843899999163,full_pricing_converged,Full-CG LP-IP gap,True,0.0,Optimal,Optimal,True,1,0,0,44467,0.0,0.0,0,190845.92207749336,0.0,23,71908.2069146626,0.0,71908.2069146626,0.0434782608695652,0.9565217391304348,0.0,0.0,53,78039.87275771453,0.0,78039.87275771453,0.2830188679245283,0.7169811320754716,0.0,0.0,12,19297.84240511622,0.0,19297.84240511622,0.0,1.0,0.0,0.0,12,21600.0,0.0,21600.0,0.0,1.0,0.0,0.0,46,12,0.4991296007408035,70.16649653766046,15.634125734324538,9,2,0.4126605039273325,24,10,0.5173918581839944,4,0,0.3333333333333333,9,0,0.75,16,84,0,0.16,0.84,0.0,100,0.2,baseline,38169.18441549868
100,1,U,CG+IR,ok,,161066.7564408896,79.41907019999962,0.0,2.0291007315286868e-05,0.0020291007315286,161063.4882341564,161063.4882341564,161066.7564408896,0.0,0,67860,1,79.41907019999962,full_pricing_converged,Full-CG LP-IP gap,True,0.0,Optimal,Optimal,True,1,0,0,67860,0.0,0.0,0,161066.7564408896,0.0,19,46762.28368945833,0.0,46762.28368945833,0.3157894736842105,0.6842105263157895,0.0,0.0,48,70488.33786378521,0.0,70488.33786378521,0.2291666666666666,0.7708333333333334,0.0,0.0,19,29416.13488764601,0.0,29416.13488764601,0.0,1.0,0.0,0.0,14,14400.0,0.0,14400.0,0.6428571428571429,0.3571428571428571,0.0,0.0,52,13,0.5770202516097479,109.03706938159225,15.80701988791158,6,6,0.4831902639947804,28,3,0.6022577003078108,12,0,0.631578947368421,6,4,0.543788609307075,26,74,0,0.26,0.74,0.0,100,0.2,expanded,32213.35128817792
100,2,U,CG+IR,ok,,173431.29083271933,48.40022150000004,0.0,4.22395461199168e-06,0.0004223954611991,173430.55826681855,173430.55826681855,173431.29083271933,0.0,0,71565,1,48.40022150000004,full_pricing_converged,Full-CG LP-IP gap,True,0.0,Optimal,Optimal,True,1,0,0,71565,0.0,0.0,0,173431.29083271933,0.0,23,49243.26848329954,0.0,49243.26848329954,0.4782608695652174,0.5217391304347826,0.0,0.0,53,83290.17994430357,0.0,83290.17994430357,0.1698113207547169,0.8301886792452831,0.0,0.0,12,19297.84240511622,0.0,19297.84240511622,0.0,1.0,0.0,0.0,12,21600.0,0.0,21600.0,0.0,1.0,0.0,0.0,53,12,0.603507724874009,132.94055478167175,15.507830571391658,13,8,0.796725207003515,29,4,0.585397975968303,6,0,0.5,5,0,0.4166666666666667,20,80,0,0.2,0.8,0.0,100,0.2,expanded,34686.25816654387
100,1,U,CG+IR,ok,,258443.06389380828,6.105403599998681,0.0,0.0,0.0,258443.0638938083,258443.0638938083,258443.06389380828,0.0,0,30042,1,6.105403599998681,full_pricing_converged,Full-CG LP-IP gap,True,0.0,Optimal,Optimal,True,1,0,0,30042,0.0,0.0,0,258193.06389380828,250.0,19,59150.23695702706,0.0,59150.23695702706,0.0,1.0,0.0,0.0,48,116242.97817268904,0.0,116242.97817268904,0.1041666666666666,0.375,0.5208333333333334,0.0,19,55799.84876409219,250.0,56049.84876409219,0.0,0.1052631578947368,0.8947368421052632,0.0263157894736842,14,27000.0,0.0,27000.0,0.2142857142857142,0.5714285714285714,0.2142857142857142,0.0,21,6,0.2381485414153154,32.004993127241285,15.052642593275175,9,1,0.4800194383326469,8,2,0.1950960418308592,0,0,0.0,4,3,0.380705343237858,8,47,45,0.08,0.47,0.45,100,0.565,constrained,145879.08110000167
100,2,U,CG+IR,ok,,277148.2477576677,6.928805100000318,0.0,2.7919305212425427e-05,0.0027919305212425,277140.50997114944,277140.50997114944,277148.2477576677,0.0,0,30918,1,6.928805100000318,full_pricing_converged,Full-CG LP-IP gap,True,0.0,Optimal,Optimal,True,1,0,0,30918,0.0,0.0,0,275698.2477576677,1450.0,23,73933.56713556702,0.0,73933.56713556702,0.0,1.0,0.0,0.0,53,130937.2664113264,200.0,131137.26641132642,0.1132075471698113,0.3773584905660377,0.5094339622641509,0.0047169811320754,12,33627.41421077433,1250.0,34877.41421077433,0.0,0.25,0.75,0.2083333333333333,12,37200.0,0.0,37200.0,0.1666666666666666,0.0,0.8333333333333334,0.0,24,5,0.2515749554392578,32.31663875917392,14.909324056270766,10,0,0.4347826086956521,12,4,0.2471132567014557,1,0,0.0833333333333333,1,1,0.0883744115623851,8,46,46,0.08,0.46,0.46,100,0.565,constrained,155769.5099830822
100,1,U,CG+IR,ok,,178339.47421345147,16.38980029999948,0.0,1.5858094429793794e-05,0.0015858094429793,178336.64608922883,178336.64608922883,178339.47421345147,0.0,0,42648,1,16.38980029999948,full_pricing_converged,Full-CG LP-IP gap,True,0.0,Optimal,Optimal,True,1,0,0,42648,0.0,0.0,0,178339.47421345147,0.0,19,51171.21168002153,0.0,51171.21168002153,0.2105263157894736,0.7894736842105263,0.0,0.0,48,73752.12764578388,0.0,73752.12764578388,0.1666666666666666,0.8333333333333334,0.0,0.0,19,29416.13488764601,0.0,29416.13488764601,0.0,1.0,0.0,0.0,14,24000.0,0.0,24000.0,0.0714285714285714,0.9285714285714286,0.0,0.0,40,11,0.4684529638046903,71.64454553062693,15.93382478876277,4,3,0.3104073572826067,20,5,0.4883080625751885,9,0,0.4736842105263157,7,3,0.6077692563207469,13,87,0,0.13,0.87,0.0,100,0.565,baseline,100761.80293060008
100,2,U,CG+IR,ok,,190845.92207749336,32.015468199999304,0.0,8.302900139235905e-05,0.0083029001392359,190830.07633116347,190830.07633116347,190845.92207749336,0.0,0,44467,1,32.015468199999304,full_pricing_converged,Full-CG LP-IP gap,True,0.0,Optimal,Optimal,True,1,0,0,44467,0.0,0.0,0,190845.92207749336,0.0,23,71908.2069146626,0.0,71908.2069146626,0.0434782608695652,0.9565217391304348,0.0,0.0,53,78039.87275771453,0.0,78039.87275771453,0.2830188679245283,0.7169811320754716,0.0,0.0,12,19297.84240511622,0.0,19297.84240511622,0.0,1.0,0.0,0.0,12,21600.0,0.0,21600.0,0.0,1.0,0.0,0.0,46,12,0.4991296007408035,70.16649653766046,15.634125734324538,9,2,0.4126605039273325,24,10,0.5173918581839944,4,0,0.3333333333333333,9,0,0.75,16,84,0,0.16,0.84,0.0,100,0.565,baseline,107827.94597378376
