method,status,obj,runtime_total,gap_pct,cg_status,gap_type,num_columns_total,iterations,best_reduced_cost_last,SP_share,BS_share,AE_share,avg_masking_rate,avg_stay_time,cost_energy,cost_delay,error
CG+IR strong,ok,525417.6739598438,61.09819930000049,0.0024277198811687444,budgeted_topK,Pool LP-IP gap,17921.0,30.0,-27.924298996461857,0.09,0.465,0.445,0.3043107390725642,15.590698243714556,523292.67395984376,2125.0,
Restricted-CG,ok,593180.9473364723,2.333311700000195,0.0,budgeted_topK,Pool LP-IP gap,1650.0,5.0,-8457.317860652913,0.06,0.475,0.465,0.27676065174031383,15.778515790450545,563155.9473364723,30025.0,
rolling_horizon,ok,584711.2012913715,36.58971790000032,,,,,,,0.06,0.455,0.485,0.22546315204366546,15.780908565453064,570236.2012913715,14475.0,
fix_and_optimize,ok,582071.0194861728,25.750190300001123,,,,,,,0.06,0.475,0.465,0.2644902024941587,15.738683819481734,562396.0194861728,19675.0,
FIFO,ok,588678.591099917,0.08348509999996168,,,,,,,0.07,0.47,0.46,0.2846887689519854,15.771697224359547,560328.5910999171,28350.0,
Greedy,ok,593180.9473364722,0.16336369999953604,,,,,,,0.06,0.475,0.465,0.27676065174031383,15.778515790450545,563155.9473364721,30025.0,
