N,total_cost,simops_saving_pct,masking_rate,SP_share,BS_share,AE_share,avg_stay_h
25,33949.06387863809,21.202733753987552,0.5226347533979387,0.45999999999999996,0.54,0.0,15.212678284091492
100,184592.69814547242,19.86344280405799,0.4837912822727469,0.14500000000000002,0.855,0.0,15.783975261543654
200,667515.8045691814,-14.052764128943213,0.22238922965915153,0.07,0.185,0.745,14.491833462177762
