K_SP,K_BS,total_cost,AE_share,masking_rate,co2_proxy_kg
1,1,267795.655825738,0.455,0.24486174842728659,40.95
1,2,198582.63064205938,0.030000000000000002,0.453143604737133,2.7
2,1,246688.17362841894,0.375,0.29754219952991157,33.75
2,2,184592.69814547242,0.0,0.4837912822727469,0.0
4,1,207076.39576061934,0.24,0.33931135971357196,21.6
4,2,167249.0236368045,0.0,0.5178208919280873,0.0
