N,seed,scenario,method,status,error,obj,runtime_total,runtime_pricing,gap,gap_pct,lp_lower_bound,lp_obj_final_pool,irmp_obj,best_reduced_cost_last,num_negative_columns_last,num_columns_total,iterations,runtime_sec,cg_status,gap_type,full_pricing_converged,min_reduced_cost,lp_status,ip_status,success,num_iters,num_pricing_calls,num_columns_added,n_columns_generated,min_reduced_cost_last,pricing_time_share,infeasible_jobs,cost_energy,cost_delay,type_A_count,type_A_cost_energy,type_A_cost_delay,type_A_cost_total,type_A_shore_ratio,type_A_battery_ratio,type_A_brown_ratio,type_A_avg_tardy_hours,type_B_count,type_B_cost_energy,type_B_cost_delay,type_B_cost_total,type_B_shore_ratio,type_B_battery_ratio,type_B_brown_ratio,type_B_avg_tardy_hours,type_C_count,type_C_cost_energy,type_C_cost_delay,type_C_cost_total,type_C_shore_ratio,type_C_battery_ratio,type_C_brown_ratio,type_C_avg_tardy_hours,type_D_count,type_D_cost_energy,type_D_cost_delay,type_D_cost_total,type_D_shore_ratio,type_D_battery_ratio,type_D_brown_ratio,type_D_avg_tardy_hours,mode_shore_count,mode_battery_count,mode_brown_count,SP_share,BS_share,AE_share,C_BS,num_fully_masked,num_partially_masked,avg_masking_rate,time_saved_total,avg_stay_time,num_fully_masked_type_A,num_partially_masked_type_A,avg_masking_rate_type_A,num_fully_masked_type_B,num_partially_masked_type_B,avg_masking_rate_type_B,num_fully_masked_type_C,num_partially_masked_type_C,avg_masking_rate_type_C,num_fully_masked_type_D,num_partially_masked_type_D,avg_masking_rate_type_D
100,2,U,rolling_horizon,ok,,208048.4887047825,19.65402950000044,,,,,,,,,,,,,,,,,,True,,,,,,,0,202898.4887047825,5150.0,23,67086.92730288909,0.0,67086.92730288909,0.0434782608695652,0.9130434782608696,0.0434782608695652,0.0,53,94073.82168154836,4400.0,98473.82168154836,0.1886792452830188,0.6037735849056604,0.2075471698113207,0.1037735849056603,12,20537.73972034507,750.0,21287.73972034507,0.0,0.8333333333333334,0.1666666666666666,0.125,12,21200.0,0.0,21200.0,0.1666666666666666,0.6666666666666666,0.1666666666666666,0.0,13,71,16,0.13,0.71,0.16,0.4,43.0,12.0,0.4915909592927276,67.89121897813126,15.17505278796146,10.0,2.0,0.4765655945154524,24.0,6.0,0.5255747610068126,5.0,1.0,0.4382724863508866,4.0,3.0,0.4236129238204709
100,2,U,fix_and_optimize,ok,,199898.06123898827,15.895183099999484,,,,,,,,,,,,,,,,,,True,,,,,,,0,193323.06123898827,6575.0,23,65092.43598921035,500.0,65592.43598921035,0.0869565217391304,0.8695652173913043,0.0434782608695652,0.0108695652173913,53,85047.43061889306,5200.0,90247.43061889306,0.1886792452830188,0.6981132075471698,0.1132075471698113,0.1226415094339622,12,18983.19463088486,875.0,19858.19463088486,0.0,0.9166666666666666,0.0833333333333333,0.1458333333333333,12,24200.0,0.0,24200.0,0.0833333333333333,0.6666666666666666,0.25,0.0,13,76,11,0.13,0.76,0.11,0.4,48.0,11.0,0.5396064264753956,80.65629991667728,15.209455380535797,11.0,2.0,0.5338460805799433,25.0,8.0,0.5505133693394428,8.0,0.0,0.6666666666666666,4.0,1.0,0.3754145182675324
100,1,U,CG+IR,ok,,178339.47421345147,17.325970300000336,0.0,1.5858094429793794e-05,0.0015858094429793,178336.64608922883,178336.64608922883,178339.47421345147,0.0,0.0,42648.0,1.0,17.325970300000336,full_pricing_converged,Full-CG LP-IP gap,1.0,0.0,Optimal,Optimal,True,1.0,0.0,0.0,42648.0,0.0,0.0,0,178339.47421345147,0.0,19,51171.21168002153,0.0,51171.21168002153,0.2105263157894736,0.7894736842105263,0.0,0.0,48,73752.12764578388,0.0,73752.12764578388,0.1666666666666666,0.8333333333333334,0.0,0.0,19,29416.13488764601,0.0,29416.13488764601,0.0,1.0,0.0,0.0,14,24000.0,0.0,24000.0,0.0714285714285714,0.9285714285714286,0.0,0.0,13,87,0,0.13,0.87,0.0,0.45,,,,,,,,,,,,,,,,,
100,1,U,rolling_horizon,ok,,202909.0207742249,19.94740410000032,,,,,,,,,,,,,,,,,,True,,,,,,,0,199934.0207742249,2975.0,19,60433.12904029398,0.0,60433.12904029398,0.0526315789473684,0.8947368421052632,0.0526315789473684,0.0,48,78368.65766889806,600.0,78968.65766889806,0.25,0.625,0.125,0.015625,19,32332.23406503286,2000.0,34332.234065032855,0.0,0.8947368421052632,0.1052631578947368,0.2105263157894736,14,28800.0,375.0,29175.0,0.0,0.8571428571428571,0.1428571428571428,0.0178571428571428,13,76,11,0.13,0.76,0.11,0.45,38.0,11.0,0.4361377560742627,54.53674989650533,15.623290725763422,6.0,2.0,0.3821834119123396,16.0,8.0,0.4047145558240054,9.0,1.0,0.5224206369231345,7.0,0.0,0.5
100,1,U,fix_and_optimize,ok,,204382.4711616829,13.93878020000011,,,,,,,,,,,,,,,,,,True,,,,,,,0,197307.4711616829,7075.0,19,62735.61189337302,500.0,63235.61189337302,0.0,0.9473684210526316,0.0526315789473684,0.0131578947368421,48,74881.383524321,3200.0,78081.383524321,0.3333333333333333,0.5416666666666666,0.125,0.0833333333333333,19,30890.47574398883,3000.0,33890.475743988834,0.0,0.9473684210526316,0.0526315789473684,0.3157894736842105,14,28800.0,375.0,29175.0,0.0,0.8571428571428571,0.1428571428571428,0.0178571428571428,16,74,10,0.16,0.74,0.1,0.45,49.0,8.0,0.5312309185911697,72.51316757647322,15.2841662991301,11.0,2.0,0.6684326550502655,19.0,6.0,0.4463098211075398,11.0,0.0,0.5789473684210527,8.0,0.0,0.5714285714285714
100,2,U,CG+IR,ok,,190845.92207749336,21.220051199999943,0.0,8.302900139235905e-05,0.0083029001392359,190830.07633116347,190830.07633116347,190845.92207749336,0.0,0.0,44467.0,1.0,21.220051199999943,full_pricing_converged,Full-CG LP-IP gap,1.0,0.0,Optimal,Optimal,True,1.0,0.0,0.0,44467.0,0.0,0.0,0,190845.92207749336,0.0,23,71908.2069146626,0.0,71908.2069146626,0.0434782608695652,0.9565217391304348,0.0,0.0,53,78039.87275771453,0.0,78039.87275771453,0.2830188679245283,0.7169811320754716,0.0,0.0,12,19297.84240511622,0.0,19297.84240511622,0.0,1.0,0.0,0.0,12,21600.0,0.0,21600.0,0.0,1.0,0.0,0.0,16,84,0,0.16,0.84,0.0,0.45,,,,,,,,,,,,,,,,,
100,2,U,rolling_horizon,ok,,218717.04530030765,21.39177380000001,,,,,,,,,,,,,,,,,,True,,,,,,,0,214242.04530030765,4475.0,23,74614.25950053375,0.0,74614.25950053375,0.0434782608695652,0.9130434782608696,0.0434782608695652,0.0,53,92883.3421509543,3600.0,96483.3421509543,0.2075471698113207,0.660377358490566,0.1320754716981132,0.0849056603773584,12,20944.44364881962,875.0,21819.44364881962,0.0,0.9166666666666666,0.0833333333333333,0.1458333333333333,12,25800.0,0.0,25800.0,0.0833333333333333,0.6666666666666666,0.25,0.0,13,75,12,0.13,0.75,0.12,0.45,43.0,10.0,0.476998908706452,63.94109005038797,15.344656989711204,11.0,2.0,0.545080047681181,24.0,4.0,0.4824272816940619,5.0,0.0,0.4166666666666667,3.0,4.0,0.3828669870160631
100,2,U,fix_and_optimize,ok,,219397.5736222932,16.279547499999353,,,,,,,,,,,,,,,,,,True,,,,,,,0,215522.5736222932,3875.0,23,72220.86992411925,0.0,72220.86992411925,0.0869565217391304,0.8695652173913043,0.0434782608695652,0.0,53,96557.26004935431,3000.0,99557.26004935431,0.1698113207547169,0.6792452830188679,0.1509433962264151,0.070754716981132,12,20944.44364881962,875.0,21819.44364881962,0.0,0.9166666666666666,0.0833333333333333,0.1458333333333333,12,25800.0,0.0,25800.0,0.0833333333333333,0.6666666666666666,0.25,0.0,12,75,13,0.12,0.75,0.13,0.45,49.0,9.0,0.5379845676639959,82.25158811473155,15.087029434139954,12.0,1.0,0.5595234376224443,25.0,8.0,0.5458380698317619,7.0,0.0,0.5833333333333334,5.0,0.0,0.4166666666666667
100,1,U,CG+IR,ok,,234786.11090177903,18.606331500000124,0.0,1.8068264172703424e-05,0.0018068264172703,234781.8687243032,234781.8687243032,234786.11090177903,0.0,0.0,42648.0,1.0,18.606331500000124,full_pricing_converged,Full-CG LP-IP gap,1.0,0.0,Optimal,Optimal,True,1.0,0.0,0.0,42648.0,0.0,0.0,0,234786.11090177903,0.0,19,66898.44469386112,0.0,66898.44469386112,0.2105263157894736,0.7894736842105263,0.0,0.0,48,96866.1530243899,0.0,96866.1530243899,0.1666666666666666,0.8333333333333334,0.0,0.0,19,39221.51318352802,0.0,39221.51318352802,0.0,1.0,0.0,0.0,14,31800.0,0.0,31800.0,0.0714285714285714,0.9285714285714286,0.0,0.0,13,87,0,0.13,0.87,0.0,0.6,,,,,,,,,,,,,,,,,
100,1,U,rolling_horizon,ok,,258233.8011926574,20.44767619999948,,,,,,,,,,,,,,,,,,True,,,,,,,0,253983.8011926574,4250.0,19,77803.50828731482,0.0,77803.50828731482,0.0526315789473684,0.8947368421052632,0.0526315789473684,0.0,48,97922.71043606136,3000.0,100922.71043606136,0.2708333333333333,0.5416666666666666,0.1875,0.078125,19,42257.58246928122,1250.0,43507.58246928122,0.0,0.8421052631578947,0.1578947368421052,0.131578947368421,14,36000.0,0.0,36000.0,0.0,0.8571428571428571,0.1428571428571428,0.0,14,71,15,0.14,0.71,0.15,0.6,40.0,15.0,0.4610041834344329,55.43932130826686,15.346920545352086,11.0,2.0,0.6356335291978763,12.0,10.0,0.325038652786536,9.0,2.0,0.5232525061160753,8.0,1.0,0.6056948813374622
100,1,U,fix_and_optimize,ok,,253403.4919747181,15.62859759999992,,,,,,,,,,,,,,,,,,True,,,,,,,0,248528.4919747181,4875.0,19,81257.2325669334,0.0,81257.2325669334,0.0,0.9473684210526316,0.0526315789473684,0.0,48,90105.6801059988,4000.0,94105.6801059988,0.3333333333333333,0.5416666666666666,0.125,0.1041666666666666,19,41165.579301785925,875.0,42040.579301785925,0.0,0.8947368421052632,0.1052631578947368,0.0921052631578947,14,36000.0,0.0,36000.0,0.0,0.8571428571428571,0.1428571428571428,0.0,16,73,11,0.16,0.73,0.11,0.6,53.0,9.0,0.5602254418632601,74.68775682188001,15.186210008452242,9.0,1.0,0.5008014173700017,22.0,7.0,0.5090575251028323,13.0,1.0,0.6880292658610534,9.0,0.0,0.6428571428571429
100,2,U,CG+IR,ok,,251523.93771524125,19.688681199999337,0.0,9.449831948098048e-05,0.009449831948098,251500.16912581792,251500.16912581792,251523.93771524125,0.0,0.0,44467.0,1.0,19.688681199999337,full_pricing_converged,Full-CG LP-IP gap,1.0,0.0,Optimal,Optimal,True,1.0,0.0,0.0,44467.0,0.0,0.0,0,251523.93771524125,0.0,23,95540.04918273274,0.0,95540.04918273274,0.0434782608695652,0.9565217391304348,0.0,0.0,53,101453.4319923536,0.0,101453.4319923536,0.2830188679245283,0.7169811320754716,0.0,0.0,12,25730.45654015495,0.0,25730.45654015495,0.0,1.0,0.0,0.0,12,28800.0,0.0,28800.0,0.0,1.0,0.0,0.0,16,84,0,0.16,0.84,0.0,0.6,,,,,,,,,,,,,,,,,
100,2,U,rolling_horizon,ok,,278129.62789919507,21.77471719999994,,,,,,,,,,,,,,,,,,True,,,,,,,0,273154.62789919507,4975.0,23,94347.32004334468,500.0,94847.32004334468,0.0869565217391304,0.8695652173913043,0.0434782608695652,0.0108695652173913,53,119579.11715322651,3600.0,123179.11715322651,0.1886792452830188,0.6037735849056604,0.2075471698113207,0.0849056603773584,12,26828.190702623888,875.0,27703.190702623888,0.0,0.9166666666666666,0.0833333333333333,0.1458333333333333,12,32400.0,0.0,32400.0,0.0,0.75,0.25,0.0,12,72,16,0.12,0.72,0.16,0.6,42.0,6.0,0.4465987704013694,60.240322817009655,15.234561449832716,12.0,1.0,0.5608616917006788,22.0,5.0,0.4483029836041762,6.0,0.0,0.5,2.0,0.0,0.1666666666666666
100,2,U,fix_and_optimize,ok,,272836.6124672634,17.383509600000252,,,,,,,,,,,,,,,,,,True,,,,,,,0,270011.6124672634,2825.0,23,93606.17172884598,0.0,93606.17172884598,0.0869565217391304,0.8695652173913043,0.0434782608695652,0.0,53,118020.13576973048,2200.0,120220.13576973048,0.1698113207547169,0.6792452830188679,0.1509433962264151,0.0518867924528301,12,27785.30496868699,625.0,28410.30496868699,0.0,0.8333333333333334,0.1666666666666666,0.1041666666666666,12,30600.0,0.0,30600.0,0.0833333333333333,0.6666666666666666,0.25,0.0,12,74,14,0.12,0.74,0.14,0.6,54.0,6.0,0.5718325484642631,84.79018667475158,14.883277893178292,13.0,1.0,0.6030016984920096,29.0,5.0,0.5908342600209452,7.0,0.0,0.5833333333333334,5.0,0.0,0.4166666666666667
100,1,U,CG+IR,ok,,310048.2931528824,18.69847910000044,0.0,1.9763511391607304e-05,0.0019763511391607,310042.16550990875,310042.16550990875,310048.2931528824,0.0,0.0,42648.0,1.0,18.69847910000044,full_pricing_converged,Full-CG LP-IP gap,1.0,0.0,Optimal,Optimal,True,1.0,0.0,0.0,42648.0,0.0,0.0,0,310048.2931528824,0.0,19,87868.08871231391,0.0,87868.08871231391,0.2105263157894736,0.7894736842105263,0.0,0.0,48,127684.85352919792,0.0,127684.85352919792,0.1666666666666666,0.8333333333333334,0.0,0.0,19,52295.35091137069,0.0,52295.35091137069,0.0,1.0,0.0,0.0,14,42200.0,0.0,42200.0,0.0714285714285714,0.9285714285714286,0.0,0.0,13,87,0,0.13,0.87,0.0,0.8,,,,,,,,,,,,,,,,,
100,1,U,rolling_horizon,ok,,321998.17842780903,20.37173520000033,,,,,,,,,,,,,,,,,,True,,,,,,,0,318598.17842780903,3400.0,19,101627.3456384441,0.0,101627.3456384441,0.0526315789473684,0.8421052631578947,0.1052631578947368,0.0,48,118156.617819189,3400.0,121556.617819189,0.2708333333333333,0.5416666666666666,0.1875,0.0885416666666666,19,53614.21497017593,0.0,53614.21497017593,0.0,0.7894736842105263,0.2105263157894736,0.0,14,45200.0,0.0,45200.0,0.0,0.9285714285714286,0.0714285714285714,0.0,14,70,16,0.14,0.7,0.16,0.8,42.0,10.0,0.4526965323504159,55.45269291294776,15.279530236789611,11.0,2.0,0.6176614647568974,13.0,7.0,0.3184352968176752,11.0,1.0,0.5920626924953751,7.0,0.0,0.5
100,1,U,fix_and_optimize,ok,,318848.75879470503,13.127152600000043,,,,,,,,,,,,,,,,,,True,,,,,,,0,314848.75879470503,4000.0,19,105952.7267983472,0.0,105952.7267983472,0.0,0.9473684210526316,0.0526315789473684,0.0,48,110445.81808201362,4000.0,114445.81808201362,0.3333333333333333,0.5208333333333334,0.1458333333333333,0.1041666666666666,19,53250.21391434416,0.0,53250.21391434416,0.0,0.8421052631578947,0.1578947368421052,0.0,14,45200.0,0.0,45200.0,0.0,0.9285714285714286,0.0714285714285714,0.0,16,72,12,0.16,0.72,0.12,0.8,51.0,9.0,0.555235158471376,73.24620493701606,15.085596323547009,12.0,0.0,0.631578947368421,19.0,7.0,0.4577018001631521,12.0,2.0,0.7133594441740155,8.0,0.0,0.5714285714285714
100,2,U,CG+IR,ok,,332383.0212036644,21.4238478999996,0.0,2.4718961886008465e-05,0.0024718961886008,332374.80504043173,332374.80504043173,332383.0212036644,0.0,0.0,44467.0,1.0,21.4238478999996,full_pricing_converged,Full-CG LP-IP gap,1.0,0.0,Optimal,Optimal,True,1.0,0.0,0.0,44467.0,0.0,0.0,0,332383.0212036644,0.0,23,127049.17220682628,0.0,127049.17220682628,0.0434782608695652,0.9565217391304348,0.0,0.0,53,137826.57360996492,0.0,137826.57360996492,0.2452830188679245,0.7358490566037735,0.0188679245283018,0.0,12,34307.27538687328,0.0,34307.27538687328,0.0,1.0,0.0,0.0,12,33200.0,0.0,33200.0,0.1666666666666666,0.8333333333333334,0.0,0.0,16,83,1,0.16,0.83,0.01,0.8,,,,,,,,,,,,,,,,,
100,2,U,rolling_horizon,ok,,347491.90326773387,22.695193200000176,,,,,,,,,,,,,,,,,,True,,,,,,,0,342391.90326773387,5100.0,23,128068.91652222804,500.0,128568.91652222804,0.0434782608695652,0.8695652173913043,0.0869565217391304,0.0108695652173913,53,142000.94534322165,4600.0,146600.94534322165,0.2075471698113207,0.5849056603773585,0.2075471698113207,0.1084905660377358,12,35322.04140228419,0.0,35322.04140228419,0.0,0.75,0.25,0.0,12,37000.0,0.0,37000.0,0.0833333333333333,0.6666666666666666,0.25,0.0,13,68,19,0.13,0.68,0.19,0.8,33.0,13.0,0.3870614018095321,54.49741459482989,15.25155988285598,9.0,4.0,0.474657489491824,16.0,7.0,0.3595442011118675,5.0,1.0,0.4382724863508866,3.0,1.0,0.2894921189584699
100,2,U,fix_and_optimize,ok,,345084.93241148,14.77725510000073,,,,,,,,,,,,,,,,,,True,,,,,,,0,338659.93241148,6425.0,23,122119.90746848162,500.0,122619.90746848162,0.08695652173913043,0.8695652173913043,0.043478260869565216,0.010869565217391304,53,144547.8000799478,5800.0,150347.8000799478,0.18867924528301888,0.6415094339622641,0.16981132075471697,0.13679245283018868,12,34992.22486305062,125.0,35117.22486305062,0.0,0.8333333333333334,0.16666666666666666,0.020833333333333332,12,37000.0,0.0,37000.0,0.08333333333333333,0.6666666666666666,0.25,0.0,13,72,15,0.13,0.72,0.15,0.8,52.0,6.0,0.5488854797530065,76.23273437814588,14.886190767719151,14.0,2.0,0.6616109467481714,28.0,3.0,0.5503117354883456,6.0,0.0,0.5,4.0,1.0,0.3754145182675324
