delta,seed,total_cost,delay_cost,avg_stay_time,masking_rate,ae_share,runtime
0.0,1,178339.47421345147,0.0,15.795270765762409,0.4787118755830345,0.0,13.81267700000899
0.0,2,190845.92207749336,0.0,15.67817527108889,0.5025400172924642,0.0,16.597773899964523
0.0,3,183140.37162830672,400.0,16.38139924339609,0.5111424652561812,0.0,13.686602899979334
0.0,4,177329.8383274136,0.0,16.596796441751763,0.4812289392912657,0.0,14.641200799960643
0.0,5,180162.8843081935,0.0,15.603520322364986,0.47945336162444524,0.0,12.330766699975356
0.0,6,183223.63287354715,0.0,15.896694120821401,0.4498802332430422,0.0,12.81026550004026
0.0,7,189318.64671756962,0.0,15.93841213082975,0.5166779092797824,0.0,12.467340200033505
0.0,8,186831.28410148967,0.0,16.13075419370386,0.537432118646482,0.0,15.280326500011142
0.0,9,182675.58904233202,0.0,15.53151870740733,0.5052156759571823,0.0,11.442724199965596
0.0,10,181510.71319053316,0.0,16.31302340180175,0.5068363806368976,0.0,19.354606900014915
0.5,1,178007.8849171153,0.0,15.782721354268833,0.5099811443802872,0.0,15.603820600023028
0.5,2,190578.5295748314,0.0,15.567870674468427,0.493251623056326,0.0,17.547205200011376
0.5,3,183021.78762252023,325.0,16.137478531564188,0.5580590347328739,0.0,14.380358800000977
0.5,4,177502.40169583558,0.0,16.384216612673615,0.5367717586115057,0.0,14.859234899980947
0.5,5,180366.42318818165,0.0,15.555350388191863,0.44104861997688033,0.0,15.209210500004701
0.5,6,183273.43176327087,0.0,15.759404154932906,0.511079369841141,0.0,15.014858100039419
0.5,7,189161.1527529627,0.0,15.813850930051064,0.5264599127128086,0.0,14.591188999998849
0.5,8,186614.8339117767,0.0,16.093094465744375,0.5367485774069555,0.0,19.290972899994813
0.5,9,182518.8843755797,0.0,15.499356259942836,0.47661880806243667,0.0,11.337212500046007
0.5,10,181670.50116709666,0.0,16.00589941326122,0.5692608192226081,0.0,13.812360499985516
1.0,1,177807.1743503776,0.0,15.868036405702101,0.4898608589052217,0.0,13.775175099959597
1.0,2,190170.70177011253,0.0,15.49436722800865,0.5247411371138768,0.0,13.274312199966516
1.0,3,182405.7132336809,0.0,16.370644003638247,0.5330302806036524,0.0,13.554593799985014
1.0,4,177376.9070156425,0.0,16.494990812912647,0.5231638155165201,0.0,14.019262700050604
1.0,5,180396.83377170295,0.0,15.51773944243364,0.448814521863806,0.0,15.197355700016487
1.0,6,183140.66946093654,0.0,15.651306176478407,0.5124448971263059,0.0,14.595972899987828
1.0,7,188952.94472633713,0.0,15.7370251569224,0.5493813539350378,0.0,12.555602000036743
1.0,8,186227.8094679404,0.0,16.07242896455179,0.5249810681192865,0.0,16.159534099977463
1.0,9,182395.32190130747,0.0,15.470542774711884,0.5233275579442168,0.0,10.312000999983866
1.0,10,181417.8936616723,0.0,16.149789835411195,0.5323295477660654,0.0,13.169055100006517
1.5,1,177669.9183691855,0.0,15.961552974749239,0.5103456459501641,0.0,15.595037500024773
1.5,2,190071.34228346022,0.0,15.565983732726309,0.5105715721724432,0.0,13.695612200011965
1.5,3,182134.67415019198,0.0,16.19688697317556,0.5781839290379583,0.0,14.065162500017323
1.5,4,177227.8878890958,0.0,16.808294244900594,0.456294493518287,0.0,14.922003800049424
1.5,5,180392.43467271604,0.0,15.557537278443144,0.45530549728065267,0.0,14.005712000012863
1.5,6,183203.38748129184,0.0,15.872503480376526,0.5040936459632397,0.0,13.660658599983435
1.5,7,188818.83384039268,0.0,15.842832656591288,0.5763039179827627,0.0,12.457661900029052
1.5,8,185953.43299003344,0.0,16.175713048570845,0.5194138565599049,0.0,15.45568730001105
1.5,9,182440.2291122246,0.0,15.489984380019855,0.520890436328007,0.0,10.437861400016118
1.5,10,181209.27940484032,0.0,16.175566605464855,0.5284336900665264,0.0,12.977833699958865
2.0,1,177455.2689115473,0.0,15.942502883869917,0.48831502243242797,0.0,12.654312799975742
2.0,2,189937.12603543096,0.0,15.620254754497086,0.5236456833271866,0.0,15.488889800035395
2.0,3,182179.68644898912,125.0,16.269513321126862,0.5404623764217844,0.0,14.960616700001992
2.0,4,177023.73406093873,0.0,16.65327964639264,0.48659927740371217,0.0,15.352513199963141
2.0,5,180466.2599676157,0.0,15.524280376529216,0.4834718281615231,0.0,12.486580899974797
2.0,6,183216.81899225147,0.0,15.759157620680378,0.5036946213748212,0.0,13.711761399987154
2.0,7,188734.10667980817,0.0,15.618868874737506,0.5346534201940623,0.0,13.94996669999091
2.0,8,185794.8127604726,0.0,16.086445315629064,0.5311679782240301,0.0,14.264418399950955
2.0,9,182511.9457683833,0.0,15.301359096574627,0.5315660865427448,0.0,13.64404270000523
2.0,10,180888.02020444465,0.0,16.163615873154026,0.5680761523859529,0.0,12.581534199998714
