carbon_price,C_AE,mean_cost,std_cost,mean_ae_share,mean_sp_share,mean_bs_share,mean_masking_rate
100,0.65,183337.835648033,4234.791508192314,0.0,0.149,0.851,0.4989529780058435
140,0.75,183337.835648033,4234.791508192315,0.0,0.149,0.851,0.510637839409158
200,0.9,183337.835648033,4234.791508192314,0.0,0.149,0.851,0.4969118976810778
260,1.05,183337.835648033,4234.791508192314,0.0,0.149,0.851,0.500702500434273
320,1.2,183337.835648033,4234.791508192315,0.0,0.149,0.851,0.4962783251840676
380,1.35,183337.835648033,4234.791508192314,0.0,0.149,0.851,0.4918780929640789
