delta,mean_cost,std_cost,mean_delay_cost,std_delay_cost,mean_energy_cost,mean_ae_share,mean_masking_rate,mean_num_delayed,mean_avg_delay_hours,cost_change_pct,delay_cost_change_pct,energy_cost_change_pct
0.0,183337.835648033,4234.791508192314,40.0,120.0,183297.835648033,0.0,0.4969118976810778,0.2,0.025,0.0,0.0,0.0
0.5,183271.8084177452,4221.321962423302,40.0,120.0,183231.8084177452,0.0,0.5097592445494578,0.2,0.025,-0.03601396845033779,0.0,-0.03602182756516541
1.0,183114.92056744435,4174.82987455642,0.0,0.0,183114.92056744435,0.0,0.5066396086101054,0.0,0.0,-0.12158705801273148,-100.0,-0.09979118408135065
1.5,183086.61503579371,4180.791315634048,0.0,0.0,183086.61503579371,0.0,0.5177564180465339,0.0,0.0,-0.13702605976083562,-100.0,-0.11523355499127681
2.0,183113.44428963435,4129.458962990355,57.5,121.47530613256342,183055.94428963435,0.0,0.5197983861774927,0.2,0.05,-0.12239228067982551,43.75,-0.1319662927516152
