delta,seed,total_cost,energy_cost,delay_cost,sp_share,bs_share,ae_share,avg_stay_time,masking_rate,num_delayed_vessels,avg_delay_hours,runtime
0.0,1,178339.47421345147,178339.47421345147,0.0,0.13,0.87,0.0,15.795270765762409,0.4787118755830345,0,0.0,13.861190900031943
0.0,2,190845.92207749336,190845.92207749336,0.0,0.16,0.84,0.0,15.67817527108889,0.5025400172924642,0,0.0,16.61655380000593
0.0,3,183140.37162830672,182740.37162830672,400.0,0.17,0.83,0.0,16.38139924339609,0.5111424652561812,2,0.25,14.568760999944061
0.0,4,177329.8383274136,177329.8383274136,0.0,0.12,0.88,0.0,16.596796441751763,0.4812289392912657,0,0.0,14.9555529000354
0.0,5,180162.8843081935,180162.8843081935,0.0,0.15,0.85,0.0,15.603520322364986,0.47945336162444524,0,0.0,12.212284700013697
0.0,6,183223.63287354715,183223.63287354715,0.0,0.14,0.86,0.0,15.896694120821401,0.4498802332430422,0,0.0,12.791419099958148
0.0,7,189318.64671756962,189318.64671756962,0.0,0.15,0.85,0.0,15.93841213082975,0.5166779092797824,0,0.0,12.611482099979185
0.0,8,186831.28410148967,186831.28410148967,0.0,0.15,0.85,0.0,16.13075419370386,0.537432118646482,0,0.0,15.146609099989291
0.0,9,182675.58904233202,182675.58904233202,0.0,0.16,0.84,0.0,15.53151870740733,0.5052156759571823,0,0.0,11.236494200013112
0.0,10,181510.71319053316,181510.71319053316,0.0,0.16,0.84,0.0,16.31302340180175,0.5068363806368976,0,0.0,13.401594700000715
0.5,1,178204.11237964328,178204.11237964328,0.0,0.13,0.87,0.0,15.906847580380056,0.4694558673481549,0,0.0,13.872728399990592
0.5,2,190726.8556144704,190726.8556144704,0.0,0.16,0.84,0.0,15.7285567932977,0.49254847564548065,0,0.0,15.690204999991693
0.5,3,183103.7746388925,182703.7746388925,400.0,0.17,0.83,0.0,16.334215002282086,0.5393897209546414,2,0.25,14.51095379999606
0.5,4,177313.18593451698,177313.18593451698,0.0,0.12,0.88,0.0,16.405713625276093,0.5334427621773429,0,0.0,16.0397057000082
0.5,5,180088.20735793805,180088.20735793805,0.0,0.15,0.85,0.0,15.523769316842401,0.44198367900066826,0,0.0,11.721998900000472
0.5,6,183140.66946093654,183140.66946093654,0.0,0.14,0.86,0.0,15.871444485110985,0.4956798836433775,0,0.0,14.376653600018471
0.5,7,189198.14119063402,189198.14119063402,0.0,0.14,0.86,0.0,15.955881059768894,0.5436104070517429,0,0.0,12.693259200023022
0.5,8,186850.73274788662,186850.73274788662,0.0,0.15,0.85,0.0,15.9513884786596,0.558671867043663,0,0.0,13.569401099986862
0.5,9,182443.72556604742,182443.72556604742,0.0,0.16,0.84,0.0,15.517659403392548,0.4691915951193828,0,0.0,10.450279699987732
0.5,10,181648.679286486,181648.679286486,0.0,0.16,0.84,0.0,16.24202954517779,0.5536181875101235,0,0.0,13.480066700023599
1.0,1,178204.11237964328,178204.11237964328,0.0,0.13,0.87,0.0,16.0390823773013,0.4529543525152532,0,0.0,13.198926199984271
1.0,2,190416.25835279154,190416.25835279154,0.0,0.15,0.85,0.0,15.619145620643948,0.5465557741589532,0,0.0,15.781151800008956
1.0,3,182619.04857046172,182619.04857046172,0.0,0.17,0.83,0.0,16.353924296664776,0.5286802038825944,0,0.0,15.001234899973497
1.0,4,177178.10048855987,177178.10048855987,0.0,0.13,0.87,0.0,16.29810450852747,0.5166557593030657,0,0.0,16.04901170002995
1.0,5,180106.42202867186,180106.42202867186,0.0,0.15,0.85,0.0,15.721212036705857,0.41791354453236756,0,0.0,14.260257100046147
1.0,6,183005.90168193734,183005.90168193734,0.0,0.15,0.85,0.0,15.792210352647874,0.4823760352678579,0,0.0,13.121939899981953
1.0,7,189138.08749705026,189138.08749705026,0.0,0.14,0.86,0.0,15.845534173851206,0.5789029888634654,0,0.0,13.298914799990598
1.0,8,186702.06717750645,186702.06717750645,0.0,0.15,0.85,0.0,15.958219897878822,0.5130190186539696,0,0.0,13.725878000026569
1.0,9,182174.94631899256,182174.94631899256,0.0,0.16,0.84,0.0,15.569354689637082,0.46972691147359846,0,0.0,13.64126479998231
1.0,10,181604.26117882846,181604.26117882846,0.0,0.15,0.85,0.0,16.15680072529533,0.5596114974499282,0,0.0,12.513984700024594
1.5,1,178204.11237964328,178204.11237964328,0.0,0.13,0.87,0.0,16.06317330802311,0.4732607797876382,0,0.0,14.535768800007645
1.5,2,190416.25835279154,190416.25835279154,0.0,0.15,0.85,0.0,15.707059488065395,0.48353840958184224,0,0.0,15.889386299997568
1.5,3,182467.20227109236,182467.20227109236,0.0,0.17,0.83,0.0,16.291403060760686,0.5234639949009295,0,0.0,16.17525420000311
1.5,4,177178.10048855987,177178.10048855987,0.0,0.13,0.87,0.0,16.3414072402348,0.4887056854598276,0,0.0,14.171338299987838
1.5,5,180106.42202867186,180106.42202867186,0.0,0.15,0.85,0.0,15.664971818803172,0.4551414918022527,0,0.0,13.748113900015596
1.5,6,183005.90168193734,183005.90168193734,0.0,0.15,0.85,0.0,15.679141259935395,0.5223433344812421,0,0.0,13.845650000032037
1.5,7,189138.08749705026,189138.08749705026,0.0,0.14,0.86,0.0,15.849300618099337,0.5275005296474808,0,0.0,14.668471499986481
1.5,8,186702.06717750645,186702.06717750645,0.0,0.15,0.85,0.0,15.90522610226568,0.573380771097455,0,0.0,13.279007099976297
1.5,9,182111.37107415366,182111.37107415366,0.0,0.15,0.85,0.0,15.370351540181947,0.5637306463238412,0,0.0,10.57039419998182
1.5,10,181536.6274065305,181536.6274065305,0.0,0.15,0.85,0.0,16.244272980820426,0.5664985373828297,0,0.0,13.066244399989955
2.0,1,178567.17224417333,178192.17224417333,375.0,0.13,0.87,0.0,15.946044868218923,0.5084095430629443,1,0.25,14.585988699982408
2.0,2,190416.25835279154,190416.25835279154,0.0,0.15,0.85,0.0,15.58066720656012,0.5369682287705333,0,0.0,16.001573399989866
2.0,3,182467.20227109236,182467.20227109236,0.0,0.17,0.83,0.0,16.323991708142106,0.5634211639129494,0,0.0,19.83295479998924
