capacity_config,carbon_price,C_AE,KSP,KBS,seed,total_cost,energy_cost,delay_cost,sp_share,bs_share,ae_share,avg_stay_time,masking_rate,runtime
adequate,140,0.75,2,2,6,183223.63287354718,183223.63287354718,0.0,0.14,0.86,0.0,15.823126204924357,0.4803990113534736,14.967214500007685
adequate,140,0.75,2,2,7,189318.64671756962,189318.64671756962,0.0,0.15,0.85,0.0,15.968889062351568,0.48253823359530884,13.80841880000662
adequate,140,0.75,2,2,8,186831.28410148967,186831.28410148967,0.0,0.15,0.85,0.0,16.1312784355443,0.5170906996286867,16.10150629997952
adequate,140,0.75,2,2,9,182675.589042332,182675.589042332,0.0,0.16,0.84,0.0,15.37555841118371,0.5285790536261259,12.08053600002313
adequate,140,0.75,2,2,10,181510.71319053316,181510.71319053316,0.0,0.16,0.84,0.0,16.266795785805854,0.5414117983910015,14.467547499982174
adequate,200,0.9,2,2,1,178339.47421345147,178339.47421345147,0.0,0.13,0.87,0.0,15.795270765762409,0.4787118755830345,16.108378399978392
adequate,200,0.9,2,2,2,190845.92207749336,190845.92207749336,0.0,0.16,0.84,0.0,15.67817527108889,0.5025400172924642,16.019401800003834
adequate,200,0.9,2,2,3,183140.37162830672,182740.37162830672,400.0,0.17,0.83,0.0,16.38139924339609,0.5111424652561812,15.508857599983457
adequate,200,0.9,2,2,4,177329.8383274136,177329.8383274136,0.0,0.12,0.88,0.0,16.596796441751763,0.4812289392912657,16.46437679999508
adequate,200,0.9,2,2,5,180162.8843081935,180162.8843081935,0.0,0.15,0.85,0.0,15.603520322364986,0.47945336162444524,13.38732339994749
adequate,200,0.9,2,2,6,183223.63287354715,183223.63287354715,0.0,0.14,0.86,0.0,15.896694120821401,0.4498802332430422,14.435866899963003
adequate,200,0.9,2,2,7,189318.64671756962,189318.64671756962,0.0,0.15,0.85,0.0,15.93841213082975,0.5166779092797824,12.90389909996884
adequate,200,0.9,2,2,8,186831.28410148967,186831.28410148967,0.0,0.15,0.85,0.0,16.13075419370386,0.537432118646482,15.376473599986639
adequate,200,0.9,2,2,9,182675.58904233202,182675.58904233202,0.0,0.16,0.84,0.0,15.53151870740733,0.5052156759571823,11.457225500023924
adequate,200,0.9,2,2,10,181510.71319053316,181510.71319053316,0.0,0.16,0.84,0.0,16.31302340180175,0.5068363806368976,13.89253790001385
adequate,260,1.05,2,2,1,178339.47421345147,178339.47421345147,0.0,0.13,0.87,0.0,15.976023911053616,0.47263252788394666,13.89230010000756
adequate,260,1.05,2,2,2,190845.92207749336,190845.92207749336,0.0,0.16,0.84,0.0,15.712084767933932,0.4727046704065845,15.430275599996094
adequate,260,1.05,2,2,3,183140.37162830672,182740.37162830672,400.0,0.17,0.83,0.0,16.192228489911887,0.5402510098900217,14.562123299983796
adequate,260,1.05,2,2,4,177329.8383274136,177329.8383274136,0.0,0.12,0.88,0.0,16.40465268166557,0.5205246142750416,15.758799300005194
adequate,260,1.05,2,2,5,180162.8843081935,180162.8843081935,0.0,0.15,0.85,0.0,15.605664475367151,0.4514710367926781,13.412407300027553
