experiment,scenario,mechanism,N,seed,method,param_name,param_value,obj,runtime_total,runtime_pricing,gap,status,error,num_iters,num_pricing_calls,num_columns_added,min_reduced_cost_last,pricing_time_share,cost_energy,cost_delay,shore_utilization,mode_shore_count,mode_battery_count,mode_brown_count,infeasible_jobs,shore_ratio,battery_ratio,brown_ratio,mechanism_counts,type_A_count,type_A_cost_energy,type_A_cost_delay,type_A_cost_total,type_A_shore_ratio,type_A_battery_ratio,type_A_brown_ratio,type_A_avg_tardy_hours,type_B_count,type_B_cost_energy,type_B_cost_delay,type_B_cost_total,type_B_shore_ratio,type_B_battery_ratio,type_B_brown_ratio,type_B_avg_tardy_hours,type_C_count,type_C_cost_energy,type_C_cost_delay,type_C_cost_total,type_C_shore_ratio,type_C_battery_ratio,type_C_brown_ratio,type_C_avg_tardy_hours,type_D_count,type_D_cost_energy,type_D_cost_delay,type_D_cost_total,type_D_shore_ratio,type_D_battery_ratio,type_D_brown_ratio,type_D_avg_tardy_hours,time_limit,solver_backend
scenario,P,hybrid,100,3,fifo,scenario,P,224611.2749471621,0.0322310999035835,,,ok,,,,,,,214511.27494716216,10100.0,1.0,13,71,16,0,0.13,0.71,0.16,"{'shore': 13, 'battery': 71, 'brown': 16}",19,65500.72034741986,2500.0,68000.72034741986,0.1052631578947368,0.7368421052631579,0.1578947368421052,0.0657894736842105,51,87694.41639558594,5600.0,93294.41639558594,0.2156862745098039,0.6862745098039216,0.0980392156862745,0.1372549019607843,18,32516.138204156367,1250.0,33766.13820415636,0.0,0.7777777777777778,0.2222222222222222,0.1388888888888889,12,28800.0,750.0,29550.0,0.0,0.6666666666666666,0.3333333333333333,0.0416666666666666,,
scenario,P,hybrid,100,3,milp60,scenario,P,197381.77602084327,62.65400999994017,,,not solved,,,,,,,196081.77602084327,1300.0,1.0,12,81,7,0,0.12,0.81,0.07,"{'shore': 12, 'battery': 81, 'brown': 7}",19,57302.21195559656,0.0,57302.21195559656,0.1578947368421052,0.7894736842105263,0.0526315789473684,0.0,51,84808.16900965336,800.0,85608.16900965336,0.1764705882352941,0.7843137254901961,0.0392156862745098,0.0196078431372549,18,32371.395055593403,500.0,32871.3950555934,0.0,0.7777777777777778,0.2222222222222222,0.0555555555555555,12,21600.0,0.0,21600.0,0.0,1.0,0.0,0.0,60.0,gurobi_cmd
scenario,P,hybrid,100,3,milp300,scenario,P,190502.2571753213,302.6872413000092,,,not solved,,,,,,,187927.2571753213,2575.0,1.0,15,83,2,0,0.15,0.83,0.02,"{'shore': 15, 'battery': 83, 'brown': 2}",19,60452.86015168567,500.0,60952.86015168567,0.0,1.0,0.0,0.0131578947368421,51,76302.24188632079,1200.0,77502.24188632079,0.2941176470588235,0.7058823529411765,0.0,0.0294117647058823,18,29572.15513731489,875.0,30447.15513731489,0.0,0.8888888888888888,0.1111111111111111,0.0972222222222222,12,21600.0,0.0,21600.0,0.0,1.0,0.0,0.0,300.0,gurobi_cmd
scenario,P,hybrid,100,4,cg,scenario,P,181795.00092799135,13.155308300047182,0.0,,ok,,1.0,0.0,0.0,0.0,0.0,180470.00092799135,1325.0,1.0,16,84,0,0,0.16,0.84,0.0,"{'shore': 16, 'battery': 84, 'brown': 0}",14,44344.99372242527,0.0,44344.99372242527,0.0,1.0,0.0,0.0,56,84690.36595415282,200.0,84890.36595415282,0.2857142857142857,0.7142857142857143,0.0,0.0044642857142857,10,15434.641251413195,1125.0,16559.641251413195,0.0,1.0,0.0,0.225,20,36000.0,0.0,36000.0,0.0,1.0,0.0,0.0,,
scenario,P,hybrid,100,4,greedy,scenario,P,237052.40263014176,0.0723103999625891,,,ok,,,,,,,229127.40263014176,7925.0,1.0,14,62,24,0,0.14,0.62,0.24,"{'shore': 14, 'battery': 62, 'brown': 24}",14,58284.77443984061,0.0,58284.77443984061,0.0714285714285714,0.5714285714285714,0.3571428571428571,0.0,56,100233.99825788836,5800.0,106033.99825788836,0.2321428571428571,0.625,0.1428571428571428,0.1294642857142857,10,18408.62993241281,2125.0,20533.62993241281,0.0,0.8,0.2,0.425,20,52200.0,0.0,52200.0,0.0,0.55,0.45,0.0,,
scenario,P,hybrid,100,4,fifo,scenario,P,233772.51759316452,0.0361222000792622,,,ok,,,,,,,227447.51759316452,6325.0,1.0,14,63,23,0,0.14,0.63,0.23,"{'shore': 14, 'battery': 63, 'brown': 23}",14,58284.77443984061,0.0,58284.77443984061,0.0714285714285714,0.5714285714285714,0.3571428571428571,0.0,56,98554.11322091112,4200.0,102754.11322091112,0.2321428571428571,0.6428571428571429,0.125,0.09375,10,18408.62993241281,2125.0,20533.62993241281,0.0,0.8,0.2,0.425,20,52200.0,0.0,52200.0,0.0,0.55,0.45,0.0,,
scenario,P,hybrid,100,4,milp60,scenario,P,195923.16781826032,62.9310928999912,,,not solved,,,,,,,195923.16781826032,0.0,1.0,11,80,9,0,0.11,0.8,0.09,"{'shore': 11, 'battery': 80, 'brown': 9}",14,39271.37364103428,0.0,39271.37364103428,0.2857142857142857,0.6428571428571429,0.0714285714285714,0.0,56,102374.98403413375,0.0,102374.98403413375,0.125,0.7678571428571429,0.1071428571428571,0.0,10,18276.810143092167,0.0,18276.810143092167,0.0,0.8,0.2,0.0,20,36000.0,0.0,36000.0,0.0,1.0,0.0,0.0,60.0,gurobi_cmd
scenario,P,hybrid,100,4,milp300,scenario,P,186914.45862412796,303.0079017999815,,,not solved,,,,,,,185614.45862412796,1300.0,1.0,13,83,4,0,0.13,0.83,0.04,"{'shore': 13, 'battery': 83, 'brown': 4}",14,40178.03054914448,0.0,40178.03054914448,0.1428571428571428,0.8571428571428571,0.0,0.0,56,93632.25640073488,800.0,94432.25640073488,0.1607142857142857,0.8035714285714286,0.0357142857142857,0.0178571428571428,10,18204.171674248515,500.0,18704.171674248515,0.0,0.8,0.2,0.1,20,33600.0,0.0,33600.0,0.1,0.9,0.0,0.0,300.0,gurobi_cmd
scenario,P,hybrid,100,5,cg,scenario,P,188264.62756426548,16.185476599959657,0.0,,ok,,1.0,0.0,0.0,0.0,0.0,186839.62756426548,1425.0,1.0,16,82,2,0,0.16,0.82,0.02,"{'shore': 16, 'battery': 82, 'brown': 2}",17,52708.24694648122,0.0,52708.24694648122,0.0588235294117647,0.9411764705882352,0.0,0.0,50,75628.48993354774,800.0,76428.48993354774,0.3,0.7,0.0,0.02,17,29702.89068423652,625.0,30327.89068423652,0.0,0.8823529411764706,0.1176470588235294,0.0735294117647058,16,28800.0,0.0,28800.0,0.0,1.0,0.0,0.0,,
scenario,P,hybrid,100,5,greedy,scenario,P,237261.94213873905,0.0685940000694245,,,ok,,,,,,,227511.94213873905,9750.0,1.0,13,64,23,0,0.13,0.64,0.23,"{'shore': 13, 'battery': 64, 'brown': 23}",17,58426.0405558336,2000.0,60426.0405558336,0.1764705882352941,0.6470588235294118,0.1764705882352941,0.0588235294117647,50,94350.857176194,5000.0,99350.857176194,0.2,0.62,0.18,0.125,17,33335.044406711495,1625.0,34960.044406711495,0.0,0.7647058823529411,0.2352941176470588,0.1911764705882352,16,41400.0,1125.0,42525.0,0.0,0.5625,0.4375,0.046875,,
scenario,P,hybrid,100,5,fifo,scenario,P,233970.1720434869,0.0307940000202506,,,ok,,,,,,,225695.1720434869,8275.0,1.0,13,65,22,0,0.13,0.65,0.22,"{'shore': 13, 'battery': 65, 'brown': 22}",17,58426.0405558336,2000.0,60426.0405558336,0.1764705882352941,0.6470588235294118,0.1764705882352941,0.0588235294117647,50,92534.0870809419,5400.0,97934.0870809419,0.2,0.64,0.16,0.135,17,33335.044406711495,875.0,34210.044406711495,0.0,0.7647058823529411,0.2352941176470588,0.1029411764705882,16,41400.0,0.0,41400.0,0.0,0.5625,0.4375,0.0,,
scenario,P,hybrid,100,5,milp60,scenario,P,198097.2381975924,62.98903759999666,,,not solved,,,,,,,198097.2381975924,0.0,1.0,11,81,8,0,0.11,0.81,0.08,"{'shore': 11, 'battery': 81, 'brown': 8}",17,48657.69771547249,0.0,48657.69771547249,0.1764705882352941,0.8235294117647058,0.0,0.0,50,87671.78079955174,0.0,87671.78079955174,0.16,0.76,0.08,0.0,17,31167.759682568085,0.0,31167.759682568085,0.0,0.8235294117647058,0.1764705882352941,0.0,16,30600.0,0.0,30600.0,0.0,0.9375,0.0625,0.0,60.0,gurobi_cmd
scenario,P,hybrid,100,5,milp300,scenario,P,194592.2508412808,304.93469939997885,,,not solved,,,,,,,194342.2508412808,250.0,1.0,12,82,6,0,0.12,0.82,0.06,"{'shore': 12, 'battery': 82, 'brown': 6}",17,50748.24068199168,0.0,50748.24068199168,0.1176470588235294,0.8823529411764706,0.0,0.0,50,83626.25047672096,0.0,83626.25047672096,0.2,0.74,0.06,0.0,17,31167.759682568085,250.0,31417.759682568085,0.0,0.8235294117647058,0.1764705882352941,0.0294117647058823,16,28800.0,0.0,28800.0,0.0,1.0,0.0,0.0,300.0,gurobi_cmd
