experiment,scenario,mechanism,N,seed,method,param_name,param_value,obj,runtime_total,runtime_pricing,gap,status,error,num_iters,num_pricing_calls,num_columns_added,min_reduced_cost_last,pricing_time_share,cost_energy,cost_delay,shore_utilization,mode_shore_count,mode_battery_count,mode_brown_count,infeasible_jobs,shore_ratio,battery_ratio,brown_ratio,mechanism_counts,type_A_count,type_A_cost_energy,type_A_cost_delay,type_A_cost_total,type_A_shore_ratio,type_A_battery_ratio,type_A_brown_ratio,type_A_avg_tardy_hours,type_B_count,type_B_cost_energy,type_B_cost_delay,type_B_cost_total,type_B_shore_ratio,type_B_battery_ratio,type_B_brown_ratio,type_B_avg_tardy_hours,type_C_count,type_C_cost_energy,type_C_cost_delay,type_C_cost_total,type_C_shore_ratio,type_C_battery_ratio,type_C_brown_ratio,type_C_avg_tardy_hours,type_D_count,type_D_cost_energy,type_D_cost_delay,type_D_cost_total,type_D_shore_ratio,type_D_battery_ratio,type_D_brown_ratio,type_D_avg_tardy_hours,time_limit,solver_backend
main,U,hybrid,20,4,cg_stab,,,25050.129812979376,1.693102299934253,0.0,,ok,,1.0,0.0,0.0,0.0,0.0,25050.129812979376,0.0,1.0,10,10,0,0,0.5,0.5,0.0,"{'shore': 10, 'battery': 10, 'brown': 0}",3,3033.9113056346837,0.0,3033.9113056346837,1.0,0.0,0.0,0.0,8,9856.08055134544,0.0,9856.08055134544,0.5,0.5,0.0,0.0,2,3160.1379559992547,0.0,3160.1379559992547,0.0,1.0,0.0,0.0,7,9000.0,0.0,9000.0,0.42857142857142855,0.5714285714285714,0.0,0.0,,
main,U,hybrid,20,4,cg_multik,,,25050.129812979376,1.686334100086242,0.0,,ok,,1.0,0.0,0.0,0.0,0.0,25050.129812979376,0.0,1.0,10,10,0,0,0.5,0.5,0.0,"{'shore': 10, 'battery': 10, 'brown': 0}",3,3033.9113056346837,0.0,3033.9113056346837,1.0,0.0,0.0,0.0,8,9856.08055134544,0.0,9856.08055134544,0.5,0.5,0.0,0.0,2,3160.1379559992547,0.0,3160.1379559992547,0.0,1.0,0.0,0.0,7,9000.0,0.0,9000.0,0.42857142857142855,0.5714285714285714,0.0,0.0,,
main,U,hybrid,20,4,cg_full,,,25050.129812979376,1.6865746000548825,0.0,,ok,,1.0,0.0,0.0,0.0,0.0,25050.129812979376,0.0,1.0,10,10,0,0,0.5,0.5,0.0,"{'shore': 10, 'battery': 10, 'brown': 0}",3,3033.9113056346837,0.0,3033.9113056346837,1.0,0.0,0.0,0.0,8,9856.08055134544,0.0,9856.08055134544,0.5,0.5,0.0,0.0,2,3160.1379559992547,0.0,3160.1379559992547,0.0,1.0,0.0,0.0,7,9000.0,0.0,9000.0,0.42857142857142855,0.5714285714285714,0.0,0.0,,
main,U,hybrid,20,4,fifo,,,27539.200913966397,0.0023981999838724732,,,ok,,,,,,,27539.200913966397,0.0,1.0,9,11,0,0,0.45,0.55,0.0,"{'shore': 9, 'battery': 11, 'brown': 0}",3,5326.07198774545,0.0,5326.07198774545,0.6666666666666666,0.3333333333333333,0.0,0.0,8,8852.99097022169,0.0,8852.99097022169,0.625,0.375,0.0,0.0,2,3160.1379559992547,0.0,3160.1379559992547,0.0,1.0,0.0,0.0,7,10200.0,0.0,10200.0,0.2857142857142857,0.7142857142857143,0.0,0.0,,
main,U,hybrid,20,4,greedy,,,27739.200913966397,0.011741399997845292,,,ok,,,,,,,27539.200913966397,200.0,1.0,9,11,0,0,0.45,0.55,0.0,"{'shore': 9, 'battery': 11, 'brown': 0}",3,5326.07198774545,0.0,5326.07198774545,0.6666666666666666,0.3333333333333333,0.0,0.0,8,8852.99097022169,200.0,9052.99097022169,0.625,0.375,0.0,0.03125,2,3160.1379559992547,0.0,3160.1379559992547,0.0,1.0,0.0,0.0,7,10200.0,0.0,10200.0,0.2857142857142857,0.7142857142857143,0.0,0.0,,
main,U,hybrid,20,4,milp60,,,25050.129812979376,7.840022800024599,,,ok,,,,,,,25050.129812979376,0.0,1.0,10,10,0,0,0.5,0.5,0.0,"{'shore': 10, 'battery': 10, 'brown': 0}",3,3033.9113056346837,0.0,3033.9113056346837,1.0,0.0,0.0,0.0,8,9856.08055134544,0.0,9856.08055134544,0.5,0.5,0.0,0.0,2,3160.1379559992547,0.0,3160.1379559992547,0.0,1.0,0.0,0.0,7,9000.0,0.0,9000.0,0.42857142857142855,0.5714285714285714,0.0,0.0,60.0,gurobi_cmd
main,U,hybrid,20,4,milp300,,,25050.129812979376,7.920133000006899,,,ok,,,,,,,25050.129812979376,0.0,1.0,10,10,0,0,0.5,0.5,0.0,"{'shore': 10, 'battery': 10, 'brown': 0}",3,3033.9113056346837,0.0,3033.9113056346837,1.0,0.0,0.0,0.0,8,9856.08055134544,0.0,9856.08055134544,0.5,0.5,0.0,0.0,2,3160.1379559992547,0.0,3160.1379559992547,0.0,1.0,0.0,0.0,7,9000.0,0.0,9000.0,0.42857142857142855,0.5714285714285714,0.0,0.0,300.0,gurobi_cmd
main,U,hybrid,20,5,cg_basic,,,22259.86502202449,2.165196600020863,0.0,,ok,,1.0,0.0,0.0,0.0,0.0,22259.86502202449,0.0,1.0,13,7,0,0,0.65,0.35,0.0,"{'shore': 13, 'battery': 7, 'brown': 0}",4,6418.995823374158,0.0,6418.995823374158,0.75,0.25,0.0,0.0,10,9507.335436311412,0.0,9507.335436311412,0.7,0.3,0.0,0.0,3,4533.533762338921,0.0,4533.533762338921,0.0,1.0,0.0,0.0,3,1800.0,0.0,1800.0,1.0,0.0,0.0,0.0,,
main,U,hybrid,20,5,cg_warm,,,22259.86502202449,2.163727300008759,0.0,,ok,,1.0,0.0,0.0,0.0,0.0,22259.86502202449,0.0,1.0,13,7,0,0,0.65,0.35,0.0,"{'shore': 13, 'battery': 7, 'brown': 0}",4,6418.995823374158,0.0,6418.995823374158,0.75,0.25,0.0,0.0,10,9507.335436311412,0.0,9507.335436311412,0.7,0.3,0.0,0.0,3,4533.533762338921,0.0,4533.533762338921,0.0,1.0,0.0,0.0,3,1800.0,0.0,1800.0,1.0,0.0,0.0,0.0,,
main,U,hybrid,20,5,cg_stab,,,22259.86502202449,2.222741999896243,0.0,,ok,,1.0,0.0,0.0,0.0,0.0,22259.86502202449,0.0,1.0,13,7,0,0,0.65,0.35,0.0,"{'shore': 13, 'battery': 7, 'brown': 0}",4,6418.995823374158,0.0,6418.995823374158,0.75,0.25,0.0,0.0,10,9507.335436311412,0.0,9507.335436311412,0.7,0.3,0.0,0.0,3,4533.533762338921,0.0,4533.533762338921,0.0,1.0,0.0,0.0,3,1800.0,0.0,1800.0,1.0,0.0,0.0,0.0,,
