iteration,wall_time,rmp_lp_obj,lp_obj_final_pool_if_available,irmp_obj_checkpoint_if_solved,columns_added_this_iter,total_columns,pricing_calls_cum,min_reduced_cost_scanned_last,num_negative_columns_scanned_last,num_columns_added_last,min_reduced_cost_added_last,min_reduced_cost_last,num_negative_columns_last,pool_gap_pct_if_available,relative_improvement_last_5,pricing_converged,objective_stabilized
1,0.8860950000016601,364813.87455741083,,,1475,1858,150,-4592.119780578808,15852,1475,-4592.119780578808,-4592.119780578808,15852,,,False,False
2,1.3840874000015901,359804.9274695952,,,1412,3270,300,-2741.53337,9075,1412,-2741.53337,-2741.53337,9075,,,False,False
3,2.149894200003473,357189.8948339962,,,1370,4640,450,-2266.998107854474,8428,1370,-2266.998107854474,-2266.998107854474,8428,,,False,False
4,3.1278882999977213,356402.76274827216,,,1277,5917,600,-1699.408449139538,4693,1277,-1699.408449139538,-1699.408449139538,4693,,,False,False
5,4.350979399998323,355204.3514185156,,,1216,7133,750,-1861.6874902744726,4103,1216,-1861.6874902744726,-1861.6874902744726,4103,,,False,False
6,5.726315899999463,354738.50970536825,,,760,7893,900,-1711.6571160532956,3168,760,-1711.6571160532956,-1711.6571160532956,3168,,0.027617822552023073,False,False
7,7.22955070000171,354665.74594501476,,,649,8542,1050,-445.11204277523757,2140,649,-355.37139114247793,-445.11204277523757,2140,,0.014283243869734775,False,False
8,8.852649799999199,354637.13921696815,,,534,9076,1200,-449.23741697958076,4548,534,-172.77003289579852,-449.23741697958076,4548,,0.007146774457923665,False,False
9,10.599850099999458,354635.43559545913,,,213,9289,1350,-447.1777427752372,2171,213,-354.4152829461466,-447.1777427752372,2171,,0.004958791955440856,False,False
10,12.355140699997719,354635.4355591725,,,290,9579,1500,-449.23741697958076,4142,290,-196.61076466400573,-449.23741697958076,4142,,0.0016016579106397713,False,False
11,14.160095300001558,354635.43555917265,,,40,9619,1650,-449.23741697958076,2061,40,-35.86141450544028,-449.23741697958076,2061,,0.00029056373462586614,False,False
12,15.938766500003112,354635.4354583422,,,173,9792,1800,-449.23741697958076,2354,173,-328.33815151215094,-449.23741697958076,2354,,8.546212037421201e-05,False,False
13,17.857226000000082,354635.43555917265,,,70,9862,1950,-449.23741697958076,3014,70,-13.706239946146525,-449.23741697958076,3014,,4.803946364055719e-06,False,False
14,19.682218699999794,354635.43555950304,,,40,9902,2100,-449.23741697958076,1731,40,-338.55993960160004,-449.23741697958076,1731,,1.0138889377130364e-10,False,False
15,21.531305099997553,354635.4355591727,,,84,9986,2250,-447.1777427752372,4457,84,-87.33361150544033,-447.1777427752372,4457,,0.0,False,False
16,23.405672900000354,354635.4355591726,,,41,10027,2400,-449.23741697958076,2678,41,-61.55755741137136,-449.23741697958076,2678,,1.6413379791471847e-16,False,False
17,25.308768200004124,354635.4355591727,,,14,10041,2550,-447.1777427752372,2223,14,-4.2710079014796065e-05,-447.1777427752372,2223,,0.0,False,False
18,27.160238700002083,354635.43555917253,,,68,10109,2700,-449.23741697958076,2159,68,-5.403092745837057e-05,-449.23741697958076,2159,,3.2826759582943695e-16,False,False
19,29.06782519999979,354635.4355591727,,,24,10133,2850,-449.23741697958076,2183,24,-2.034763408809795,-449.23741697958076,2183,,9.314593031651595e-13,False,False
20,30.927640000001702,354635.4355591727,354635.43555917277,354669.7195123113,4,10137,3000,-449.23741697958076,2121,4,-4.931547982778284e-05,-449.23741697958076,2121,0.009666444935207004,0.0,False,True
