iteration,wall_time,rmp_lp_obj,lp_obj_final_pool_if_available,irmp_obj_checkpoint_if_solved,columns_added_this_iter,total_columns,pricing_calls_cum,min_reduced_cost_scanned_last,num_negative_columns_scanned_last,num_columns_added_last,min_reduced_cost_added_last,min_reduced_cost_last,num_negative_columns_last,pool_gap_pct_if_available,relative_improvement_last_5,pricing_converged,objective_stabilized
1,0.6534113000016077,223118.26380163804,,,1046,1382,110,-4799.645676536594,11446,1046,-4799.645676536594,-4799.645676536594,11446,,,False,False
2,1.0287332000007154,218627.30470052199,,,1053,2435,220,-3373.7067263293598,6707,1053,-3373.7067263293598,-3373.7067263293598,6707,,,False,False
3,1.6053202000039164,216685.6886350116,,,1015,3450,330,-1634.2014439831419,5660,1015,-1634.2014439831419,-1634.2014439831419,5660,,,False,False
4,2.3427567000035197,215126.98498399957,,,893,4343,440,-1698.7377293453308,4472,893,-1698.7377293453308,-1698.7377293453308,4472,,,False,False
5,3.223406500001147,214430.06183775162,,,786,5129,550,-1519.1776100000002,4438,786,-1519.1776100000002,-1519.1776100000002,4438,,,False,False
6,4.2343035000012605,213996.65933547134,,,617,5746,660,-1308.9483809831418,3680,617,-1308.9483809831418,-1308.9483809831418,3680,,0.040882374713511596,False,False
7,5.326986500003841,213300.0268300157,,,288,6034,770,-486.729086983142,1073,288,-486.729086983142,-486.729086983142,1073,,0.024366937504917984,False,False
8,6.508761400000367,212941.44173981986,,,265,6299,880,-400.0000450202849,1627,265,-400.0000450202849,-400.0000450202849,1627,,0.01727962247427709,False,False
9,7.692907800003013,212941.44173981986,,,290,6589,990,-447.35313098314214,1920,290,-447.35313098314214,-447.35313098314214,1920,,0.010159317039386155,False,False
10,8.939722200004326,212941.4417398198,,,282,6871,1100,-207.62581862254115,2524,282,-207.62581862254115,-207.62581862254115,2524,,0.006942217360633824,False,False
11,10.165917900005297,212941.44173981986,,,173,7044,1210,-151.94446498314187,2370,173,-151.94446498314187,-151.94446498314187,2370,,0.004931000319950203,False,False
12,11.45052620000206,212941.44173981986,,,238,7282,1320,-288.6161989831421,3955,238,-288.6161989831421,-288.6161989831421,3955,,0.0016811300754388239,False,False
13,12.749615100001392,212941.44171075773,,,187,7469,1430,-162.2203891708955,2866,187,-162.2203891708955,-162.2203891708955,2866,,1.3647942096305726e-10,False,False
14,14.082848700003524,212941.44173981986,,,78,7547,1540,-199.99999034339243,2652,78,-199.99999034339243,-199.99999034339243,2652,,0.0,False,False
15,15.45785479999904,212941.4417059916,,,80,7627,1650,-174.65671498314214,1793,80,-174.65671498314214,-174.65671498314214,1793,,1.5886150093999545e-10,False,False
16,16.842396400003054,212941.4417445581,,,112,7739,1760,-242.19414751661816,3265,112,-242.19414751661816,-242.19414751661816,3265,,0.0,False,False
17,18.248742299998412,212941.44173981991,,,39,7778,1870,-578.5950667042039,2466,39,-578.5950667042039,-578.5950667042039,2466,,0.0,False,False
18,19.70361520000006,212941.44173981977,,,81,7859,1980,-106.2569497969589,4889,81,-69.31935470575263,-106.2569497969589,4889,,0.0,False,False
19,21.056147100003727,212941.44173981986,,,74,7933,2090,-130.26324979695892,3033,74,-71.69981298314178,-130.26324979695892,3033,,0.0,False,False
20,22.476455299998634,212941.44173981977,212941.441715295,212941.44173981986,4,7937,2200,-130.26324979695892,1286,4,-17.97224814884521,-130.26324979695892,1286,1.1517188201101932e-08,0.0,False,True
