iteration,wall_time,rmp_lp_obj,lp_obj_final_pool_if_available,irmp_obj_checkpoint_if_solved,columns_added_this_iter,total_columns,pricing_calls_cum,min_reduced_cost_scanned_last,num_negative_columns_scanned_last,num_columns_added_last,min_reduced_cost_added_last,min_reduced_cost_last,num_negative_columns_last,pool_gap_pct_if_available,relative_improvement_last_5,pricing_converged,objective_stabilized
1,0.4450280999953975,362144.2840391447,,,1097,1300,125,-3616.1253315865356,3693,1097,-3616.1253315865356,-3616.1253315865356,3693,,,False,False
2,0.6927567000020645,326649.5910977606,,,415,1715,250,-2290.611800961223,1224,415,-2290.611800961223,-2290.611800961223,1224,,,False,False
3,0.9910840000011376,317873.9151547546,,,151,1866,375,-1146.9944936983438,885,151,-1146.9944936983438,-1146.9944936983438,885,,,False,False
4,1.297311800000898,316689.43627685367,,,36,1902,500,-447.95208139791157,374,36,-309.07390332167824,-447.95208139791157,374,,,False,False
5,1.6097286000003805,316514.43627685367,,,13,1915,625,-445.271706518306,221,13,-200.00004830391663,-445.271706518306,221,,,False,False
6,1.9206675999957952,316514.43627685367,,,11,1926,750,-445.271706518306,189,11,-200.0000106983441,-445.271706518306,189,,0.12599908316476102,False,False
7,2.23202869999659,316514.4362768537,,,4,1930,875,-447.95208139791157,214,4,-68.1815060473441,-447.95208139791157,214,,0.031027606025300653,False,False
8,2.551867999995011,316514.43627685367,,,24,1954,1000,-447.95208139791157,830,24,-6.475960526586277e-05,-447.95208139791157,830,,0.0042767865278881805,False,False
9,2.8677169000002323,316514.43627685367,,,1,1955,1125,-447.95208139791157,179,1,-4.377091954665957e-05,-447.95208139791157,179,,0.0005525918453655427,False,False
10,3.1843477000002167,316514.43627685367,316514.43627685367,316514.43627685367,0,1955,1250,-447.95208139791157,179,0,0.0,-447.95208139791157,179,0.0,0.0,False,False
