iteration,wall_time,rmp_lp_obj,lp_obj_final_pool_if_available,irmp_obj_checkpoint_if_solved,columns_added_this_iter,total_columns,pricing_calls_cum,min_reduced_cost_scanned_last,num_negative_columns_scanned_last,num_columns_added_last,min_reduced_cost_added_last,min_reduced_cost_last,num_negative_columns_last,pool_gap_pct_if_available,relative_improvement_last_5,pricing_converged,objective_stabilized
1,0.3768091999954777,319662.75716682523,,,982,1158,110,-3599.4042508489456,3325,982,-3599.4042508489456,-3599.4042508489456,3325,,,False,False
2,0.6016473999989103,281114.8602339638,,,284,1442,220,-1610.587142110525,689,284,-1610.587142110525,-1610.587142110525,689,,,False,False
3,0.8466446999955224,272857.3979274275,,,121,1563,330,-1404.8027919085998,279,121,-1404.8027919085998,-1404.8027919085998,279,,,False,False
4,1.1055865999951493,270702.5951982399,,,69,1632,440,-530.31117,599,69,-200.00003914700392,-530.31117,599,,,False,False
5,1.3748488999990514,270575.17316467286,,,15,1647,550,-692.8858899999998,441,15,-152.50429916290568,-692.8858899999998,441,,,False,False
6,1.6393934000006993,270575.1731792711,,,9,1656,660,-659.30241,423,9,-78.55248409196929,-659.30241,423,,0.1535605349294299,False,False
7,1.9076969999950961,270575.17316467286,,,3,1659,770,-415.1650271740614,436,3,-10.508270098941011,-415.1650271740614,436,,0.037492457924561795,False,False
8,2.1727977999980794,270575.17317927105,270575.17317927105,270575.1731792711,0,1659,880,-415.1650271740614,409,0,0.0,-415.1650271740614,409,2.151256533610406e-14,0.0,False,False
