delta,loose_objective_mean,loose_objective_std,loose_runtime_mean,loose_runtime_std,loose_cg_iterations_mean,loose_cg_iterations_std,loose_internal_gap_mean,loose_internal_gap_std,loose_sp_share_mean,loose_sp_share_std,loose_bs_share_mean,loose_bs_share_std,loose_ae_share_mean,loose_ae_share_std,loose_sp_utilization_mean,loose_sp_utilization_std,loose_avg_stay_time_mean,loose_avg_stay_time_std,loose_masking_rate_mean,loose_masking_rate_std,loose_delay_cost_mean,loose_delay_cost_std,loose_delay_cost_pct_mean,loose_delay_cost_pct_std,loose_energy_cost_mean,loose_energy_cost_std,loose_n_delayed_vessels_mean,loose_n_delayed_vessels_std,loose_max_delay_mean,loose_max_delay_std,loose_avg_delay_of_delayed_mean,loose_avg_delay_of_delayed_std,loose_n_mode_switches_vs_baseline_mean,loose_n_mode_switches_vs_baseline_std,loose_n_start_time_shifts_mean,loose_n_start_time_shifts_std,loose_feasibility_margin_mean,loose_feasibility_margin_std,loose_cost_change_pct,loose_slack_mean,loose_relative_delta,tight_objective_mean,tight_objective_std,tight_runtime_mean,tight_runtime_std,tight_cg_iterations_mean,tight_cg_iterations_std,tight_internal_gap_mean,tight_internal_gap_std,tight_sp_share_mean,tight_sp_share_std,tight_bs_share_mean,tight_bs_share_std,tight_ae_share_mean,tight_ae_share_std,tight_sp_utilization_mean,tight_sp_utilization_std,tight_avg_stay_time_mean,tight_avg_stay_time_std,tight_masking_rate_mean,tight_masking_rate_std,tight_delay_cost_mean,tight_delay_cost_std,tight_delay_cost_pct_mean,tight_delay_cost_pct_std,tight_energy_cost_mean,tight_energy_cost_std,tight_n_delayed_vessels_mean,tight_n_delayed_vessels_std,tight_max_delay_mean,tight_max_delay_std,tight_avg_delay_of_delayed_mean,tight_avg_delay_of_delayed_std,tight_n_mode_switches_vs_baseline_mean,tight_n_mode_switches_vs_baseline_std,tight_n_start_time_shifts_mean,tight_n_start_time_shifts_std,tight_feasibility_margin_mean,tight_feasibility_margin_std,tight_cost_change_pct,tight_slack_mean,tight_relative_delta,cost_diff_pct,delay_cost_pct_diff_pp,ae_share_diff_pp
0.0,183338.22621597565,4235.484072274012,54.83168855998665,24.212655030085834,1.0,0.0,0.002061821713624647,0.0028744332618678477,0.149,0.014456832294800962,0.851,0.014456832294800971,0.0,0.0,0.9749653009602396,0.011010738460838493,15.975603808558386,0.2980498330335152,0.48586177865326297,0.04298876384075515,40.0,120.0,0.02184117005134299,0.06552351015402898,183298.22621597565,4239.05103690677,0.2,0.6000000000000001,0.025,0.07500000000000001,0.025,0.07500000000000001,0.0,0.0,0.0,0.0,-0.025,0.07500000000000001,0.0,4.0,0.0,195377.9002032657,6574.547451650194,37.257343060022684,10.221531343025418,1.0,0.0,0.023886077895706764,0.03644895229360483,0.15200000000000002,0.007483314773547881,0.788,0.017776388834631167,0.06000000000000001,0.02097617696340303,0.9579003841602937,0.030898505208907284,14.573980658704816,0.3546262125329171,0.6564435201384435,0.04033815369430417,1075.0,335.5964838909967,0.5493237738717653,0.16851970553088474,194302.9002032657,6498.7392495675385,2.7,1.004987562112089,1.025,0.6466258578188782,0.7175,0.6232692703265045,0.0,0.0,0.0,0.0,-1.025,0.6466258578188782,0.0,1.0,0.0,0.0,0.5274826038204223,6.000000000000001
0.5,183272.3039888026,4221.306828863589,52.91289114000974,27.852182450746696,1.0,0.0,0.00237691112669672,0.003024208077051428,0.148,0.01469693845669907,0.852,0.014696938456699083,0.0,0.0,0.9775148361272461,0.010863951999412275,15.971343254576578,0.3101651330484791,0.49054355262043436,0.04726346105510757,40.0,120.0,0.021845535450531188,0.06553660635159357,183232.3039888026,4224.608110985346,0.2,0.6000000000000001,0.025,0.07500000000000001,0.025,0.07500000000000001,6.1,2.0223748416156684,87.7,4.075536774462967,-0.025,0.07500000000000001,-0.035956618831577754,4.0,0.125,194815.05124094803,6389.323887135793,38.04965312000131,9.114363886697639,1.0,0.0,0.037886285767987866,0.041369916358599934,0.15299999999999997,0.004582575694955844,0.791,0.018138357147217045,0.05600000000000001,0.021540659228538015,0.9563680113163375,0.018640044396683937,14.593552133699808,0.34427073774760336,0.6524220738309139,0.04180863870572604,1070.0,750.9826895475021,0.550899866768144,0.3841957822743711,193745.05124094803,6502.208939875077,2.2,1.4696938456699067,1.05,0.8351646544245033,0.6966666666666665,0.688024547365701,6.0,2.0,86.0,6.587867636800241,-1.05,0.8351646544245033,-0.2880822046567627,1.0,0.5,-0.25212558582518496,0.5290543313176128,5.6000000000000005
1.0,183114.92056744435,4174.829874556418,53.61306819998426,24.146559829604268,1.0,0.0,0.002056487165388508,0.0018368467309026896,0.148,0.0116619037896906,0.852,0.011661903789690611,0.0,0.0,0.9832145639730042,0.013040313876167513,15.936054534954101,0.3269944818362452,0.5095539471671492,0.0297326476543951,0.0,0.0,0.0,0.0,183114.92056744435,4174.829874556418,0.0,0.0,0.0,0.0,0.0,0.0,6.9,2.022374841615669,89.5,2.9410882339705484,0.0,0.0,-0.12179983036829489,4.0,0.25,196631.69279452617,6128.416430284141,32.43133786001708,8.499018656697718,1.0,0.0,0.027310542424750683,0.037133058168157505,0.152,0.005999999999999999,0.797,0.018466185312619378,0.051000000000000004,0.021656407827707717,0.9602713353456374,0.031613191092027995,14.60467069499165,0.3539426550374305,0.6730366973984883,0.02955457473827959,3765.0,1124.1218795130712,1.9210986658477414,0.6034710156472861,192866.69279452617,6485.744384919978,10.0,1.7320508075688772,1.15,0.6819090848492928,0.4314024864024864,0.12697437888543026,8.1,2.5475478405713994,92.0,4.8373546489791295,-1.15,0.6819090848492928,0.6417269250801004,1.0,1.0,0.7635267554483953,1.9210986658477414,5.1000000000000005
1.5,183086.6150357937,4180.791315634045,42.62171690000687,20.533201068645155,1.0,0.0,0.001663965093841091,0.0013144750004462791,0.147,0.011,0.853,0.01100000000000001,0.0,0.0,0.9842326739196856,0.011828759547877358,15.917122369672313,0.26617674839250155,0.506408121838529,0.04484986319821175,0.0,0.0,0.0,0.0,183086.6150357937,4180.791315634045,0.0,0.0,0.0,0.0,0.0,0.0,7.6,2.615339366124404,89.0,2.9664793948382653,0.0,0.0,-0.13723879922649732,4.0,0.375,202612.58964704923,5649.454892996584,40.56074600999709,19.002087944422815,1.0,0.0,0.047916807457008284,0.07148181376568424,0.15299999999999997,0.004582575694955844,0.799,0.018138357147217045,0.048,0.021354156504062624,0.9621907360532221,0.028436539877761183,14.638757921832433,0.3353354911757002,0.6825719238588056,0.050253820254725884,10222.5,1641.3199718519238,5.056750531206295,0.8866491923537398,192390.08964704923,6368.861907546809,19.6,3.1368774282716245,1.325,0.44791182167922294,0.5335455613404781,0.07044191164382449,9.2,2.6,95.7,2.6476404589747453,-1.325,0.44791182167922294,3.702921075647131,1.0,1.5,3.8401598748736285,5.056750531206295,4.8
2.0,183113.44428963435,4129.458962990358,52.7020496099838,24.41211696408086,1.0,0.0,0.0018609506915962964,0.001784369805726873,0.147,0.011,0.853,0.01100000000000001,0.0,0.0,0.9848838685926194,0.010333868083929543,15.92786527616325,0.30001407020502346,0.5201503107446523,0.03856115497151156,57.5,121.47530613256342,0.03209447774239138,0.06790374093224641,183055.94428963435,4185.878142189807,0.2,0.4000000000000001,0.05,0.10000000000000002,0.05,0.10000000000000002,8.2,2.481934729198171,89.7,1.9,-0.05,0.10000000000000002,-0.122605051320012,4.0,0.5,211625.88837353923,6663.370022072303,35.00200709999772,17.05455750797759,1.0,0.0,0.053999780707450706,0.07157547358693368,0.15499999999999997,0.0050000000000000044,0.8009999999999999,0.017578395831246936,0.044,0.019078784028338912,0.9626997477338266,0.028544691250376713,14.675497618951786,0.3219068289319442,0.6955801349984643,0.06268739102872743,19837.5,2637.239323610961,9.371229819452378,1.1888234788283012,191788.38837353926,6327.661869740711,27.1,5.028916384272063,1.75,0.4743416490252569,0.73545744887684,0.11365655198220107,8.8,2.749545416973504,97.1,2.808914381037628,-1.75,0.4743416490252569,8.316185276517759,1.0,2.0,8.43879032783777,9.339135341709985,4.3999999999999995
