experiment,scenario,mechanism,N,seed,method,param_name,param_value,obj,runtime_total,runtime_pricing,gap,status,error,num_iters,num_pricing_calls,num_columns_added,min_reduced_cost_last,pricing_time_share,cost_energy,cost_delay,shore_utilization,mode_shore_count,mode_battery_count,mode_brown_count,infeasible_jobs,shore_ratio,battery_ratio,brown_ratio,mechanism_counts,type_A_count,type_A_cost_energy,type_A_cost_delay,type_A_cost_total,type_A_shore_ratio,type_A_battery_ratio,type_A_brown_ratio,type_A_avg_tardy_hours,type_B_count,type_B_cost_energy,type_B_cost_delay,type_B_cost_total,type_B_shore_ratio,type_B_battery_ratio,type_B_brown_ratio,type_B_avg_tardy_hours,type_C_count,type_C_cost_energy,type_C_cost_delay,type_C_cost_total,type_C_shore_ratio,type_C_battery_ratio,type_C_brown_ratio,type_C_avg_tardy_hours,type_D_count,type_D_cost_energy,type_D_cost_delay,type_D_cost_total,type_D_shore_ratio,type_D_battery_ratio,type_D_brown_ratio,type_D_avg_tardy_hours,time_limit
main,U,hybrid,200,4,fifo,,,587871.5748173497,0.23191669999505393,,,ok,,,,,,,565446.5748173498,22425.0,1.0,15.0,90.0,95.0,0,0.075,0.45,0.475,"{'shore': 15, 'battery': 90, 'brown': 95}",30.0,137100.10098707082,6500.0,143600.10098707082,0.0,0.5333333333333333,0.4666666666666667,0.10833333333333334,102.0,256180.12311519022,11800.0,267980.1231151902,0.13725490196078433,0.4019607843137255,0.46078431372549017,0.14460784313725492,31.0,67166.35071508879,2625.0,69791.35071508879,0.0,0.6129032258064516,0.3870967741935484,0.1693548387096774,37.0,105000.0,1500.0,106500.0,0.02702702702702703,0.3783783783783784,0.5945945945945946,0.02702702702702703,
main,U,hybrid,200,4,milp60,,,,,,,skipped,MILP skipped for N>100,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
main,U,hybrid,200,4,milp300,,,,,,,skipped,MILP skipped for N>100,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
main,U,hybrid,200,5,cg,,,589246.8945291473,23.54371289999108,3.4211257000279147,,ok,,20.0,4000.0,11153.0,-9613.619162962701,0.14530952337722447,589246.8945291473,0.0,1.0,16.0,60.0,124.0,0,0.08,0.3,0.62,"{'shore': 16, 'battery': 60, 'brown': 124}",36.0,113431.17861894156,0.0,113431.17861894156,0.0,1.0,0.0,0.0,108.0,297802.6077852498,0.0,297802.6077852498,0.1111111111111111,0.2222222222222222,0.6666666666666666,0.0,28.0,89213.10812495598,0.0,89213.10812495598,0.0,0.0,1.0,0.0,28.0,88800.0,0.0,88800.0,0.14285714285714285,0.0,0.8571428571428571,0.0,
main,U,hybrid,200,5,greedy,,,601892.0635447341,0.3902489999891259,,,ok,,,,,,,576042.0635447343,25850.0,1.0,12.0,91.0,97.0,0,0.06,0.455,0.485,"{'shore': 12, 'battery': 91, 'brown': 97}",36.0,159682.0080463507,0.0,159682.0080463507,0.1111111111111111,0.3888888888888889,0.5,0.0,108.0,259078.592014009,23600.0,282678.592014009,0.07407407407407407,0.5277777777777778,0.39814814814814814,0.27314814814814814,28.0,63681.46348437475,2250.0,65931.46348437475,0.0,0.5714285714285714,0.42857142857142855,0.16071428571428573,28.0,93600.0,0.0,93600.0,0.0,0.14285714285714285,0.8571428571428571,0.0,
main,U,hybrid,200,5,fifo,,,601441.3302853934,0.23072819999651983,,,ok,,,,,,,575291.3302853934,26150.0,1.0,13.0,91.0,96.0,0,0.065,0.455,0.48,"{'shore': 13, 'battery': 91, 'brown': 96}",36.0,161691.6080144533,1000.0,162691.6080144533,0.08333333333333333,0.4166666666666667,0.5,0.013888888888888888,108.0,259318.2587865657,21400.0,280718.25878656574,0.08333333333333333,0.5185185185185185,0.39814814814814814,0.24768518518518517,28.0,63681.46348437475,3000.0,66681.46348437475,0.0,0.5714285714285714,0.42857142857142855,0.21428571428571427,28.0,90600.0,750.0,91350.0,0.03571428571428571,0.14285714285714285,0.8214285714285714,0.017857142857142856,
main,U,hybrid,200,5,milp60,,,,,,,skipped,MILP skipped for N>100,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
main,U,hybrid,200,5,milp300,,,,,,,skipped,MILP skipped for N>100,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
main,U,hybrid,200,6,cg,,,601551.8007714838,26.48200230000657,3.4595355000928976,,ok,,20.0,4000.0,11158.0,-7921.355799704068,0.13063723282329143,601551.8007714838,0.0,1.0,15.0,60.0,125.0,0,0.075,0.3,0.625,"{'shore': 15, 'battery': 60, 'brown': 125}",38.0,118398.65106742641,0.0,118398.65106742641,0.05263157894736842,0.9210526315789473,0.02631578947368421,0.0,94.0,276552.40586330305,0.0,276552.40586330305,0.10638297872340426,0.18085106382978725,0.7127659574468085,0.0,30.0,91400.743840754,0.0,91400.743840754,0.0,0.03333333333333333,0.9666666666666667,0.0,38.0,115200.0,0.0,115200.0,0.07894736842105263,0.18421052631578946,0.7368421052631579,0.0,
main,U,hybrid,200,6,greedy,,,595240.1802346379,0.4514322000031825,,,ok,,,,,,,572865.180234638,22375.0,1.0,15.0,89.0,96.0,0,0.075,0.445,0.48,"{'shore': 15, 'battery': 89, 'brown': 96}",38.0,159857.07169358965,6000.0,165857.07169358965,0.05263157894736842,0.5789473684210527,0.3684210526315789,0.07894736842105263,94.0,227528.76937221232,12000.0,239528.76937221232,0.1276595744680851,0.44680851063829785,0.425531914893617,0.1595744680851064,30.0,67879.33916883597,3250.0,71129.33916883597,0.0,0.5333333333333333,0.4666666666666667,0.21666666666666667,38.0,117600.0,1125.0,118725.0,0.02631578947368421,0.23684210526315788,0.7368421052631579,0.019736842105263157,
