experiment,scenario,mechanism,N,seed,method,param_name,param_value,obj,runtime_total,runtime_pricing,gap,status,error,num_iters,num_pricing_calls,num_columns_added,min_reduced_cost_last,pricing_time_share,cost_energy,cost_delay,shore_utilization,mode_shore_count,mode_battery_count,mode_brown_count,infeasible_jobs,shore_ratio,battery_ratio,brown_ratio,mechanism_counts,type_A_count,type_A_cost_energy,type_A_cost_delay,type_A_cost_total,type_A_shore_ratio,type_A_battery_ratio,type_A_brown_ratio,type_A_avg_tardy_hours,type_B_count,type_B_cost_energy,type_B_cost_delay,type_B_cost_total,type_B_shore_ratio,type_B_battery_ratio,type_B_brown_ratio,type_B_avg_tardy_hours,type_C_count,type_C_cost_energy,type_C_cost_delay,type_C_cost_total,type_C_shore_ratio,type_C_battery_ratio,type_C_brown_ratio,type_C_avg_tardy_hours,type_D_count,type_D_cost_energy,type_D_cost_delay,type_D_cost_total,type_D_shore_ratio,type_D_battery_ratio,type_D_brown_ratio,type_D_avg_tardy_hours,time_limit
scenario,P,hybrid,100,8,fifo,scenario,P,230939.39317929078,0.03657039999961853,,,ok,,,,,,,223889.39317929078,7050.0,1.0,12,70,18,0,0.12,0.7,0.18,"{'shore': 12, 'battery': 70, 'brown': 18}",19,71567.14382101453,1000.0,72567.14382101453,0.15789473684210525,0.5263157894736842,0.3157894736842105,0.02631578947368421,61,110915.05456705233,4800.0,115715.05456705233,0.13114754098360656,0.7540983606557377,0.11475409836065574,0.09836065573770492,9,15607.194791223916,1250.0,16857.194791223916,0.0,0.8888888888888888,0.1111111111111111,0.2777777777777778,11,25800.0,0.0,25800.0,0.09090909090909091,0.5454545454545454,0.36363636363636365,0.0,
scenario,P,hybrid,100,8,milp60,scenario,P,180792.8016626726,339.63162020000163,,,infeasible,,,,,,,223080.8344422543,82400.0,1.0,2,87,11,0,0.02,0.87,0.11,"{'shore': 2, 'battery': 87, 'brown': 11}",19,68167.7110113054,57000.0,125167.7110113054,0.0,0.8421052631578947,0.15789473684210525,1.5,61,121100.85607930583,25400.0,146500.8560793058,0.03278688524590164,0.8360655737704918,0.13114754098360656,0.5204918032786885,9,14012.267351643084,0.0,14012.267351643084,0.0,1.0,0.0,0.0,11,19800.0,0.0,19800.0,0.0,1.0,0.0,0.0,60.0
scenario,P,hybrid,100,8,milp300,scenario,P,180792.8016626726,354.52916460006963,,,infeasible,,,,,,,223080.8344422543,82400.0,1.0,2,87,11,0,0.02,0.87,0.11,"{'shore': 2, 'battery': 87, 'brown': 11}",19,68167.7110113054,57000.0,125167.7110113054,0.0,0.8421052631578947,0.15789473684210525,1.5,61,121100.85607930583,25400.0,146500.8560793058,0.03278688524590164,0.8360655737704918,0.13114754098360656,0.5204918032786885,9,14012.267351643084,0.0,14012.267351643084,0.0,1.0,0.0,0.0,11,19800.0,0.0,19800.0,0.0,1.0,0.0,0.0,300.0
scenario,P,hybrid,100,9,cg,scenario,P,182540.42857712667,13.619997399975546,0.0,,ok,,1.0,0.0,0.0,0.0,0.0,182540.42857712667,0.0,1.0,16,84,0,0,0.16,0.84,0.0,"{'shore': 16, 'battery': 84, 'brown': 0}",19,58685.21859331323,0.0,58685.21859331323,0.05263157894736842,0.9473684210526315,0.0,0.0,43,61542.91997924653,0.0,61542.91997924653,0.3488372093023256,0.6511627906976745,0.0,0.0,24,37112.29000456691,0.0,37112.29000456691,0.0,1.0,0.0,0.0,14,25200.0,0.0,25200.0,0.0,1.0,0.0,0.0,
scenario,P,hybrid,100,9,greedy,scenario,P,231092.99927256306,0.06759089999832213,,,ok,,,,,,,222142.99927256306,8950.0,1.0,12,68,20,0,0.12,0.68,0.2,"{'shore': 12, 'battery': 68, 'brown': 20}",19,64640.105022995995,2500.0,67140.105022996,0.15789473684210525,0.6842105263157895,0.15789473684210525,0.06578947368421052,43,78138.38415023271,5200.0,83338.38415023271,0.20930232558139536,0.627906976744186,0.16279069767441862,0.1511627906976744,24,41564.51009933433,500.0,42064.51009933433,0.0,0.875,0.125,0.041666666666666664,14,37800.0,750.0,38550.0,0.0,0.5,0.5,0.03571428571428571,
scenario,P,hybrid,100,9,fifo,scenario,P,229014.0079312481,0.03139939997345209,,,ok,,,,,,,223539.00793124808,5475.0,1.0,12,68,20,0,0.12,0.68,0.2,"{'shore': 12, 'battery': 68, 'brown': 20}",19,67537.25960554769,0.0,67537.25960554769,0.15789473684210525,0.631578947368421,0.21052631578947367,0.0,43,78437.23822636605,4600.0,83037.23822636605,0.20930232558139536,0.627906976744186,0.16279069767441862,0.13372093023255813,24,41564.51009933433,875.0,42439.51009933433,0.0,0.875,0.125,0.07291666666666667,14,36000.0,0.0,36000.0,0.0,0.5714285714285714,0.42857142857142855,0.0,
scenario,P,hybrid,100,9,milp60,scenario,P,178518.61721453245,80.58419009996578,,,not solved,,,,,,,229842.1174955447,55825.0,1.0,0,89,11,0,0.0,0.89,0.11,"{'shore': 0, 'battery': 89, 'brown': 11}",19,83470.08312363984,19500.0,102970.08312363984,0.0,0.631578947368421,0.3684210526315789,0.5131578947368421,43,84059.7443673379,29200.0,113259.7443673379,0.0,0.9069767441860465,0.09302325581395349,0.8488372093023255,24,37112.29000456691,7125.0,44237.29000456691,0.0,1.0,0.0,0.59375,14,25200.0,0.0,25200.0,0.0,1.0,0.0,0.0,60.0
scenario,P,hybrid,100,9,milp300,scenario,P,178518.61721453245,414.35571390006226,,,infeasible,,,,,,,229842.1174955447,55825.0,1.0,0,89,11,0,0.0,0.89,0.11,"{'shore': 0, 'battery': 89, 'brown': 11}",19,83470.08312363984,19500.0,102970.08312363984,0.0,0.631578947368421,0.3684210526315789,0.5131578947368421,43,84059.7443673379,29200.0,113259.7443673379,0.0,0.9069767441860465,0.09302325581395349,0.8488372093023255,24,37112.29000456691,7125.0,44237.29000456691,0.0,1.0,0.0,0.59375,14,25200.0,0.0,25200.0,0.0,1.0,0.0,0.0,300.0
scenario,P,hybrid,100,10,cg,scenario,P,183842.055472631,18.11922970006708,0.0,,ok,,1.0,0.0,0.0,0.0,0.0,183842.055472631,0.0,1.0,15,85,0,0,0.15,0.85,0.0,"{'shore': 15, 'battery': 85, 'brown': 0}",18,53223.82805481961,0.0,53223.82805481961,0.05555555555555555,0.9444444444444444,0.0,0.0,54,86164.45899607203,0.0,86164.45899607203,0.2222222222222222,0.7777777777777778,0.0,0.0,18,28853.768421739383,0.0,28853.768421739383,0.0,1.0,0.0,0.0,10,15600.0,0.0,15600.0,0.2,0.8,0.0,0.0,
scenario,P,hybrid,100,10,greedy,scenario,P,228441.86938560635,0.06930490001104772,,,ok,,,,,,,222891.86938560635,5550.0,1.0,14,68,18,0,0.14,0.68,0.18,"{'shore': 14, 'battery': 68, 'brown': 18}",18,66195.50056259269,500.0,66695.50056259269,0.05555555555555555,0.7222222222222222,0.2222222222222222,0.013888888888888888,54,104838.46607625157,2800.0,107638.46607625157,0.18518518518518517,0.6481481481481481,0.16666666666666666,0.06481481481481481,18,32057.90274676202,2250.0,34307.90274676202,0.0,0.8888888888888888,0.1111111111111111,0.25,10,19800.0,0.0,19800.0,0.3,0.4,0.3,0.0,
