experiment,scenario,mechanism,N,seed,method,param_name,param_value,obj,runtime_total,runtime_pricing,gap,status,error,num_iters,num_pricing_calls,num_columns_added,min_reduced_cost_last,pricing_time_share,cost_energy,cost_delay,shore_utilization,mode_shore_count,mode_battery_count,mode_brown_count,infeasible_jobs,shore_ratio,battery_ratio,brown_ratio,mechanism_counts,type_A_count,type_A_cost_energy,type_A_cost_delay,type_A_cost_total,type_A_shore_ratio,type_A_battery_ratio,type_A_brown_ratio,type_A_avg_tardy_hours,type_B_count,type_B_cost_energy,type_B_cost_delay,type_B_cost_total,type_B_shore_ratio,type_B_battery_ratio,type_B_brown_ratio,type_B_avg_tardy_hours,type_C_count,type_C_cost_energy,type_C_cost_delay,type_C_cost_total,type_C_shore_ratio,type_C_battery_ratio,type_C_brown_ratio,type_C_avg_tardy_hours,type_D_count,type_D_cost_energy,type_D_cost_delay,type_D_cost_total,type_D_shore_ratio,type_D_battery_ratio,type_D_brown_ratio,type_D_avg_tardy_hours,time_limit,solver_backend
sensitivity,U,hybrid,100,1,cg,shore_cap,2.0,178339.47421345147,13.844546300009824,0.0,,ok,,1.0,0.0,0.0,0.0,0.0,178339.47421345147,0.0,1.0,13,87,0,0,0.13,0.87,0.0,"{'shore': 13, 'battery': 87, 'brown': 0}",19,51171.21168002153,0.0,51171.21168002153,0.2105263157894736,0.7894736842105263,0.0,0.0,48,73752.12764578388,0.0,73752.12764578388,0.1666666666666666,0.8333333333333334,0.0,0.0,19,29416.13488764601,0.0,29416.13488764601,0.0,1.0,0.0,0.0,14,24000.0,0.0,24000.0,0.0714285714285714,0.9285714285714286,0.0,0.0,,
sensitivity,U,hybrid,100,1,cg,shore_cap,3.0,169627.51582220508,23.16175389999989,0.0,,ok,,1.0,0.0,0.0,0.0,0.0,169627.51582220508,0.0,1.0,18,82,0,0,0.18,0.82,0.0,"{'shore': 18, 'battery': 82, 'brown': 0}",19,44892.25777538973,0.0,44892.25777538973,0.3684210526315789,0.631578947368421,0.0,0.0,48,71319.12315916934,0.0,71319.12315916934,0.2083333333333333,0.7916666666666666,0.0,0.0,19,29416.13488764601,0.0,29416.13488764601,0.0,1.0,0.0,0.0,14,24000.0,0.0,24000.0,0.0714285714285714,0.9285714285714286,0.0,0.0,,
sensitivity,U,hybrid,100,1,cg,shore_cap,5.0,152775.470591803,55.0026636000257,0.0,,ok,,1.0,0.0,0.0,0.0,0.0,152775.470591803,0.0,1.0,31,69,0,0,0.31,0.69,0.0,"{'shore': 31, 'battery': 69, 'brown': 0}",19,42589.77492231069,0.0,42589.77492231069,0.4210526315789473,0.5789473684210527,0.0,0.0,48,65169.560781846216,0.0,65169.560781846216,0.3125,0.6875,0.0,0.0,19,29416.13488764601,0.0,29416.13488764601,0.0,1.0,0.0,0.0,14,15600.0,0.0,15600.0,0.5714285714285714,0.4285714285714285,0.0,0.0,,
sensitivity,U,hybrid,100,1,cg,shore_cap,8.0,128135.71357441651,168.17820460000075,0.0,,ok,,1.0,0.0,0.0,0.0,0.0,128135.71357441651,0.0,1.0,49,51,0,0,0.49,0.51,0.0,"{'shore': 49, 'battery': 51, 'brown': 0}",19,36275.89661312653,0.0,36275.89661312653,0.5789473684210527,0.4210526315789473,0.0,0.0,48,54043.68207364394,0.0,54043.68207364394,0.5,0.5,0.0,0.0,19,29416.13488764601,0.0,29416.13488764601,0.0,1.0,0.0,0.0,14,8400.0,0.0,8400.0,1.0,0.0,0.0,0.0,,
sensitivity,U,hybrid,100,1,fifo,battery_cost,0.3,172525.37799386843,0.0310524000087752,,,ok,,,,,,,158750.37799386837,13775.0,1.0,15,70,15,0,0.15,0.7,0.15,"{'shore': 15, 'battery': 70, 'brown': 15}",19,47050.24722025562,2000.0,49050.24722025562,0.0526315789473684,0.8421052631578947,0.1052631578947368,0.0526315789473684,48,64201.24194533293,8400.0,72601.24194533293,0.2916666666666667,0.5416666666666666,0.1666666666666666,0.21875,19,23498.888828279807,2250.0,25748.888828279807,0.0,0.8947368421052632,0.1052631578947368,0.2368421052631578,14,24000.0,1125.0,25125.0,0.0,0.7857142857142857,0.2142857142857142,0.0535714285714285,,
sensitivity,U,hybrid,100,1,fifo,battery_cost,0.4,203100.9514911916,0.0289902000222355,,,ok,,,,,,,193475.9514911916,9625.0,1.0,15,69,16,0,0.15,0.69,0.16,"{'shore': 15, 'battery': 69, 'brown': 16}",19,59878.39677769358,1000.0,60878.39677769358,0.0,0.8947368421052632,0.1052631578947368,0.0263157894736842,48,75809.76906071615,6000.0,81809.76906071615,0.3125,0.5,0.1875,0.15625,19,29387.78565278184,2250.0,31637.78565278184,0.0,0.8947368421052632,0.1052631578947368,0.2368421052631578,14,28400.0,375.0,28775.0,0.0,0.7857142857142857,0.2142857142857142,0.0178571428571428,,
sensitivity,U,hybrid,100,1,fifo,battery_cost,0.45,218820.7086238057,0.0287075999658554,,,ok,,,,,,,209195.70862380564,9625.0,1.0,15,69,16,0,0.15,0.69,0.16,"{'shore': 15, 'battery': 69, 'brown': 16}",19,65720.60449132964,1000.0,66720.60449132964,0.0,0.8947368421052632,0.1052631578947368,0.0263157894736842,48,80542.87006744315,6000.0,86542.87006744315,0.3125,0.5,0.1875,0.15625,19,32332.23406503286,2250.0,34582.234065032855,0.0,0.8947368421052632,0.1052631578947368,0.2368421052631578,14,30600.0,375.0,30975.0,0.0,0.7857142857142857,0.2142857142857142,0.0178571428571428,,
sensitivity,U,hybrid,100,1,fifo,battery_cost,0.5,234540.4657564197,0.0306686999974772,,,ok,,,,,,,224915.4657564197,9625.0,1.0,15,69,16,0,0.15,0.69,0.16,"{'shore': 15, 'battery': 69, 'brown': 16}",19,71562.81220496568,1000.0,72562.81220496568,0.0,0.8947368421052632,0.1052631578947368,0.0263157894736842,48,85275.9710741701,6000.0,91275.9710741701,0.3125,0.5,0.1875,0.15625,19,35276.68247728388,2250.0,37526.68247728388,0.0,0.8947368421052632,0.1052631578947368,0.2368421052631578,14,32800.0,375.0,33175.0,0.0,0.7857142857142857,0.2142857142857142,0.0178571428571428,,
sensitivity,U,hybrid,100,1,fifo,battery_cost,0.6,263947.8719717004,0.0296391999581828,,,ok,,,,,,,255922.8719717004,8025.0,1.0,16,67,17,0,0.16,0.67,0.17,"{'shore': 16, 'battery': 67, 'brown': 17}",19,83247.2276322378,500.0,83747.2276322378,0.0,0.8947368421052632,0.1052631578947368,0.0131578947368421,48,93218.06187018132,6400.0,99618.06187018132,0.3333333333333333,0.4791666666666667,0.1875,0.1666666666666666,19,42257.58246928122,750.0,43007.58246928122,0.0,0.8421052631578947,0.1578947368421052,0.0789473684210526,14,37200.0,375.0,37575.0,0.0,0.7857142857142857,0.2142857142857142,0.0178571428571428,,
sensitivity,U,hybrid,100,1,fifo,battery_cost,0.8,329639.3502923112,0.0302218000870198,,,ok,,,,,,,318239.3502923113,11400.0,1.0,16,65,19,0,0.16,0.65,0.19,"{'shore': 16, 'battery': 65, 'brown': 19}",19,106616.05848678204,0.0,106616.05848678204,0.0,0.8947368421052632,0.1052631578947368,0.0,48,112009.07683535322,11400.0,123409.07683535322,0.3333333333333333,0.4583333333333333,0.2083333333333333,0.296875,19,53614.21497017593,0.0,53614.21497017593,0.0,0.7894736842105263,0.2105263157894736,0.0,14,46000.0,0.0,46000.0,0.0,0.7857142857142857,0.2142857142857142,0.0,,
sensitivity,U,hybrid,100,1,fifo,deadline_tightness,0.8,224957.5332846991,0.0289337000576779,,,ok,,,,,,,211007.53328469917,13950.0,1.0,15,68,17,0,0.15,0.68,0.17,"{'shore': 15, 'battery': 68, 'brown': 17}",19,65720.60449132964,2500.0,68220.60449132964,0.0,0.8947368421052632,0.1052631578947368,0.0657894736842105,48,80554.69472833659,8200.0,88754.69472833659,0.3125,0.5,0.1875,0.2135416666666666,19,32332.23406503286,2875.0,35207.234065032855,0.0,0.8947368421052632,0.1052631578947368,0.3026315789473684,14,32400.0,375.0,32775.0,0.0,0.7142857142857143,0.2857142857142857,0.0178571428571428,,
sensitivity,U,hybrid,100,1,fifo,deadline_tightness,1.0,218820.7086238057,0.0294182000216096,,,ok,,,,,,,209195.70862380564,9625.0,1.0,15,69,16,0,0.15,0.69,0.16,"{'shore': 15, 'battery': 69, 'brown': 16}",19,65720.60449132964,1000.0,66720.60449132964,0.0,0.8947368421052632,0.1052631578947368,0.0263157894736842,48,80542.87006744315,6000.0,86542.87006744315,0.3125,0.5,0.1875,0.15625,19,32332.23406503286,2250.0,34582.234065032855,0.0,0.8947368421052632,0.1052631578947368,0.2368421052631578,14,30600.0,375.0,30975.0,0.0,0.7857142857142857,0.2142857142857142,0.0178571428571428,,
sensitivity,U,hybrid,100,1,fifo,deadline_tightness,1.2,211666.81518945016,0.031020599999465,,,ok,,,,,,,206191.81518945016,5475.0,1.0,15,70,15,0,0.15,0.7,0.15,"{'shore': 15, 'battery': 70, 'brown': 15}",19,63690.19524023485,1000.0,64690.19524023485,0.0526315789473684,0.8421052631578947,0.1052631578947368,0.0263157894736842,48,79569.3858841824,3600.0,83169.3858841824,0.2916666666666667,0.5416666666666666,0.1666666666666666,0.09375,19,32332.23406503286,875.0,33207.234065032855,0.0,0.8947368421052632,0.1052631578947368,0.0921052631578947,14,30600.0,0.0,30600.0,0.0,0.7857142857142857,0.2142857142857142,0.0,,
sensitivity,U,hybrid,100,1,fifo,shore_cap,1.0,236404.99753723425,0.0215647999430075,,,ok,,,,,,,227504.99753723425,8900.0,1.0,7,72,21,0,0.07,0.72,0.21,"{'shore': 7, 'battery': 72, 'brown': 21}",19,68525.64336243253,0.0,68525.64336243253,0.0,0.8421052631578947,0.1578947368421052,0.0,48,91066.33577377503,7400.0,98466.33577377503,0.1458333333333333,0.6458333333333334,0.2083333333333333,0.1927083333333333,19,33713.01840102664,1500.0,35213.01840102664,0.0,0.8421052631578947,0.1578947368421052,0.1578947368421052,14,34200.0,0.0,34200.0,0.0,0.6428571428571429,0.3571428571428571,0.0,,
sensitivity,U,hybrid,100,1,fifo,shore_cap,2.0,218820.7086238057,0.0294279999798163,,,ok,,,,,,,209195.70862380564,9625.0,1.0,15,69,16,0,0.15,0.69,0.16,"{'shore': 15, 'battery': 69, 'brown': 16}",19,65720.60449132964,1000.0,66720.60449132964,0.0,0.8947368421052632,0.1052631578947368,0.0263157894736842,48,80542.87006744315,6000.0,86542.87006744315,0.3125,0.5,0.1875,0.15625,19,32332.23406503286,2250.0,34582.234065032855,0.0,0.8947368421052632,0.1052631578947368,0.2368421052631578,14,30600.0,375.0,30975.0,0.0,0.7857142857142857,0.2142857142857142,0.0178571428571428,,
