iteration,wall_time,rmp_obj,rmp_lb,best_primal_obj,columns_added_this_iter,pricing_calls_cum,min_reduced_cost_last,dual_norm
1,2.1843845000257716,606401.4370122483,606401.4370122483,606401.4370122483,450,150,-5989.143507946801,0.0
2,3.227353199967183,562783.4166591775,562783.4166591775,562783.4166591775,435,300,-8786.453001322188,0.0
3,4.360313400044106,546317.6442830324,546317.6442830324,546317.6442830324,434,450,-5989.143507946801,0.0
4,6.249496700009331,522311.6774847322,522311.6774847322,522311.6774847322,450,600,-5940.489383971798,0.0
5,8.014492399990559,505422.8975795966,505422.8975795966,505422.8975795966,450,750,-4842.761663315362,0.0
6,10.63937160000205,494449.9952427597,494449.9952427597,494449.9952427597,450,900,-3564.2935973984168,0.0
7,12.461997600039467,487319.18776619533,487319.18776619533,487319.18776619533,441,1050,-3498.2436238404025,0.0
8,14.887301100068726,479972.0058808595,479972.0058808595,479972.0058808595,445,1200,-3425.8425973984167,0.0
9,16.533297499991022,472974.3790097202,472974.3790097202,472974.3790097202,449,1350,-3378.920351915395,0.0
10,19.599734000046737,465894.66621717764,465894.66621717764,465894.66621717764,449,1500,-3259.5096519153954,0.0
11,21.467491399962455,459370.0133016294,459370.0133016294,459370.0133016294,447,1650,-3240.5208272082386,0.0
12,24.727053300011903,452891.89964846935,452891.89964846935,452891.89964846935,429,1800,-3031.8987519153948,0.0
13,27.356848899973556,446197.28911393957,446197.28911393957,446197.28911393957,434,1950,-3018.61306949707,0.0
14,30.37497100001201,439806.8251064157,439806.8251064157,439806.8251064157,438,2100,-2705.6286988694296,0.0
15,33.175585599965416,433968.22764871374,433968.22764871374,433968.22764871374,421,2250,-2908.632515940846,0.0
16,36.692697199992836,428765.5884497726,428765.5884497726,428765.5884497726,433,2400,-2132.112674360921,0.0
17,40.25884889997542,424197.546047019,424197.546047019,424197.546047019,407,2550,-2090.9340272082386,0.0
18,41.940273600048386,420057.87667326996,420057.87667326996,420057.87667326996,349,2700,-2016.6655694970705,0.0
19,44.23887720005587,416047.6847030606,416047.6847030606,416047.6847030606,364,2850,-1953.8297978234027,0.0
20,46.72396720002871,412158.1461779784,412158.1461779784,412158.1461779784,335,3000,-2119.6616930643136,0.0
21,49.52749190002214,408200.3268675291,408200.3268675291,408200.3268675291,339,3150,-2099.997773315362,0.0
22,51.95421039999928,403611.7215836577,403611.7215836577,403611.7215836577,286,3300,-1802.6868985165252,0.0
23,54.76349060004577,399998.8086705104,399998.8086705104,399998.8086705104,246,3450,-1800.0000498131853,0.0
24,62.34275169996545,396398.8086705105,396398.8086705105,396398.8086705105,261,3600,-1833.6841066946417,0.0
25,70.90507390000857,392798.8086705105,392798.8086705105,392798.8086705105,230,3750,-1800.0000498131853,0.0
26,80.29426270001568,389198.8086705105,389198.8086705105,389198.8086705105,228,3900,-1800.000047114524,0.0
27,88.59086320002098,385598.8086705104,385598.8086705104,385598.8086705104,223,4050,-1800.000047114524,0.0
28,95.22842769999988,381763.89287585736,381763.89287585736,381763.89287585736,279,4200,-1800.0000458225372,0.0
29,98.69971800001804,378163.89287585736,378163.89287585736,378163.89287585736,228,4350,-1800.0000458225372,0.0
30,102.59694429999217,374529.17763642815,374529.17763642815,374529.17763642815,207,4500,-1800.0000328013227,0.0
31,106.5242859000573,370852.4271354646,370852.4271354646,370852.4271354646,145,4650,-1800.0000328013223,0.0
32,110.71992239996325,367231.8780167259,367231.8780167259,367231.8780167259,159,4800,-1800.0000328013223,0.0
33,115.0153836000245,363736.57741583773,363736.57741583773,363736.57741583773,268,4950,-1655.4510687293935,0.0
34,119.53479509998579,360378.25661628926,360378.25661628926,360378.25661628926,135,5100,-1644.4354264680742,0.0
35,124.37227050005458,357420.7660458017,357420.7660458017,357420.7660458017,160,5250,-1476.276497442897,0.0
36,129.1315842999611,354550.85874427983,354550.85874427983,354550.85874427983,77,5400,-1228.9242264680743,0.0
37,134.0995288999984,353946.1657121346,353946.1657121346,353946.1657121346,86,5550,-299.09038587783493,0.0
38,140.0171277000336,353934.9625950342,353934.9625950342,353934.9625950342,100,5700,-355.50863004191706,0.0
39,145.08966319996398,353934.96267715615,353934.96267715615,353934.96267715615,127,5850,-200.00004469464193,0.0
40,149.69975370005704,353934.77915021,353934.77915021,353934.77915021,129,6000,-189.95174487783515,0.0
41,153.86890190001577,353934.77913820994,353934.77913820994,353934.77913820994,35,6150,-294.84395485457344,0.0
42,158.42616090003867,353934.7791319362,353934.7791319362,353934.7791319362,118,6300,-340.22474998295615,0.0
43,162.7994849999668,353934.7791726105,353934.7791726105,353934.7791726105,17,6450,-468.61683687783466,0.0
44,167.3610509999562,353934.77911929006,353934.77911929006,353934.77911929006,23,6600,-34.599870877834746,0.0
45,172.46969920000993,353934.7791087931,353934.7791087931,353934.7791087931,93,6750,-12.902839225845582,0.0
46,177.0511351999594,353934.7791726103,353934.7791726103,353934.7791726103,31,6900,-8.474365877835226,0.0
47,182.7323863999918,353934.77915327984,353934.77915327984,353934.77915327984,55,7050,-455.402284877835,0.0
48,188.44135169999208,353934.77916821,353934.77916821,353934.77916821,11,7200,-498.9505060419174,0.0
49,194.0926367000211,353934.77917832136,353934.77917832136,353934.77917832136,23,7350,-130.38129887783498,0.0
50,199.6304754000157,353934.7791284858,353934.7791284858,353934.7791284858,5,7500,-47.8960970419173,0.0
