iteration,wall_time,rmp_obj,rmp_lb,best_primal_obj,columns_added_this_iter,pricing_calls_cum,min_reduced_cost_last,dual_norm
1,1.7247567999875173,501790.7306680147,501790.7306680147,501790.7306680147,375,125,-5963.073756067815,0.0
2,2.3676430999767035,463529.4283298515,463529.4283298515,463529.4283298515,354,250,-8506.730737018108,0.0
3,3.9950084999436513,443213.11083094333,443213.11083094333,443213.11083094333,339,375,-5805.619956067815,0.0
4,4.514424100052565,412562.7356062845,412562.7356062845,412562.7356062845,375,500,-5757.182502609915,0.0
5,6.305491199949756,399338.8819699017,399338.8819699017,399338.8819699017,375,625,-5464.830497658824,0.0
6,6.950016599963419,389245.90953705576,389245.90953705576,389245.90953705576,375,750,-3454.309468203444,0.0
7,8.907581000006758,381951.6146506088,381951.6146506088,381951.6146506088,375,875,-3269.63302632936,0.0
8,10.028372499975376,374755.09473129926,374755.09473129926,374755.09473129926,375,1000,-3142.164272704172,0.0
9,11.442415899946354,367827.93400460033,367827.93400460033,367827.93400460033,371,1125,-3094.32430209828,0.0
10,12.82985139999073,361235.40098203043,361235.40098203043,361235.40098203043,366,1250,-2942.362972704173,0.0
11,14.366109799942933,355373.44743545534,355373.44743545534,355373.44743545534,372,1375,-2890.263782035992,0.0
12,16.2153510999633,350249.36670099164,350249.36670099164,350249.36670099164,372,1500,-2712.7435467062714,0.0
13,18.157434899942018,345456.8893722801,345456.8893722801,345456.8893722801,354,1625,-2207.2672179659926,0.0
14,20.02563889999874,341024.84544261394,341024.84544261394,341024.84544261394,361,1750,-2168.364613714854,0.0
15,21.270610200008377,336489.06232022546,336489.06232022546,336489.06232022546,331,1875,-2138.4181363283105,0.0
16,23.405055499984883,332141.57920259377,332141.57920259377,332141.57920259377,308,2000,-2085.676163512687,0.0
17,24.46009489998687,327993.45301859675,327993.45301859675,327993.45301859675,310,2125,-2038.908263512687,0.0
18,26.816959999967366,323088.9386268676,323088.9386268676,323088.9386268676,322,2250,-2782.4565642662333,0.0
19,28.57873089995701,319190.2028458631,319190.2028458631,319190.2028458631,285,2375,-1896.2494178325987,0.0
20,31.0105356000131,315219.2637666655,315219.2637666655,315219.2637666655,310,2500,-1805.9766247986997,0.0
21,32.619329100009054,311608.1701698649,311608.1701698649,311608.1701698649,291,2625,-1823.15150666593,0.0
22,34.61642930004746,307889.4516069465,307889.4516069465,307889.4516069465,253,2750,-1800.0000432348843,0.0
23,36.27148530003615,304289.4516069465,304289.4516069465,304289.4516069465,236,2875,-1800.0000432348843,0.0
24,37.955437000025995,300697.48540583707,300697.48540583707,300697.48540583707,219,3000,-1784.5512302518214,0.0
25,39.940005799988285,297030.4545701326,297030.4545701326,297030.4545701326,216,3125,-1784.5512302518214,0.0
26,41.99897990003228,293470.46651371865,293470.46651371865,293470.46651371865,216,3250,-1762.2293138988493,0.0
27,44.16374039999209,289951.42093237455,289951.42093237455,289951.42093237455,223,3375,-1825.8815578325987,0.0
28,46.223341100034304,286431.7547414832,286431.7547414832,286431.7547414832,135,3500,-1754.050043234884,0.0
29,48.2789105999982,282937.6261346164,282937.6261346164,282937.6261346164,189,3625,-1739.0245747963288,0.0
30,50.223390999948606,279455.7721797938,279455.7721797938,279455.7721797938,150,3750,-1726.0413950301772,0.0
31,52.330573500017636,276008.889315306,276008.889315306,276008.889315306,107,3875,-1720.6300432348844,0.0
32,54.45735499996226,272570.80556230654,272570.80556230654,272570.80556230654,133,4000,-1676.0115097181395,0.0
33,56.80681270000059,269266.2317994833,269266.2317994833,269266.2317994833,158,4125,-2207.4855966659297,0.0
34,58.76615809998475,266024.85603311553,266024.85603311553,266024.85603311553,87,4250,-1343.167109718139,0.0
35,60.50985419994686,264619.80501976813,264619.80501976813,264619.80501976813,98,4375,-360.3912926659301,0.0
36,62.24410679994617,264544.1262927582,264544.1262927582,264544.1262927582,30,4500,-269.58879666592986,0.0
37,63.97248700005002,264544.12630231516,264544.12630231516,264544.12630231516,37,4625,-302.8087909688925,0.0
38,65.72593770001549,264544.12629988743,264544.12629988743,264544.12629988743,25,4750,-196.5385769313441,0.0
39,67.48093930003233,264544.12627728214,264544.12627728214,264544.12627728214,14,4875,-76.04080002028513,0.0
40,69.345299800043,264544.12633547623,264544.12633547623,264544.12633547623,18,5000,-98.22597822103671,0.0
41,71.11847430001944,264544.1262992237,264544.1262992237,264544.1262992237,65,5125,-110.64589438590019,0.0
42,72.88307139999233,264544.1262864536,264544.1262864536,264544.1262864536,20,5250,-0.7506586085564777,0.0
43,74.64728110004216,264544.12630887324,264544.12630887324,264544.12630887324,21,5375,-129.9664773858999,0.0
44,76.3540745000355,264544.1262983375,264544.1262983375,264544.1262983375,139,5500,-20.162244023825224,0.0
45,77.65966699994169,264544.12631769665,264544.12631769665,264544.12631769665,27,5625,-36.97325058058277,0.0
46,78.83781239995733,264544.12632630294,264544.12632630294,264544.12632630294,46,5750,-61.21147902382472,0.0
47,80.09338740003295,264544.1262991218,264544.1262991218,264544.1262991218,69,5875,-9.15146558058268,0.0
48,81.29077029996552,264544.1263327402,264544.1263327402,264544.1263327402,35,6000,-90.17166877610362,0.0
49,82.56046690000221,264544.12632600026,264544.12632600026,264544.12632600026,0,6125,0.0,0.0
