iteration,wall_time,rmp_obj,rmp_lb,best_primal_obj,columns_added_this_iter,pricing_calls_cum,min_reduced_cost_last,dual_norm
1,0.2620719999540597,368176.7598786469,368176.7598786469,368176.7598786469,138,50,-5464.830497658824,0.0
2,0.377677499956917,368176.7598786469,368176.7598786469,368176.7598786469,150,100,-5526.047924198532,0.0
3,0.5193183999508619,368176.7598786469,368176.7598786469,368176.7598786469,147,150,-7653.657316555225,0.0
4,0.6888827999937348,368176.7598786469,368176.7598786469,368176.7598786469,144,200,-8771.179219179256,0.0
5,0.8765148999518715,368176.7598786469,368176.7598786469,368176.7598786469,147,250,-6640.906252889539,0.0
