iteration,wall_time,rmp_obj,rmp_lb,best_primal_obj,columns_added_this_iter,pricing_calls_cum,min_reduced_cost_last,dual_norm
1,0.32327409996651113,205118.18913515052,205118.18913515052,205118.18913515052,105,50,-3000.0,0.0
2,0.4487512999912724,205118.18913515052,205118.18913515052,205118.18913515052,114,100,-3564.0487571473705,0.0
3,0.5994962999830022,205118.18913515052,205118.18913515052,205118.18913515052,122,150,-3730.021360360469,0.0
4,0.7699862999725156,205118.18913515052,205118.18913515052,205118.18913515052,109,200,-3564.0487682887047,0.0
5,0.9614402999868616,205118.18913515052,205118.18913515052,205118.18913515052,120,250,-5192.032756914166,0.0
