iteration,wall_time,rmp_obj,rmp_lb,best_primal_obj,columns_added_this_iter,pricing_calls_cum,min_reduced_cost_last,dual_norm
1,0.5122853999782819,819024.8486468892,819024.8486468892,819024.8486468892,600,200,-5930.033996880643,0.0
2,0.8365599999960978,777034.8179865651,777034.8179865651,777034.8179865651,579,400,-7208.094577141639,0.0
3,1.3926619999983814,759483.8753249178,759483.8753249178,759483.8753249178,579,600,-5930.034060415164,0.0
4,2.105975299986312,725619.523298508,725619.523298508,725619.523298508,600,800,-5767.093669797653,0.0
5,2.963539899996249,711515.4935354835,711515.4935354835,711515.4935354835,600,1000,-3557.180579787148,0.0
6,3.8890537999977823,700572.7735824864,700572.7735824864,700572.7735824864,597,1200,-3498.411766583671,0.0
7,4.8708424999786075,693610.1222152951,693610.1222152951,693610.1222152951,596,1400,-3460.25620939296,0.0
8,6.090735499979928,685660.2158910412,685660.2158910412,685660.2158910412,600,1600,-3457.6999093929608,0.0
9,7.274776000005659,678041.9192065864,678041.9192065864,678041.9192065864,600,1800,-3375.2582429465415,0.0
10,8.464305400004378,668315.8438074619,668315.8438074619,668315.8438074619,600,2000,-3341.126456083741,0.0
11,9.744905700004892,659613.7747804361,659613.7747804361,659613.7747804361,588,2200,-3324.5290097605293,0.0
12,11.101722499995958,651458.207968905,651458.207968905,651458.207968905,586,2400,-3202.043292206179,0.0
13,12.59950630000094,643360.0808398072,643360.0808398072,643360.0808398072,582,2600,-3078.566420541064,0.0
14,14.075077699992107,635454.6056443166,635454.6056443166,635454.6056443166,533,2800,-2963.645956398942,0.0
15,15.73963559998083,628648.1387685322,628648.1387685322,628648.1387685322,483,3000,-2882.851105984717,0.0
16,17.484112399979495,622037.1347648432,622037.1347648432,622037.1347648432,502,3200,-2833.070938596837,0.0
17,19.276078299997607,615006.7977088828,615006.7977088828,615006.7977088828,497,3400,-2203.1087665836712,0.0
18,21.122322299983352,609823.6148970171,609823.6148970171,609823.6148970171,553,3600,-2173.5853126069155,0.0
19,23.115339299984043,604950.7370400529,604950.7370400529,604950.7370400529,471,3800,-2094.8213728023766,0.0
20,25.139062899979763,600641.5693045189,600641.5693045189,600641.5693045189,410,4000,-2085.68699064193,0.0
21,27.23462400000426,596421.6543874766,596421.6543874766,596421.6543874766,460,4200,-2041.4296877519118,0.0
22,29.436717899981886,592354.413125223,592354.413125223,592354.413125223,370,4400,-2014.8935093929629,0.0
23,31.74316650000401,588275.0913307237,588275.0913307237,588275.0913307237,334,4600,-1993.0481400239644,0.0
24,34.07473399999435,584298.964685352,584298.964685352,584298.964685352,323,4800,-1978.9477615439873,0.0
25,36.661538299988024,577749.0039037238,577749.0039037238,577749.0039037238,306,5000,-1951.4898126069152,0.0
26,39.13609419998829,573807.386389853,573807.386389853,573807.386389853,289,5200,-1946.9777237124051,0.0
27,41.67544659998384,569913.378654223,569913.378654223,569913.378654223,291,5400,-1908.2329670526935,0.0
28,44.295731599995634,566083.2009828788,566083.2009828788,566083.2009828788,210,5600,-1883.9055946708309,0.0
29,46.96245349998935,562324.9050551974,562324.9050551974,562324.9050551974,173,5800,-1864.0106093929608,0.0
30,49.7145505999797,558608.4033700617,558608.4033700617,558608.4033700617,86,6000,-1846.53000939296,0.0
31,52.45786439999938,555313.5412383989,555313.5412383989,555313.5412383989,147,6200,-1554.6196670526936,0.0
32,55.267341900005704,552419.1336089484,552419.1336089484,552419.1336089484,96,6400,-1391.1993670526938,0.0
33,58.001797399978386,549870.5552719706,549870.5552719706,549870.5552719706,80,6600,-917.6860963569491,0.0
34,60.853120299987495,549259.4977177909,549259.4977177909,549259.4977177909,140,6800,-599.9999533258119,0.0
35,63.91001209997921,549252.6332136926,549252.6332136926,549252.6332136926,141,7000,-203.14196157115748,0.0
36,66.84654779999983,549252.1114790818,549252.1114790818,549252.1114790818,63,7200,-124.42043213935597,0.0
37,69.69040979997953,549251.9980535425,549251.9980535425,549251.9980535425,55,7400,-184.63340891484904,0.0
38,72.60582100000465,549251.9980661843,549251.9980661843,549251.9980661843,40,7600,-437.8044097143695,0.0
39,75.54602799998247,549251.998057779,549251.998057779,549251.998057779,18,7800,-66.58326840568793,0.0
40,78.54120389997843,549251.9980638787,549251.9980638787,549251.9980638787,16,8000,-170.660863325812,0.0
41,81.42477949999738,549251.9980745963,549251.9980745963,549251.9980745963,73,8200,-118.30587015725632,0.0
42,84.42418499998166,549251.998060457,549251.998060457,549251.998060457,31,8400,-168.1484972769931,0.0
43,87.42982160000247,549251.9980494255,549251.9980494255,549251.9980494255,67,8600,-10.088440260502466,0.0
44,90.44449769999483,549251.9980615489,549251.9980615489,549251.9980615489,16,8800,-29.339109714369442,0.0
45,93.70608639999409,549251.9980832884,549251.9980832884,549251.9980832884,18,9000,-105.95511347905358,0.0
46,96.71342319998075,549251.9980657147,549251.9980657147,549251.9980657147,4,9200,-100.61827032581198,0.0
47,99.75878439997905,549251.9980615571,549251.9980615571,549251.9980615571,77,9400,-31.851400260502032,0.0
48,102.82335319998674,549251.9980538144,549251.9980538144,549251.9980538144,78,9600,-67.8049845021992,0.0
49,105.85512969997944,549251.9980640957,549251.9980640957,549251.9980640957,26,9800,-1.2757372769933681,0.0
50,108.8723583999963,549251.9980736447,549251.9980736447,549251.9980736447,22,10000,-33.12719465494911,0.0
51,111.82662059998256,549251.9980456012,549251.9980456012,549251.9980456012,44,10200,-166.87272856392246,0.0
52,114.88244600000326,549251.9980647016,549251.9980647016,549251.9980647016,0,10400,0.0,0.0
