iteration,wall_time,rmp_obj,rmp_lb,best_primal_obj,columns_added_this_iter,pricing_calls_cum,min_reduced_cost_last,dual_norm
1,0.13887950003845617,262078.9088106232,262078.9088106232,262078.9088106232,98,50,-3522.9850145960727,0.0
2,0.21506680001039058,262078.9088106232,262078.9088106232,262078.9088106232,113,100,-3522.9850239625007,0.0
3,0.28974730003392324,262078.9088106232,262078.9088106232,262078.9088106232,110,150,-3522.985031081775,0.0
4,0.3777957000420429,262078.9088106232,262078.9088106232,262078.9088106232,110,200,-6022.985000451166,0.0
5,0.4752000000444241,262078.9088106232,262078.9088106232,262078.9088106232,120,250,-3522.9850145960727,0.0
