iteration,wall_time,rmp_obj,rmp_lb,best_primal_obj,columns_added_this_iter,pricing_calls_cum,min_reduced_cost_last,dual_norm
1,0.13131269998848438,252478.93305131508,252478.93305131508,252478.93305131508,91,50,-3150.0144145343434,0.0
2,0.2011336999712512,252478.93305131508,252478.93305131508,252478.93305131508,105,100,-3150.0144145343434,0.0
3,0.287678099994082,252478.93305131508,252478.93305131508,252478.93305131508,111,150,-3270.3283586686166,0.0
4,0.3638125999714248,252478.93305131508,252478.93305131508,252478.93305131508,113,200,-3270.3283781577006,0.0
5,0.4568534999853,252478.93305131508,252478.93305131508,252478.93305131508,126,250,-3270.328389771076,0.0
