iteration,wall_time,rmp_obj,rmp_lb,best_primal_obj,columns_added_this_iter,pricing_calls_cum,min_reduced_cost_last,dual_norm
1,0.30721450003329664,231411.55603953224,231411.55603953224,231411.55603953224,141,50,-3426.6056743775653,0.0
2,0.43014740000944585,231411.55603953224,231411.55603953224,231411.55603953224,138,100,-3504.2737498666975,0.0
3,0.5747710000141524,231411.55603953224,231411.55603953224,231411.55603953224,141,150,-5558.3310874299605,0.0
4,0.7486554000061005,231411.55603953224,231411.55603953224,231411.55603953224,141,200,-7822.436130369282,0.0
5,0.9467539000324905,231411.55603952575,231411.55603952575,231411.55603952575,142,250,-5558.3311,0.0
