iteration,wall_time,rmp_obj,rmp_lb,best_primal_obj,columns_added_this_iter,pricing_calls_cum,min_reduced_cost_last,dual_norm
1,0.35733909998089075,207903.9483593157,207903.9483593157,207903.9483593157,129,50,-5704.715839587803,0.0
2,0.4817810999811627,207903.9483593157,207903.9483593157,207903.9483593157,120,100,-5704.715839587803,0.0
3,0.6183116000029258,207903.9483593157,207903.9483593157,207903.9483593157,121,150,-5704.715839587803,0.0
4,0.7990644000237808,207903.9483593157,207903.9483593157,207903.9483593157,124,200,-5682.055671193645,0.0
5,0.9831766000133939,207903.9483593157,207903.9483593157,207903.9483593157,127,250,-10649.272460178847,0.0
