iteration,wall_time,rmp_obj,rmp_lb,best_primal_obj,columns_added_this_iter,pricing_calls_cum,min_reduced_cost_last,dual_norm
1,0.499570699990727,183310.84534594588,183310.84534594588,183310.84534594588,123,50,-3531.013578597446,0.0
2,0.690973800024949,183310.84534594588,183310.84534594588,183310.84534594588,120,100,-3531.013578597446,0.0
3,0.9142451999941841,183310.84534594588,183310.84534594588,183310.84534594588,110,150,-3531.013578597446,0.0
4,1.1586240000324324,183310.84534594588,183310.84534594588,183310.84534594588,113,200,-5634.787506253264,0.0
5,1.4546107000205666,183310.84534594588,183310.84534594588,183310.84534594588,109,250,-5634.787506253264,0.0
