iteration,wall_time,rmp_obj,rmp_lb,best_primal_obj,columns_added_this_iter,pricing_calls_cum,min_reduced_cost_last,dual_norm
1,0.3034304999746382,342895.5085011968,342895.5085011968,342895.5085011968,144,50,-5745.8288403210445,0.0
2,0.443431599996984,342895.5085011968,342895.5085011968,342895.5085011968,129,100,-5745.82884530967,0.0
3,0.5778050000080839,342895.5085011968,342895.5085011968,342895.5085011968,135,150,-5745.8288403210445,0.0
4,0.749872799962759,342895.5085011968,342895.5085011968,342895.5085011968,137,200,-5634.787506253264,0.0
5,0.9153145999880508,342895.5085011968,342895.5085011968,342895.5085011968,135,250,-8634.787492778993,0.0
