iteration,wall_time,rmp_obj,rmp_lb,best_primal_obj,columns_added_this_iter,pricing_calls_cum,min_reduced_cost_last,dual_norm
1,0.2840120000182651,221624.07009034225,221624.07009034225,221624.07009034225,144,50,-5393.502829484139,0.0
2,0.4032440999872051,221624.07009034225,221624.07009034225,221624.07009034225,137,100,-3678.978330628115,0.0
3,0.5366284000338055,221624.07009034225,221624.07009034225,221624.07009034225,140,150,-5393.502829484139,0.0
4,0.6942394000361674,221624.07009034225,221624.07009034225,221624.07009034225,138,200,-5278.06193773348,0.0
5,0.8713516999850981,221624.07009034225,221624.07009034225,221624.07009034225,138,250,-6143.502837733479,0.0
