iteration,wall_time,rmp_obj,rmp_lb,best_primal_obj,columns_added_this_iter,pricing_calls_cum,min_reduced_cost_last,dual_norm
1,0.29466899996623397,232489.7573885256,232489.7573885256,232489.7573885256,132,50,-5873.304578825585,0.0
2,0.40317349997349083,232489.7573885256,232489.7573885256,232489.7573885256,114,100,-5530.219508215201,0.0
3,0.5383321999688633,232489.7573885256,232489.7573885256,232489.7573885256,138,150,-5374.191226949273,0.0
4,0.7083113999688067,232489.7573885256,232489.7573885256,232489.7573885256,130,200,-5530.219508215201,0.0
5,0.8731711999862455,232489.7573885256,232489.7573885256,232489.7573885256,121,250,-5585.5680958992925,0.0
