iteration,wall_time,rmp_obj,rmp_lb,best_primal_obj,columns_added_this_iter,pricing_calls_cum,min_reduced_cost_last,dual_norm
1,0.39793889998691157,648802.7998826597,648802.7998826597,648802.7998826597,265,100,-3699.06092454114,0.0
2,0.5417900999891572,645768.7856046787,645768.7856046787,645768.7856046787,240,200,-7235.060918605514,0.0
3,0.7006001000409015,627370.4257719326,627370.4257719326,627370.4257719326,249,300,-10519.124182542895,0.0
4,0.8895650000195019,613704.5738362181,613704.5738362181,613704.5738362181,180,400,-3366.4147000000003,0.0
5,1.0912326000398025,597117.9634121569,597117.9634121569,597117.9634121569,165,500,-2474.7622928838955,0.0
