iteration,wall_time,rmp_obj,rmp_lb,best_primal_obj,columns_added_this_iter,pricing_calls_cum,min_reduced_cost_last,dual_norm
1,0.21362960000988096,276907.8742283572,276907.8742283572,276907.8742283572,111,50,-3503.2971040705083,0.0
2,0.32098419999238104,276907.8742283572,276907.8742283572,276907.8742283572,130,100,-6883.955401995088,0.0
3,0.44041709997691214,272368.39595765556,272368.39595765556,272368.39595765556,104,150,-5999.401264471595,0.0
4,0.5631450999644585,261807.55608038793,261807.55608038793,261807.55608038793,97,200,-4790.420386716055,0.0
5,0.6811374999815598,247724.1083986008,247724.1083986008,247724.1083986008,100,250,-2960.6281667160556,0.0
