iteration,wall_time,rmp_obj,rmp_lb,best_primal_obj,columns_added_this_iter,pricing_calls_cum,min_reduced_cost_last,dual_norm
1,0.570653900038451,331177.0566550869,331177.0566550869,331177.0566550869,140,50,-5838.828501356836,0.0
2,0.7086650999845006,331177.0566550869,331177.0566550869,331177.0566550869,138,100,-5838.828501356836,0.0
3,0.8851912000100128,331177.0566550869,331177.0566550869,331177.0566550869,127,150,-5150.353484128215,0.0
4,1.1132785000372678,331177.0566550869,331177.0566550869,331177.0566550869,129,200,-6508.968567621284,0.0
5,1.3563764999853447,331177.0566550869,331177.0566550869,331177.0566550869,131,250,-5979.413326326844,0.0
