iteration,wall_time,rmp_obj,rmp_lb,best_primal_obj,columns_added_this_iter,pricing_calls_cum,min_reduced_cost_last,dual_norm
1,1.133702799997991,2024969.9753777476,2024969.9753777476,2024969.9753777476,1500,500,-5996.498825444733,0.0
2,1.7882829000009224,1973018.247685947,1973018.247685947,1973018.247685947,1500,1000,-8013.583394026841,0.0
3,2.7291472000069916,1954485.1434787947,1954485.1434787947,1954485.1434787947,1500,1500,-5967.189336811199,0.0
4,3.872656799998367,1932042.5076628455,1932042.5076628455,1932042.5076628455,1500,2000,-5920.65785601147,0.0
5,5.206429300014861,1915469.86905915,1915469.86905915,1915469.86905915,1497,2500,-3933.151326237312,0.0
6,6.699778600013815,1906575.9814687448,1906575.9814687448,1906575.9814687448,1493,3000,-3552.3947180501664,0.0
7,8.330465500010177,1894773.9376521003,1894773.9376521003,1894773.9376521003,1484,3500,-3535.6064825041976,0.0
8,10.057804100011708,1879967.1382578644,1879967.1382578644,1879967.1382578644,1488,4000,-3508.049564841853,0.0
9,11.914138099993579,1867872.8461646026,1867872.8461646026,1867872.8461646026,1496,4500,-3500.8109648418535,0.0
10,13.88701979999314,1859976.2420456198,1859976.2420456198,1859976.2420456198,1486,5000,-3441.633312916911,0.0
11,15.92702420000569,1850733.1491353514,1850733.1491353514,1850733.1491353514,1476,5500,-3397.0448610334524,0.0
12,18.126405199989676,1840710.537221352,1840710.537221352,1840710.537221352,1477,6000,-3372.9842802127177,0.0
13,20.421031800011406,1825512.1760751181,1825512.1760751181,1825512.1760751181,1444,6500,-3332.3409180501667,0.0
14,23.060968200006755,1815511.4422649816,1815511.4422649816,1815511.4422649816,1280,7000,-3237.8927744122816,0.0
15,25.655750800011447,1807409.7388576702,1807409.7388576702,1807409.7388576702,1171,7500,-3221.649882504197,0.0
16,28.36691119999159,1800076.672037056,1800076.672037056,1800076.672037056,1230,8000,-3183.2424361701633,0.0
17,31.36497480000253,1793668.3783121044,1793668.3783121044,1793668.3783121044,1076,8500,-3147.797836754371,0.0
