iteration,wall_time,rmp_obj,rmp_lb,best_primal_obj,columns_added_this_iter,pricing_calls_cum,min_reduced_cost_last,dual_norm
1,0.33914729999378324,204385.5097238202,204385.5097238202,204385.5097238202,126,50,-5871.730751395919,0.0
2,0.4783346999902278,204385.5097238202,204385.5097238202,204385.5097238202,141,100,-3738.382834873236,0.0
3,0.6259379999828525,204385.5097238202,204385.5097238202,204385.5097238202,146,150,-3738.382834873236,0.0
4,0.8009558999910951,204385.5097238202,204385.5097238202,204385.5097238202,144,200,-4945.697497433375,0.0
5,0.9917858999688178,204385.5097238202,204385.5097238202,204385.5097238202,135,250,-5283.578836749608,0.0
