iteration,wall_time,rmp_obj,rmp_lb,best_primal_obj,columns_added_this_iter,pricing_calls_cum,min_reduced_cost_last,dual_norm
1,0.3269497000146657,790832.8746908188,790832.8746908188,790832.8746908188,600,200,-3594.0542852050144,0.0
2,0.5433302000164986,612029.1238245962,612029.1238245962,612029.1238245962,420,400,-3289.2629399999996,0.0
3,0.7843838999979198,603334.1908375794,603334.1908375794,603334.1908375794,337,600,-2026.6105324189757,0.0
4,1.0686636000173166,596931.9998351705,596931.9998351705,596931.9998351705,182,800,-1632.1616746758878,0.0
5,1.3709646000061184,592701.5281885989,592701.5281885989,592701.5281885989,182,1000,-1572.91599187638,0.0
6,1.6759640999953263,589149.2092803937,589149.2092803937,589149.2092803937,98,1200,-1413.5898746758876,0.0
7,1.990704600000754,586342.3367236278,586342.3367236278,586342.3367236278,75,1400,-1070.0143009249593,0.0
8,2.3213573999819346,585542.0626527439,585542.0626527439,585542.0626527439,24,1600,-307.1602229627488,0.0
9,2.6452058000140823,585542.0626527439,585542.0626527439,585542.0626527439,8,1800,-238.3897912081029,0.0
10,2.967438100022264,585542.0626527439,585542.0626527439,585542.0626527439,18,2000,-101.85937392495953,0.0
11,3.293246100016404,585542.0626527439,585542.0626527439,585542.0626527439,12,2200,-219.70367372504825,0.0
12,3.6242393999709748,585542.0626527439,585542.0626527439,585542.0626527439,9,2400,-7.571069886580517e-05,0.0
13,3.951870799995959,585542.0626527439,585542.0626527439,585542.0626527439,0,2600,0.0,0.0
