iteration,wall_time,rmp_obj,rmp_lb,best_primal_obj,columns_added_this_iter,pricing_calls_cum,min_reduced_cost_last,num_negative_columns_last,dual_norm
1,1.3315364000000045,2037069.7851319292,2037069.7851319292,2037069.7851319292,1500,500,-5999.116244957639,114521,0.0
2,2.113739699999769,1986514.0441169445,1986514.0441169445,1986514.0441169445,1499,1000,-7707.668269681876,105288,0.0
3,3.1921093000000837,1967558.2904389135,1967558.2904389135,1967558.2904389135,1500,1500,-5969.870887744121,88548,0.0
4,4.585412200000064,1952203.6988054905,1952203.6988054905,1952203.6988054905,1500,2000,-5916.207586000239,72324,0.0
5,6.3002041999998255,1938315.351232179,1938315.351232179,1938315.351232179,1500,2500,-5685.946082111243,67359,0.0
6,8.38476989999981,1923677.1347486428,1923677.1347486428,1923677.1347486428,1500,3000,-3812.304164631502,62298,0.0
7,10.72841470000003,1916055.7228126784,1916055.7228126784,1916055.7228126784,1500,3500,-3491.9560561082585,56181,0.0
8,13.30028510000011,1906442.6175790543,1906442.6175790543,1906442.6175790543,1500,4000,-3482.748174324501,56574,0.0
