iteration,wall_time,rmp_obj,rmp_lb,best_primal_obj,columns_added_this_iter,pricing_calls_cum,min_reduced_cost_last,num_negative_columns_last,dual_norm
1,0.6947943999998643,593180.9473364725,593180.9473364725,593180.9473364725,287,100,-5810.220417997588,15445,0.0
2,0.8863145000000259,593180.9473364725,593180.9473364725,593180.9473364725,288,200,-5810.220427864111,15015,0.0
3,1.1361947000000328,593180.9473364725,593180.9473364725,593180.9473364725,293,300,-6730.016891314083,13406,0.0
4,1.447198599999865,593180.9473364725,593180.9473364725,593180.9473364725,291,400,-10303.193227864112,9413,0.0
5,1.806735000000117,593180.9473364868,593180.9473364868,593180.9473364868,291,500,-8457.317860652913,8950,0.0
