iteration,wall_time,rmp_obj,rmp_lb,best_primal_obj,columns_added_this_iter,pricing_calls_cum,min_reduced_cost_last,num_negative_columns_last,dual_norm
1,0.10478999999986627,26648.065633569833,26648.065633569833,26648.065633569833,17,10,-2113.697148822871,804,0.0
2,0.1586741000000984,26648.065633569833,26648.065633569833,26648.065633569833,20,20,-2162.2833448212687,858,0.0
3,0.217716499999824,26648.065633569833,26648.065633569833,26648.065633569833,12,30,-2162.2833448212687,542,0.0
4,0.27894389999983105,26648.065633569833,26648.065633569833,26648.065633569833,18,40,-2113.697148822871,724,0.0
5,0.34518919999982245,26648.065633569833,26648.065633569833,26648.065633569833,12,50,-2162.2833448212687,692,0.0
