iteration,wall_time,rmp_lp_obj,lp_obj_final_pool_if_available,irmp_obj_checkpoint_if_solved,columns_added_this_iter,total_columns,pricing_calls_cum,min_reduced_cost_scanned_last,num_negative_columns_scanned_last,num_columns_added_last,min_reduced_cost_added_last,min_reduced_cost_last,num_negative_columns_last,pool_gap_pct_if_available,relative_improvement_last_5,pricing_converged,objective_stabilized
1,0.8621491000012611,583699.7237901286,,,279,479,100,-5610.736672591804,15033,279,-5610.736672591804,-5610.736672591804,15033,,,False,False
2,1.0517650000001595,583699.7237901286,,,281,760,200,-7321.034054578254,12537,281,-7321.034054578254,-7321.034054578254,12537,,,False,False
3,1.2918974999993225,583699.7237901286,,,291,1051,300,-5579.459339659571,11276,291,-5579.459339659571,-5579.459339659571,11276,,,False,False
4,1.5939939999989292,583699.7237901286,,,297,1348,400,-6343.865554578254,10136,297,-6343.865554578254,-6343.865554578254,10136,,,False,False
5,1.9453161000019463,582836.06414067,,,294,1642,500,-9139.515681930843,8762,294,-9139.515681930843,-9139.515681930843,8762,,,False,False
6,2.3638910000008764,582812.270050065,,,300,1942,600,-6506.288993942164,8646,300,-6506.288993942164,-6506.288993942164,8646,,0.0015203943121663637,False,False
7,2.815817300001072,582812.270050065,,,294,2236,700,-7541.890281930842,8196,294,-7541.890281930842,-7541.890281930842,8196,,0.0015203943121663637,False,False
8,3.311302900001465,582812.270050065,582550.7040513592,582550.7040513592,294,2530,800,-9976.202310865578,8005,294,-9976.202310865578,-9976.202310865578,8005,0.0,0.0015203943121663637,False,False
