iteration,wall_time,rmp_lp_obj,lp_obj_final_pool_if_available,irmp_obj_checkpoint_if_solved,columns_added_this_iter,total_columns,pricing_calls_cum,min_reduced_cost_scanned_last,num_negative_columns_scanned_last,num_columns_added_last,min_reduced_cost_added_last,min_reduced_cost_last,num_negative_columns_last,pool_gap_pct_if_available,relative_improvement_last_5,pricing_converged,objective_stabilized
1,1.1695231000012427,593247.7929662318,,,973,1353,200,-5991.519669294155,31090,973,-5991.519669294155,-5991.519669294155,31090,,,False,False
2,1.5923608999983117,592639.3327602706,,,988,2341,400,-5355.668111355844,22153,988,-5355.668111355844,-5355.668111355844,22153,,,False,False
3,2.214038599999185,588508.2853377222,,,981,3322,600,-3749.7623266286223,14973,981,-3749.7623266286223,-3749.7623266286223,14973,,,False,False
4,2.9726741000013135,570269.5959429097,,,988,4310,800,-2736.9013457441774,12698,988,-2736.9013457441774,-2736.9013457441774,12698,,,False,False
5,3.880735899998399,560026.9018512386,,,937,5247,1000,-2120.6380875364885,10503,937,-2120.6380875364885,-2120.6380875364885,10503,,,False,False
6,4.937054699999862,549419.0140865021,,,914,6161,1200,-1949.0096556625185,7610,914,-1949.0096556625185,-1949.0096556625185,7610,,0.07387937957693246,False,False
7,6.154641699999047,544280.2210998465,,,902,7063,1400,-1899.6556569828783,6512,902,-1899.6556569828783,-1899.6556569828783,6512,,0.08159956484019912,False,False
8,7.525966199998948,542303.813482645,,,674,7737,1600,-1253.8235812009993,7764,674,-1253.8235812009993,-1253.8235812009993,7764,,0.0785111662932022,False,False
9,9.143981299999723,541527.0658635619,,,539,8276,1800,-731.25284148222,5604,539,-731.25284148222,-731.25284148222,5604,,0.050401652628566974,False,False
10,10.826934400000027,541453.8686395448,,,465,8741,2000,-658.7238643165228,4853,465,-658.7238643165228,-658.7238643165228,4853,,0.033164537543282795,False,False
11,12.588718499999231,541426.4350450952,,,565,9306,2200,-409.861242746636,9049,565,-313.5773998524613,-409.861242746636,9049,,0.014547328790023642,False,False
12,14.47270170000047,541363.9414987289,,,238,9544,2400,-409.861242746636,9609,238,-316.334044916523,-409.861242746636,9609,,0.005358048093727466,False,False
13,16.449946400000044,541363.571951509,,,127,9671,2600,-409.861242746636,3975,127,-175.91006931652328,-409.861242746636,3975,,0.0017337911107388332,False,False
14,18.532953000001726,541363.5719512919,,,195,9866,2800,-409.861242746636,4228,195,-142.68672653505382,-409.861242746636,4228,,0.0003019127252842653,False,False
15,20.539673100000073,541363.5719475256,,,30,9896,3000,-390.4937580347455,3809,30,-144.60400239206274,-390.4937580347455,3809,,0.00016676710103871126,False,False
16,22.494729400001233,541363.5719545177,,,28,9924,3200,-401.9501584642712,1826,28,-166.66669931652314,-401.9501584642712,1826,,0.00011610643017861342,False,False
17,24.466904100001557,541363.5719543587,,,171,10095,3400,-409.861242746636,4181,171,-100.89334234972011,-409.861242746636,4181,,6.826172596447027e-07,False,False
18,26.486521800001356,541363.5719355006,,,81,10176,3600,-409.861242746636,4033,81,-199.99995185246118,-409.861242746636,4033,,2.957049227016984e-11,False,False
19,28.495578800000658,541363.5719526521,,,24,10200,3800,-409.861242746636,1441,24,-208.4042494822197,-409.861242746636,1441,,0.0,False,False
20,30.56895340000119,541363.5719224479,541363.5719696032,541406.4686264871,4,10204,4000,-372.1629535613083,1094,4,-9.452361200999349,-372.1629535613083,1094,0.007923188836791425,4.6323255324430615e-11,False,True
