iteration,wall_time,rmp_lp_obj,lp_obj_final_pool_if_available,irmp_obj_checkpoint_if_solved,columns_added_this_iter,total_columns,pricing_calls_cum,min_reduced_cost_scanned_last,num_negative_columns_scanned_last,num_columns_added_last,min_reduced_cost_added_last,min_reduced_cost_last,num_negative_columns_last,pool_gap_pct_if_available,relative_improvement_last_5,pricing_converged,objective_stabilized
1,0.7494078000017907,595844.0402638533,,,270,470,100,-5991.519669294155,13995,270,-5991.519669294155,-5991.519669294155,13995,,,False,False
2,0.9351568999991287,595844.0402638533,,,273,743,200,-5777.99042245621,12842,273,-5777.99042245621,-5777.99042245621,12842,,,False,False
3,1.183791300001758,595844.0402638544,,,285,1028,300,-8381.018597145923,12052,285,-8381.018597145923,-8381.018597145923,12052,,,False,False
4,1.48247579999952,595844.0402638533,,,273,1301,400,-5991.519701414332,9962,273,-5991.519701414332,-5991.519701414332,9962,,,False,False
5,1.8346768000010343,595844.0402638533,,,273,1574,500,-7380.326728355843,10024,273,-7380.326728355843,-7380.326728355843,10024,,,False,False
6,2.248687200000859,595844.0402638533,595844.0402638533,595844.0402638533,280,1854,600,-9233.139799890401,8265,280,-9233.139799890401,-9233.139799890401,8265,0.0,0.0,False,True
