iteration,wall_time,rmp_lp_obj,lp_obj_final_pool_if_available,irmp_obj_checkpoint_if_solved,columns_added_this_iter,total_columns,pricing_calls_cum,min_reduced_cost_scanned_last,num_negative_columns_scanned_last,num_columns_added_last,min_reduced_cost_added_last,min_reduced_cost_last,num_negative_columns_last,pool_gap_pct_if_available,relative_improvement_last_5,pricing_converged,objective_stabilized
1,0.8791207000031136,598456.246711592,,,285,485,100,-5822.800757254379,15351,285,-5822.800757254379,-5822.800757254379,15351,,,False,False
2,1.0825469000010344,598456.246711592,,,285,770,200,-6000.000017091827,14265,285,-6000.000017091827,-6000.000017091827,14265,,,False,False
3,1.339668000000529,598456.2467115873,,,284,1054,300,-5822.800757254379,12074,284,-5822.800757254379,-5822.800757254379,12074,,,False,False
4,1.6508417000004556,598456.2467115959,,,291,1345,400,-8353.216570610546,11378,291,-8353.216570610546,-8353.216570610546,11378,,,False,False
5,2.024715900002775,598456.246711592,,,294,1639,500,-5717.270211174922,11348,294,-5717.270211174922,-5717.270211174922,11348,,,False,False
6,2.4722653000026185,598456.246711592,598456.246711592,598456.246711592,291,1930,600,-5822.800757254379,11175,291,-5822.800757254379,-5822.800757254379,11175,0.0,0.0,False,True
