iteration,wall_time,rmp_lp_obj,lp_obj_final_pool_if_available,irmp_obj_checkpoint_if_solved,columns_added_this_iter,total_columns,pricing_calls_cum,min_reduced_cost_scanned_last,num_negative_columns_scanned_last,num_columns_added_last,min_reduced_cost_added_last,min_reduced_cost_last,num_negative_columns_last,pool_gap_pct_if_available,relative_improvement_last_5,pricing_converged,objective_stabilized
1,0.2557016000027943,512885.7395939444,,,375,500,125,-3648.1708324873543,4494,375,-3648.1708324873543,-3648.1708324873543,4494,,,False,False
2,0.4168662000010954,361998.30591685674,,,259,759,250,-3045.1554239625007,1384,259,-3045.1554239625007,-3045.1554239625007,1384,,,False,False
3,0.6041189000025042,343289.2659324355,,,161,920,375,-2135.1615762870233,854,161,-2135.1615762870233,-2135.1615762870233,854,,,False,False
4,0.8144293000004836,338783.8889213323,,,171,1091,500,-1797.6465015551953,661,171,-1797.6465015551953,-1797.6465015551953,661,,,False,False
5,1.0385363000023062,334182.958350483,,,114,1205,625,-1867.8384915446816,785,114,-1867.8384915446816,-1867.8384915446816,785,,,False,False
6,1.278914700000314,333848.51038804126,,,118,1323,750,-1498.2453787138259,729,118,-1498.2453787138259,-1498.2453787138259,729,,0.34907819692481273,False,False
7,1.532145799999853,330830.0496550583,,,51,1374,875,-1368.6068283412783,487,51,-1368.6068283412783,-1368.6068283412783,487,,0.08610055835166565,False,False
8,1.7913040000021283,329343.37598333973,,,31,1405,1000,-480.196869774245,493,31,-337.0607509148492,-480.196869774245,493,,0.040624311136604384,False,False
9,2.055632500003412,329343.37598333973,,,15,1420,1125,-542.2847714553682,476,15,-431.819488914849,-542.2847714553682,476,,0.027865885145986747,False,False
10,2.322113199999876,329343.37598333973,,,13,1433,1250,-417.2467450458271,309,13,-199.99995972599436,-417.2467450458271,309,,0.014481834714227431,False,False
11,2.586255100002745,329343.37598333973,,,9,1442,1375,-417.2467450458271,464,9,-99.72182967285062,-417.2467450458271,464,,0.013494546971214844,False,False
12,2.8495911999998498,329343.37598333973,,,1,1443,1500,-492.3018714553682,329,1,-147.400245009228,-492.3018714553682,329,,0.004493768547532664,False,False
13,3.1173384000030637,329343.37598333973,329343.37598333973,329344.33561287785,2,1445,1625,-492.3018714553682,209,2,-27.609981456511377,-492.3018714553682,209,0.0002913757530804327,0.0,False,True
