iteration,wall_time,rmp_lp_obj,lp_obj_final_pool_if_available,irmp_obj_checkpoint_if_solved,columns_added_this_iter,total_columns,pricing_calls_cum,min_reduced_cost_scanned_last,num_negative_columns_scanned_last,num_columns_added_last,min_reduced_cost_added_last,min_reduced_cost_last,num_negative_columns_last,pool_gap_pct_if_available,relative_improvement_last_5,pricing_converged,objective_stabilized
1,0.7615736999978253,617398.8129587147,,,276,476,100,-5886.079163103072,15450,276,-5886.079163103072,-5886.079163103072,15450,,,False,False
2,0.9791144999981043,617398.8129587147,,,279,755,200,-7009.850409785492,13884,279,-7009.850409785492,-7009.850409785492,13884,,,False,False
3,1.2442915999999968,617398.8129587147,,,290,1045,300,-5654.226084128524,13023,290,-5654.226084128524,-5654.226084128524,13023,,,False,False
4,1.563652099997853,617398.8129587146,,,287,1332,400,-6125.973576468196,10672,287,-6125.973576468196,-6125.973576468196,10672,,,False,False
5,1.9427004999997735,617398.8129587147,,,294,1626,500,-8904.79263510341,11206,294,-8904.79263510341,-8904.79263510341,11206,,,False,False
6,2.398114399999031,617398.8129587147,617398.8129587147,617398.8129587147,281,1907,600,-7191.7918841285245,9203,281,-7191.7918841285245,-7191.7918841285245,9203,0.0,0.0,False,True
