iteration,wall_time,rmp_lp_obj,lp_obj_final_pool_if_available,irmp_obj_checkpoint_if_solved,columns_added_this_iter,total_columns,pricing_calls_cum,min_reduced_cost_scanned_last,num_negative_columns_scanned_last,num_columns_added_last,min_reduced_cost_added_last,min_reduced_cost_last,num_negative_columns_last,pool_gap_pct_if_available,relative_improvement_last_5,pricing_converged,objective_stabilized
1,0.7806018000010226,570558.2392489755,,,281,481,100,-5708.453418097763,18830,281,-5708.453418097763,-5708.453418097763,18830,,,False,False
2,0.9826723000005586,570558.2392489754,,,273,754,200,-5935.879249849158,17316,273,-5935.879249849158,-5935.879249849158,17316,,,False,False
3,1.2370938000021852,570558.2392489755,,,270,1024,300,-5935.879297088405,17031,270,-5935.879297088405,-5935.879297088405,17031,,,False,False
4,1.544979800000874,570558.2392489755,,,282,1306,400,-5999.9999970884055,16033,282,-5999.9999970884055,-5999.9999970884055,16033,,,False,False
5,1.9148473000022932,570558.2392489755,,,280,1586,500,-5660.129415118454,13101,280,-5660.129415118454,-5660.129415118454,13101,,,False,False
6,2.3387400999999954,570558.2392489755,570558.2392489755,570558.2392489755,280,1866,600,-9030.156230695164,12326,280,-9030.156230695164,-9030.156230695164,12326,0.0,0.0,False,True
