iteration,wall_time,rmp_lp_obj,lp_obj_final_pool_if_available,irmp_obj_checkpoint_if_solved,columns_added_this_iter,total_columns,pricing_calls_cum,min_reduced_cost_scanned_last,num_negative_columns_scanned_last,num_columns_added_last,min_reduced_cost_added_last,min_reduced_cost_last,num_negative_columns_last,pool_gap_pct_if_available,relative_improvement_last_5,pricing_converged,objective_stabilized
1,0.30233319999751984,606401.4370122483,,,450,600,150,-3593.486123840403,5176,450,-3593.486123840403,-3593.486123840403,5176,,,False,False
2,0.4884657000002335,433174.3110850562,,,342,942,300,-3240.5208294331924,1721,342,-3240.5208294331924,-3240.5208294331924,1721,,,False,False
3,0.7073324999983015,419663.62301649526,,,230,1172,450,-2050.0917891476324,1118,230,-2050.0917891476324,-2050.0917891476324,1118,,,False,False
4,0.9453054999976302,414280.324257739,,,237,1409,600,-1701.2397687293935,1156,237,-1701.2397687293935,-1701.2397687293935,1156,,,False,False
5,1.2062902999969083,409914.59141545824,,,107,1516,750,-1594.1214687293939,688,107,-1594.1214687293939,-1594.1214687293939,688,,,False,False
6,1.4820784999974421,406318.09629269585,,,52,1568,900,-1471.1847973984168,319,52,-1471.1847973984168,-1471.1847973984168,319,,0.32995195675222505,False,False
7,1.7657158999973035,403712.940630384,,,72,1640,1050,-696.2619146946422,1038,72,-696.2619146946422,-696.2619146946422,1038,,0.06801273690693836,False,False
8,2.0570296999976563,402134.0652293037,,,15,1655,1200,-504.74326900000005,515,15,-504.74326900000005,-504.74326900000005,515,,0.041770496239800406,False,False
9,2.3554460999985167,402134.0652293036,,,11,1666,1350,-422.6177496919436,273,11,-226.36544479999975,-422.6177496919436,273,,0.029318937727003322,False,False
10,2.649621799999295,402134.06522930355,,,11,1677,1500,-376.51968746031207,208,11,-54.84106604191675,-376.51968746031207,208,,0.018980847105949786,False,False
11,2.947292099997867,402134.0652293037,,,19,1696,1650,-422.6177496919436,843,19,-200.00001643844644,-422.6177496919436,843,,0.010297427315120377,False,False
12,3.2470842999973684,402134.0652293037,,,10,1706,1800,-422.6177496919436,411,10,-223.07770043844675,-422.6177496919436,411,,0.003910886281264442,False,False
13,3.550473699997383,402134.0652293037,402134.0652293038,402288.8512916453,5,1711,1950,-422.6177496919436,309,5,-161.00793043844692,-422.6177496919436,309,0.03847634898271596,0.0,False,False
