iteration,wall_time,rmp_lp_obj,lp_obj_final_pool_if_available,irmp_obj_checkpoint_if_solved,columns_added_this_iter,total_columns,pricing_calls_cum,min_reduced_cost_scanned_last,num_negative_columns_scanned_last,num_columns_added_last,min_reduced_cost_added_last,min_reduced_cost_last,num_negative_columns_last,pool_gap_pct_if_available,relative_improvement_last_5,pricing_converged,objective_stabilized
1,0.564342999998189,397700.4649584394,,,429,661,150,-5961.201671154054,26092,429,-5961.201671154054,-5961.201671154054,26092,,,False,False
2,0.8294456000003265,361938.3089784416,,,397,1058,300,-4993.983660287459,19684,397,-4993.983660287459,-4993.983660287459,19684,,,False,False
3,1.1761141999995743,357443.37086907204,,,412,1470,450,-5540.423505272389,15769,412,-5540.423505272389,-5540.423505272389,15769,,,False,False
4,1.6162533999995503,355450.3886760509,,,420,1890,600,-3223.276173796415,14388,420,-3223.276173796415,-3223.276173796415,14388,,,False,False
5,2.1276631000000634,353253.01762977603,,,407,2297,750,-3166.297383009288,11936,407,-3166.297383009288,-3166.297383009288,11936,,,False,False
6,2.7213693000012427,352503.2655751341,,,390,2687,900,-3329.25145741044,11189,390,-3329.25145741044,-3329.25145741044,11189,,0.1136463327696349,False,False
7,3.349278300000151,352089.4010150448,,,409,3096,1050,-2240.9892920092884,10126,409,-2240.9892920092884,-2240.9892920092884,10126,,0.027211565394099923,False,False
8,4.067827999999281,351905.98852694716,,,410,3506,1200,-2859.5177578156913,10316,410,-2859.5177578156913,-2859.5177578156913,10316,,0.015491635300611492,False,False
9,4.813694899999973,351867.00645670097,,,403,3909,1350,-3300.7566606529135,9249,403,-3300.7566606529135,-3300.7566606529135,9249,,0.010081244341009056,False,False
10,5.602849999999307,351374.32701645524,,,409,4318,1500,-2134.789654951909,9267,409,-2134.789654951909,-2134.789654951909,9267,,0.005318257791331148,False,False
11,6.438708400000905,350760.93572505517,,,399,4717,1650,-1800.0000482668386,8970,399,-1800.0000482668386,-1800.0000482668386,8970,,0.004942733926836607,False,False
12,7.300128800001403,349588.8205083051,,,371,5088,1800,-1929.0040156713505,8088,371,-1929.0040156713505,-1929.0040156713505,8088,,0.00710211809708189,False,False
13,8.200964899999235,349261.28007222916,,,408,5496,1950,-1876.907599206046,7309,408,-1876.907599206046,-1876.907599206046,7309,,0.007515383485767194,False,False
14,9.171117800000502,348663.01730467676,,,397,5893,2100,-2702.803355746133,6675,397,-2702.803355746133,-2702.803355746133,6675,,0.009105682241391041,False,False
15,10.18710210000063,348440.09334823274,,,399,6292,2250,-1778.9549738311302,6735,399,-1778.9549738311302,-1778.9549738311302,6735,,0.008350734366785672,False,False
16,11.238004200000432,348290.897778744,,,383,6675,2400,-1778.9549738311302,6842,383,-1778.9549738311302,-1778.9549738311302,6842,,0.0070419413758415796,False,False
17,12.33192659999986,348228.42990163167,,,351,7026,2550,-1822.139753951326,5788,351,-1822.139753951326,-1822.139753951326,5788,,0.0038914019181031444,False,False
18,13.472737100000813,348207.7284553749,,,308,7334,2700,-1756.1657134337233,3894,308,-1756.1657134337233,-1756.1657134337233,3894,,0.003016514217196899,False,False
19,14.653455600000598,348207.7284590112,,,294,7628,2850,-1756.1657134337233,5794,294,-1756.1657134337233,-1756.1657134337233,5794,,0.00130581341601747,False,False
20,15.885428099998535,348207.15457619977,,,235,7863,3000,-1755.591814587126,3418,235,-1755.591814587126,-1755.591814587126,3418,,0.0006685188544022359,False,False
21,17.13748299999861,348204.9739159534,,,248,8111,3150,-1754.9697978167,4253,248,-1754.9697978167,-1754.9697978167,4253,,0.0002467014307251768,False,False
22,18.472139099998458,348148.8269060113,,,238,8349,3300,-1697.264144531317,4573,238,-1697.264144531317,-1697.264144531317,4573,,0.00022859418928784304,False,False
23,19.901505499998166,348142.9751346089,,,214,8563,3450,-1697.264144531317,3461,214,-1697.264144531317,-1697.264144531317,3461,,0.00018596175637230626,False,False
24,21.30267019999883,348097.53469258535,,,229,8792,3600,-1706.310064159485,5293,229,-1691.3146161211969,-1706.310064159485,5293,,0.0003164598526100798,False,False
25,22.73954589999994,348097.53473091824,,,165,8957,3750,-1688.8063228328501,2675,165,-1688.8063228328501,-1688.8063228328501,2675,,0.00031481215661679086,False,False
26,24.191473099999712,348077.9649675725,,,159,9116,3900,-1676.7390228328504,2656,159,-1676.7390228328504,-1676.7390228328504,2656,,0.0003647534007127616,False,False
27,25.67874060000031,348073.02806889813,,,155,9271,4050,-1460.2731228328503,2539,155,-1460.2731228328503,-1460.2731228328503,2539,,0.00021771963957717815,False,False
28,27.17603660000168,348002.3031372113,,,147,9418,4200,-1460.2731228328503,2356,147,-1460.2731228328503,-1460.2731228328503,2356,,0.0004040638687114786,False,False
29,28.748221300000296,347998.87956501043,,,115,9533,4350,-1460.2731228328503,996,115,-1460.2731228328503,-1460.2731228328503,996,,0.0002834123133392703,False,False
30,30.32027240000025,347992.00696949585,,,98,9631,4500,-1460.2731228328503,2324,98,-1460.2731228328503,-1460.2731228328503,2324,,0.0003031557276151421,False,False
31,31.923074400001497,347231.379085629,,,127,9758,4650,-525.4203327693003,5568,127,-525.4203327693003,-525.4203327693003,5568,,0.002432173154144746,False,False
32,33.49580599999899,347221.66974193,,,115,9873,4800,-441.77161267135034,4574,115,-441.77161267135034,-441.77161267135034,4574,,0.0024459186961180907,False,False
33,35.15005730000121,347221.66974193003,,,106,9979,4950,-307.6476969511418,3681,106,-178.25535476929986,-307.6476969511418,3681,,0.0022431845658604185,False,False
34,36.81877309999982,347221.6697419299,,,120,10099,5100,-625.6009467693,4112,120,-625.6009467693,-625.6009467693,4112,,0.0022333687512212834,False,False
35,38.5257692999985,347221.66974192986,,,56,10155,5250,-340.0117293051844,3903,56,-25.98807661379351,-340.0117293051844,3903,,0.0022136635673747503,False,False
