iteration,wall_time,rmp_lp_obj,lp_obj_final_pool_if_available,irmp_obj_checkpoint_if_solved,columns_added_this_iter,total_columns,pricing_calls_cum,min_reduced_cost_scanned_last,num_negative_columns_scanned_last,num_columns_added_last,min_reduced_cost_added_last,min_reduced_cost_last,num_negative_columns_last,pool_gap_pct_if_available,relative_improvement_last_5,pricing_converged,objective_stabilized
1,1.0845845000003465,587271.8276261532,,,984,1373,200,-5902.586584968583,30925,984,-5902.586584968583,-5902.586584968583,30925,,,False,False
2,1.508624599999166,585853.0738909307,,,980,2353,400,-5047.327353992762,18139,980,-5047.327353992762,-5047.327353992762,18139,,,False,False
3,2.096763199999259,566760.1084136083,,,995,3348,600,-3090.958101497922,14746,995,-3090.958101497922,-3090.958101497922,14746,,,False,False
4,2.8302436000012676,559441.0527921778,,,993,4341,800,-3045.0218287716243,12672,993,-3045.0218287716243,-3045.0218287716243,12672,,,False,False
5,3.7677653999999166,552345.3197268937,,,972,5313,1000,-2316.08995661095,11145,972,-2316.08995661095,-2316.08995661095,11145,,,False,False
6,4.779800399999658,545638.3009481176,,,940,6253,1200,-2058.6311473394176,9511,940,-2058.6311473394176,-2058.6311473394176,9511,,0.0708931106849191,False,False
7,5.930083899998863,538631.8750778621,,,896,7149,1400,-1898.3550862829366,7086,896,-1898.3550862829366,-1898.3550862829366,7086,,0.08060245975915104,False,False
8,7.21399670000028,527614.3447166738,,,812,7961,1600,-1400.0000254483748,6380,812,-1400.0000254483748,-1400.0000254483748,6380,,0.06906937011940646,False,False
9,8.66187980000177,526066.8857559614,,,657,8618,1800,-648.8872806483749,4773,657,-648.8872806483749,-648.8872806483749,4773,,0.05965627096839862,False,False
10,10.236679000001459,525744.504146125,,,463,9081,2000,-999.5068190278644,3761,463,-999.5068190278644,-999.5068190278644,3761,,0.04815975555639968,False,False
11,11.973307399999612,525738.6675459673,,,403,9484,2200,-429.79933592035104,5475,403,-384.13734733941783,-429.79933592035104,5475,,0.036470374912413867,False,False
12,13.738650499999494,525406.7275348101,,,289,9773,2400,-429.79933592035104,5176,289,-191.27083923908413,-429.79933592035104,5176,,0.024553221142250843,False,False
13,15.558805399999983,525406.7275547452,,,268,10041,2600,-429.79933592035104,5753,268,-234.29591551302565,-429.79933592035104,5753,,0.004184149244680136,False,False
14,17.376488099998824,525406.7275817017,,,104,10145,2800,-388.26453999844944,5157,104,-167.21740761264437,-388.26453999844944,5157,,0.0012548939918752976,False,False
15,19.23384950000036,525405.3651345754,,,171,10316,3000,-388.26453999844944,5867,171,-369.2437147462306,-388.26453999844944,5867,,0.0006450643019092539,False,False
16,21.201071600000432,525404.9182981708,,,308,10624,3200,-388.26453999844944,6370,308,-114.5330792718969,-388.26453999844944,6370,,0.0006348196706823041,False,False
17,23.200903100001597,525404.918271415,,,98,10722,3400,-388.26453999844944,6317,98,-106.95115854436699,-388.26453999844944,6317,,3.4435482079152667e-06,False,False
18,25.210291600000346,525404.9182266479,,,160,10882,3600,-514.533095845869,6216,160,-514.533095845869,-514.533095845869,6216,,3.443671354740092e-06,False,False
19,27.20408110000062,525404.9182189861,,,153,11035,3800,-388.26453999844944,5623,153,-172.88760267135058,-388.26453999844944,5623,,3.44373724315223e-06,False,False
20,29.31721000000107,525404.9182577496,525404.9182482536,525417.6739598438,102,11137,4000,-429.79933592035104,6185,102,-309.3043432718973,-429.79933592035104,6185,0.002427727924346071,8.505372335707191e-07,False,True
