iteration,wall_time,rmp_lp_obj,lp_obj_final_pool_if_available,irmp_obj_checkpoint_if_solved,columns_added_this_iter,total_columns,pricing_calls_cum,min_reduced_cost_scanned_last,num_negative_columns_scanned_last,num_columns_added_last,min_reduced_cost_added_last,min_reduced_cost_last,num_negative_columns_last,pool_gap_pct_if_available,relative_improvement_last_5,pricing_converged,objective_stabilized
1,1.6762864000011177,1882816.3540003756,,,2427,3062,500,-3619.9906689232953,16682,2427,-3619.9906689232953,-3619.9906689232953,16682,,,False,False
2,2.3604498999993666,1785345.4854272138,,,1248,4310,1000,-3569.602523632358,2615,1248,-3569.602523632358,-3569.602523632358,2615,,,False,False
3,3.1723291000016616,1764742.0913239277,,,300,4610,1500,-1826.7815326814052,1203,300,-1397.5590828126374,-1826.7815326814052,1203,,,False,False
4,4.026712200000475,1763364.8901986026,,,158,4768,2000,-1697.722443773469,1359,158,-599.9999601529465,-1697.722443773469,1359,,,False,False
5,4.916750100001082,1762550.9049250046,,,101,4869,2500,-1638.7418176196943,1829,101,-400.00003343437993,-1638.7418176196943,1829,,,False,False
6,5.805940199999895,1762550.9049250046,,,79,4948,3000,-1669.879729545759,945,79,-404.2258060180279,-1669.879729545759,945,,0.06387529448628691,False,False
7,6.708929399999761,1762535.109717633,,,22,4970,3500,-1669.879729545759,1804,22,-372.375399,-1669.879729545759,1804,,0.012776449093897614,False,False
8,7.631932100000995,1762535.109717633,,,21,4991,4000,-1669.879729545759,1781,21,-117.5541051529467,-1669.879729545759,1781,,0.0012505972499578866,False,False
9,8.562973299998703,1762535.109717633,,,13,5004,4500,-1669.879729545759,1996,13,-58.1897906145241,-1669.879729545759,1996,,0.0004705665206229714,False,False
10,9.478180599999178,1762535.109717633,,,20,5024,5000,-1671.9351295457582,2129,20,-209.2894389232947,-1671.9351295457582,2129,,8.961560955393604e-06,False,False
11,10.40256969999973,1762535.109717633,,,19,5043,5500,-1671.9351295457582,2001,19,-83.36642692004261,-1671.9351295457582,2001,,8.961560955393604e-06,False,False
12,11.326325500001985,1762535.109717633,,,3,5046,6000,-1669.879729545759,1472,3,-2.4578792817919748e-05,-1669.879729545759,1472,,0.0,False,False
13,12.25555710000117,1762535.109717633,,,5,5051,6500,-1669.879729545759,1157,5,-20.109579625892366,-1669.879729545759,1157,,0.0,False,False
14,13.170892000001913,1762535.109717633,,,2,5053,7000,-1669.879729545759,1186,2,-33.19316517456082,-1669.879729545759,1186,,0.0,False,False
15,14.091594599998643,1762535.109717633,1762535.109717633,1762535.109717633,0,5053,7500,-1669.879729545759,1427,0,0.0,-1669.879729545759,1427,0.0,0.0,False,False
