iteration,wall_time,rmp_lp_obj,lp_obj_final_pool_if_available,irmp_obj_checkpoint_if_solved,columns_added_this_iter,total_columns,pricing_calls_cum,min_reduced_cost_scanned_last,num_negative_columns_scanned_last,num_columns_added_last,min_reduced_cost_added_last,min_reduced_cost_last,num_negative_columns_last,pool_gap_pct_if_available,relative_improvement_last_5,pricing_converged,objective_stabilized
1,0.6950039999974251,649538.9648927738,,,940,1240,200,-3661.0910797040747,6454,940,-3661.0910797040747,-3661.0910797040747,6454,,,False,False
2,0.9895021999982418,597177.9522948321,,,492,1732,400,-2268.509165209303,1371,492,-2268.509165209303,-2268.509165209303,1371,,,False,False
3,1.342687999996997,588763.6389289408,,,208,1940,600,-921.0358190018869,951,208,-921.0358190018869,-921.0358190018869,951,,,False,False
4,1.721351099997264,585844.3359644786,,,87,2027,800,-776.8018194197971,915,87,-338.05390166675215,-776.8018194197971,915,,,False,False
5,2.1111764999986917,585781.0029386684,,,22,2049,1000,-776.8018194197971,703,22,-401.268958894301,-776.8018194197971,703,,,False,False
6,2.500037899997551,585781.0029386684,,,52,2101,1200,-776.8018194197971,694,52,-226.85395554723618,-776.8018194197971,694,,0.09815879477627737,False,False
7,2.8954250999995566,585781.0029386684,,,18,2119,1400,-794.5773499829561,597,18,-37.43365153920877,-794.5773499829561,597,,0.019084678716566147,False,False
8,3.2971316000002844,585781.0029386684,,,5,2124,1600,-777.1738194197974,656,5,-165.05260958544477,-777.1738194197974,656,,0.005065931034223351,False,False
9,3.701343699998688,585781.0029386684,,,2,2126,1800,-794.5773499829561,877,2,-45.18280174754773,-794.5773499829561,877,,0.00010810555282731692,False,False
10,4.09972999999809,585781.0029386684,,,46,2172,2000,-794.5773499829561,744,46,-200.46157137370233,-794.5773499829561,744,,0.0,False,False
11,4.506535699998494,585781.0029386684,,,3,2175,2200,-782.4069194197973,734,3,-149.99999884730278,-782.4069194197973,734,,0.0,False,False
12,4.907369099997595,585781.0029386684,,,1,2176,2400,-782.4069194197973,400,1,-60.504665999999816,-782.4069194197973,400,,0.0,False,False
13,5.307002800000191,585781.0029386684,585781.0029386684,585781.0029386684,0,2176,2600,-782.4069194197973,889,0,0.0,-782.4069194197973,889,0.0,0.0,False,False
