iteration,wall_time,rmp_lp_obj,lp_obj_final_pool_if_available,irmp_obj_checkpoint_if_solved,columns_added_this_iter,total_columns,pricing_calls_cum,min_reduced_cost_last,num_negative_columns_last,pool_gap_pct_if_available,relative_improvement_last_5,pricing_converged,objective_stabilized
1,1.2178647000000637,555913.949802914,,,958,1370,200,-5802.05717131124,36166,,,False,False
2,1.6484032999996998,554922.7637874169,,,969,2339,400,-7931.019891314083,20499,,,False,False
3,2.2680559000000358,550810.1366593349,,,970,3309,600,-4828.342248771624,20567,,,False,False
4,3.0389766999996937,544795.048405365,,,973,4282,800,-3314.1210892238464,18393,,,False,False
5,3.9417420999998285,536362.4544664795,,,952,5234,1000,-2897.005397594471,16171,,,False,False
6,4.965167199999996,527167.04473035,,,968,6202,1200,-2163.506797594471,13182,,0.05171106982070796,False,False
7,6.173703599999499,520527.212780405,,,973,7175,1400,-2106.909336335157,12333,,0.061982591545277285,False,False
8,7.528122400000939,513704.3664913824,,,946,8121,1600,-2344.33963319566,9641,,0.06736580846714091,False,False
9,9.065796400000181,509796.87355372624,,,959,9080,1800,-1914.8773632718974,9742,,0.06424099292767008,False,False
10,10.835877800000162,503678.8123284043,,,853,9933,2000,-1499.9999676715395,7191,,0.06093573826040018,False,False
11,12.680790700000216,501833.6132465413,,,629,10562,2200,-796.2729477443665,8380,,0.0480557950976753,False,False
12,14.728837599999679,501378.91689129395,,,564,11126,2400,-670.9648714483751,7900,,0.03678634933768421,False,False
13,16.937960700000986,501270.93207642774,,,410,11536,2600,-376.74359974623076,9184,,0.024203482053063795,False,False
14,19.23982590000014,501213.54076598963,,,306,11842,2800,-286.2945844483752,8844,,0.016836770158873943,False,False
15,21.76637760000085,501213.54077657463,,,340,12182,3000,-191.41397927189746,9585,,0.0048945309818239115,False,False
16,24.187868799999706,501213.5407939155,,,184,12366,3200,-167.85994051751322,10324,,0.001235613630211641,False,False
17,26.638930200000686,501213.5407529124,,,163,12529,3400,-162.14674201751313,9593,,0.00032984262562719497,False,False
18,29.132579900000565,501213.54082065163,,,260,12789,3600,-200.00004774623062,8833,,0.00011449148973864002,False,False
19,31.681526000000304,501213.54073340114,,,202,12991,3800,-82.10165414094945,9977,,6.501917373416395e-11,False,False
20,34.31045500000073,501213.54077013815,501213.54086427164,501247.466924929,283,13274,4000,-65.73984639332684,9904,0.006768325606809945,1.2841805348109268e-11,False,True
