iteration,wall_time,rmp_lp_obj,lp_obj_final_pool_if_available,irmp_obj_checkpoint_if_solved,columns_added_this_iter,total_columns,pricing_calls_cum,min_reduced_cost_last,num_negative_columns_last,pool_gap_pct_if_available,relative_improvement_last_5,pricing_converged,objective_stabilized
1,1.2206371000011131,602348.6926190121,,,964,1362,200,-5927.603660655091,30339,,,False,False
2,1.636384100000214,600585.596052213,,,995,2357,400,-4286.194435522108,20162,,,False,False
3,2.2295938999995997,579402.5674040245,,,991,3348,600,-3964.756350655867,18461,,,False,False
4,2.9720544000010705,567709.1643002545,,,984,4332,800,-2845.338358758808,14284,,,False,False
5,3.8681008000003203,555374.9781842995,,,967,5299,1000,-2190.0220546756336,11417,,,False,False
6,4.924745199999961,547099.9366009043,,,954,6253,1200,-2115.9641743495167,9440,,0.09172221454965922,False,False
7,6.1603871999996045,539130.1268822498,,,892,7145,1400,-1584.2125246756332,7753,,0.10232591253257498,False,False
8,7.535958300000857,535750.2024599769,,,787,7932,1600,-694.653190419097,6013,,0.07534030292552762,False,False
9,9.085683900000731,534891.559053735,,,471,8403,1800,-559.2034899128716,5407,,0.05780707325197012,False,False
10,10.715121200000794,534762.2297989754,,,713,9116,2000,-434.82283238527975,4729,,0.0371150109295775,False,False
11,12.50357090000034,534762.2297989754,,,526,9642,2200,-444.1491452189373,5704,,0.022551102598516615,False,False
12,14.36802069999976,534762.2297989753,,,313,9955,2400,-228.75330558608948,5579,,0.00810174921689831,False,False
13,16.30052220000107,534762.2297989754,,,369,10324,2600,-165.91299655701914,6723,,0.0018440919974739489,False,False
14,18.30136710000079,534760.7223425484,,,82,10406,2800,-180.13974155037977,4290,,0.00024460417999122434,False,False
15,20.33085630000096,534760.7223361147,,,99,10505,3000,-691.1593720550009,4140,,2.81894041251534e-06,False,False
16,22.343913599999723,534760.7223175153,,,168,10673,3200,-333.33332800000017,5667,,2.8189751932872443e-06,False,False
17,24.498250700000426,534760.7223123156,,,50,10723,3400,-143.10298098165595,4136,,2.818984916438291e-06,False,False
18,26.60435359999974,534760.7222697487,,,68,10791,3600,-166.6666679816558,4146,,2.819064516356204e-06,False,False
19,28.679402699999628,534760.7223324648,,,25,10816,3800,-166.66674396306644,4153,,1.885640048849027e-11,False,False
20,30.817582600000605,534760.7223103993,534760.722340719,534762.2297989754,220,11036,4000,-78.302459,3595,0.0002818931802658993,4.808776154557577e-11,False,True
