iteration,wall_time,rmp_lp_obj,lp_obj_final_pool_if_available,irmp_obj_checkpoint_if_solved,columns_added_this_iter,total_columns,pricing_calls_cum,min_reduced_cost_last,num_negative_columns_last,pool_gap_pct_if_available,relative_improvement_last_5,pricing_converged,objective_stabilized
1,0.6568545999998605,654879.4270017811,,,934,1253,200,-3643.7885017740136,6161,,,False,False
2,0.9480509999993956,605456.958863781,,,534,1787,400,-2201.6480572228725,1777,,,False,False
3,1.3073324999986653,595374.7747717643,,,357,2144,600,-865.2180012720387,1626,,,False,False
4,1.6981914999996661,592603.8697234491,,,142,2286,800,-457.63513396304734,1026,,,False,False
5,2.1065007999986847,592034.4141693121,,,61,2347,1000,-399.999994762218,481,,,False,False
6,2.524282200000016,592034.4141693121,,,43,2390,1200,-728.03123,852,,0.09596424966377519,False,False
7,2.9577286999992793,592034.4141693121,,,46,2436,1400,-250.50619093731302,702,,0.02216927974476997,False,False
8,3.3956777999992482,592034.4141693121,,,34,2470,1600,-143.65095016423993,613,,0.005610517516017885,False,False
9,3.840044399999897,592034.4141693121,,,55,2525,1800,-416.9645535692839,1117,,0.0009609379608046682,False,False
10,4.274671499999386,592034.4141693121,,,7,2532,2000,-539.0347189779186,694,,0.0,False,False
11,4.708485999999539,592034.4141693121,,,16,2548,2200,-119.2262010426266,635,,0.0,False,False
12,5.151667000000089,592034.4141693121,,,12,2560,2400,-1184.3493181725296,846,,0.0,False,False
13,5.600402199999735,592034.4141693121,,,5,2565,2600,-150.3935639535871,716,,0.0,False,False
14,6.042499699999098,592034.4141693121,,,21,2586,2800,-91.72697968427701,894,,0.0,False,False
15,6.498743399999512,592034.4141693121,,,25,2611,3000,-7.990177482497529e-05,767,,0.0,False,False
16,6.969087100000252,592034.4141693121,,,21,2632,3200,-153.44803460000003,1146,,0.0,False,False
17,7.425072500000169,592034.4141693121,,,11,2643,3400,-7.17217283181526e-05,1295,,0.0,False,False
18,7.886593100000027,592034.4141693121,,,1,2644,3600,-26.423102881889008,268,,0.0,False,False
19,8.338896399998703,592034.4141693121,,,1,2645,3800,-4.344178228166129e-05,316,,0.0,False,False
20,8.785117399998853,592034.4141693121,592034.4141693121,592034.4141693121,1,2646,4000,-291.8151443146003,246,0.0,0.0,False,True
