iteration,wall_time,rmp_lp_obj,lp_obj_final_pool_if_available,irmp_obj_checkpoint_if_solved,columns_added_this_iter,total_columns,pricing_calls_cum,min_reduced_cost_last,num_negative_columns_last,pool_gap_pct_if_available,relative_improvement_last_5,pricing_converged,objective_stabilized
1,1.1512990999999602,596007.94302885,,,992,1369,200,-5795.674660727819,31005,,,False,False
2,1.5966060999999172,594731.4069886022,,,994,2363,400,-4552.534780768439,19367,,,False,False
3,2.192344900000535,591742.1943136889,,,975,3338,600,-3430.362083195144,15598,,,False,False
4,2.882460300001185,577521.1529477352,,,958,4296,800,-2963.492522528452,13478,,,False,False
5,3.6823471000006975,567020.2210706194,,,981,5277,1000,-2441.971301238255,11306,,,False,False
6,4.592608500001006,562331.8114080498,,,950,6227,1200,-2075.7012731494615,9670,,0.05650282351886396,False,False
7,5.604436700001315,557366.8076021421,,,952,7179,1400,-1971.3967037696993,9847,,0.06282600674421121,False,False
8,6.738033600000563,554600.8856227268,,,853,8032,1600,-1912.0638237390253,7597,,0.06276603062595387,False,False
9,7.972590100000161,552930.4943156759,,,807,8839,1800,-2284.977078963047,8378,,0.04257966743996414,False,False
10,9.502806500000588,551029.1661202612,,,732,9571,2000,-1891.4723887623595,9578,,0.02820191301143496,False,False
11,11.095144800001435,545678.7294077317,,,588,10159,2200,-1836.4711059545662,4895,,0.029614333854987938,False,False
12,12.75210590000097,542875.4310108535,,,417,10576,2400,-1697.254805954566,4939,,0.025999712206818012,False,False
13,14.507574000001114,539735.642252458,,,384,10960,2600,-1057.7121998119394,4539,,0.026803497353916902,False,False
14,16.348834800000986,539158.3243264119,,,312,11272,2800,-368.82854136477,4500,,0.02490759712268873,False,False
15,18.251297100001466,539146.7015203154,,,223,11495,3000,-175.73602664536247,3598,,0.021564130050699508,False,False
16,20.240865900001154,539083.6193973668,,,130,11625,3200,-223.7684145470812,3940,,0.012086067597912609,False,False
17,22.219630800000232,539083.6193973668,,,97,11722,3400,-80.71720479852002,3562,,0.0069846808252608545,False,False
18,24.233758600001238,539083.6193973668,,,32,11754,3600,-77.12413373016216,3659,,0.0012080411298579356,False,False
19,26.219428399999742,539083.6193973668,,,40,11794,3800,-100.15444693731297,3493,,0.00013855842648539273,False,False
20,28.21287560000019,539083.6194122543,,,56,11850,4000,-92.08262541170006,3089,,0.00011700360566647221,False,False
21,30.243895100000373,539083.6193973668,539083.6193973668,539083.6193973668,83,11933,4200,-4.908831215288956e-05,3489,0.0,0.0,False,True
