iteration,wall_time,rmp_lp_obj,lp_obj_final_pool_if_available,irmp_obj_checkpoint_if_solved,columns_added_this_iter,total_columns,pricing_calls_cum,min_reduced_cost_last,num_negative_columns_last,pool_gap_pct_if_available,relative_improvement_last_5,pricing_converged,objective_stabilized
1,1.8671586000000389,1824838.0606004617,,,738,1238,250,-5819.926663072385,43275,,,False,False
2,2.296031199999561,1824838.0606004621,,,731,1969,500,-5955.803576381282,39163,,,False,False
3,2.8616172000001825,1824838.0606004638,,,738,2707,750,-9105.458897278624,32895,,,False,False
4,3.5876611999992747,1824838.0606004617,,,741,3448,1000,-5985.45016784359,31394,,,False,False
5,4.44955149999987,1824838.0606004617,,,740,4188,1250,-7405.0720316330935,25030,,,False,False
6,5.465858100000332,1823650.6119387199,,,747,4935,1500,-10244.502788665144,24695,,0.0006507145414048803,False,False
7,6.626934500000061,1823310.4690177273,,,738,5673,1750,-6366.999859655104,19999,,0.0008371107638078213,False,False
8,7.873506099998849,1820282.912756695,1820074.4243074383,1820074.4243074383,738,6411,2000,-6432.698995165512,19453,0.0,0.0024961929182197935,False,False
