iteration,wall_time,rmp_lp_obj,lp_obj_final_pool_if_available,irmp_obj_checkpoint_if_solved,columns_added_this_iter,total_columns,pricing_calls_cum,min_reduced_cost_last,num_negative_columns_last,pool_gap_pct_if_available,relative_improvement_last_5,pricing_converged,objective_stabilized
1,1.2249448000002303,538328.0828891852,,,989,1462,200,-5802.05717131124,20331,,,False,False
2,1.6540737000013905,535126.7045134407,,,977,2439,400,-3197.7319148437723,14784,,,False,False
3,2.2745730000006006,531497.4909685149,,,947,3386,600,-2404.961930544367,11935,,,False,False
4,3.052995699999883,529219.4038557857,,,931,4317,800,-1986.2313854059425,12443,,,False,False
5,4.015942500000165,528753.4833584359,,,895,5212,1000,-1688.4365801689626,8802,,,False,False
6,5.156961600001523,527728.6996165534,,,878,6090,1200,-774.4454525443671,7771,,0.01968944888727582,False,False
7,6.464570500000264,526780.8929601171,,,791,6881,1400,-603.3688096589719,5984,,0.015595954159888166,False,False
8,7.926739100001214,525972.3376721479,,,757,7638,1600,-490.1859292718973,7016,,0.010395445679901307,False,False
9,9.532211600000664,525809.9962643496,,,331,7969,1800,-310.41719927189706,5750,,0.006442332927696754,False,False
10,11.167680399999881,525649.3724632114,,,365,8334,2000,-547.7398734483752,6886,,0.005870620228368796,False,False
11,12.8632791,525576.3690381605,,,601,8935,2200,-400.00004754852046,5137,,0.004078479301877492,False,False
12,14.615478700001404,525406.3478033785,,,188,9123,2400,-184.67450525636605,4990,,0.0026093299417423482,False,False
13,16.396231500000795,525405.365126892,,,206,9329,2600,-172.97843751302526,5760,,0.001077951262161843,False,False
14,18.27234900000076,525404.9182451391,,,195,9524,2800,-106.5800228462308,5922,,0.0007703885853985073,False,False
15,20.150220500001524,525404.9182540298,,,207,9731,3000,-112.57938000878858,6564,,0.0004650518425163822,False,False
16,22.06122719999985,525404.9182767783,,,303,10034,3200,-199.99997744837526,5323,,0.0003262147453394859,False,False
17,23.949314700001196,525404.9182288699,,,239,10273,3400,-95.87126954852056,6035,,2.720893104063123e-06,False,False
18,25.92570270000033,525404.9182583401,,,93,10366,3600,-92.41823385982843,6035,,8.50521485990342e-07,False,False
19,27.906214399999953,525404.9182366767,,,71,10437,3800,-26.311410544366936,6226,,1.6106332211708434e-11,False,False
20,29.923712400001023,525404.9182131133,525404.9182623912,525417.6739598438,116,10553,4000,-111.50101046196096,6217,0.002427725233611861,7.787611371907623e-11,False,True
